,Modified_openai_gpt-4o_of_CV_Modelopenai_gpt-4o
283,"**Focused Improvement and Goal Alignment Coordinator**

- Enabled productivity gains by driving continuous improvement initiatives.
- Ensured the correct measures were defined and spread across the company.
- Organized and facilitated workshops.
- Identified opportunities for projects across all E2Es and gained approval from stakeholders.
- Trained and coached project leaders on FI methodologies.
- Reported the status and results of DMAIC projects to managers and stakeholders.
- Ensured benefits generated by projects were measured and validated for impact on total costs by F&C.

**Quality Supervisor**

- Led a team of 7 members.
- Managed projects and implemented new controls.
- Enhanced the level of service delivered to the Markets.

**Customer Relationship Management Coordinator**

- Developed and enhanced relationships with Markets on E2E processes by driving standardization, simplification, and automation.
- Ensured a collaborative and proactive approach to improving quality by aligning best practices and standards.
- Coordinated, facilitated, and supported key projects within the Market.
- Acted as the single point of contact between the Market and NBS.
- Communicated daily with Markets and operations through emails, calls, and regular meetings.

**Quality Specialist**

- Managed SoD and High Sensitive Roles for Markets in scope.
- Ran compensating controls for agreed SoDs and followed up on deviations.
- Conducted compensating controls for SAP SoDs and prepared KPIs for monthly monitoring.
- Communicated with markets on quality assurance topics via email or Skype.
- Controlled, analyzed, and finalized reviewing reports by the markets.
- Improved, standardized, automated, and harmonized the Compensating Control process.
- Updated all documentation and Standard Routines."
284,"[Your Name]
[Your Address]
[City, State, ZIP Code]
[Your Phone Number]
[Your Email Address]

---

**Professional Summary**

Highly motivated professional with 6 years of experience in brand management and wholesale operations. Demonstrated success in enhancing company revenue through strategic brand promotion projects. Skilled in project management with a focus on process optimization, team collaboration, and goal achievement. Seeking to leverage my expertise and passion for process management in a dynamic company with opportunities for growth and learning.

---

**Experience**

**Extreme Style Group of Companies**  
Brand Manager & Wholesale Manager  
[Year Started] - [Year Ended]

- Led brand promotion and development initiatives, significantly boosting market presence in Ukraine.
- Managed and executed transactions with wholesale customers.
- Collaborated with foreign suppliers through effective negotiation strategies.
- Conducted in-depth market analysis and developed long-term strategic plans.
- Planned and managed budgets, ensuring optimal financial performance.
- Launched successful marketing campaigns tailored to market needs.
- Analyzed retail store sales and prepared comprehensive reports.
- Oversaw preparation and maintenance of documentation.
- Developed staff training programs and materials to enhance team performance.

**Kitesurfing Federation of Ukraine & Children’s Competitions**

- Assisted in organizing national kitesurfing competitions and children's alpine skiing and roller skating events.

---

**Education**

**Junior Project Manager Diploma**  
Laba Group, Spring 2023

- Achieved a diploma with a score of 191/200.
- Gained expertise in task prioritization, error detection, forecasting, and project management methodologies.

---

**Skills**

- Brand Promotion and Development
- Wholesale Management
- Strategic Planning and Market Analysis
- Negotiation and Supplier Relations
- Budget Management
- Marketing Campaign Development
- Documentation and Reporting
- Staff Training and Development
- Project Management Principles

---

**Career Goals**

Enthusiastic about advancing in project management, focusing on efficient process management and dynamic problem-solving. Eager to contribute to a team-oriented company with challenging tasks, under the guidance of a strong leader, in an environment free from bureaucracy."
285,"[Your Name]  
[Your Address]  
[City, State, ZIP]  
[Your Phone Number]  
[Your Email Address]  

---

**Objective**  
Aspiring project manager with a background in law, seeking a position focused on long-term growth, innovation, and continuous improvement. Eager to apply project management skills in an IT environment and gain mentorship to enhance expertise.

---

**Education**  
- **Google Project Management Certificate**  
  - Course Certificate in Agile Project Management  

- **Agile with Atlassian Jira Course**

---

**Professional Experience**  

**Former Legal Specialist**  
- Organized and established a regulatory and legal department in the educational legislation sector.
- Participated in cases related to the violation of rights within the educational process.
- Analyzed and proposed changes to current legislation, contributing to amendments in the resolution of the Chief State Sanitary Doctor of Ukraine dated August 22, 2020 No. 50.
- Developed proposals for documents concerning the accounting of working hours and wages for pedagogical workers during distance and mixed learning, especially amid the pandemic.

**Project Experience**  
- Collaborated on a project with the International Renaissance Foundation, focusing on educational law analysis during martial law.

---

**Skills**  
- Project Management  
- Legal Analysis and Proposal Development  
- Regulatory Compliance  
- Team Organization and Leadership  
- Educational Legislation  

---

**Professional Development Goals**  
- Grow expertise in IT project management through mentorship.
- Acquire real, valuable skills to enhance contribution and competitiveness within the company.  

---"
286,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Email Address]  
[Your Phone Number]  

**Professional Summary**  
Former Workforce Scheduling Coordinator with 2 years of experience in Workforce Management (WFM) for the Vinted project. Expert in enhancing team efficiency and establishing cross-functional training programs. Skilled in acting as a liaison between internal teams and stakeholders and experienced in team management. Currently completing an IT Project Management course with practical application of Agile methodologies.

**Professional Experience**

**Workforce Scheduling Coordinator**  
Vinted Project  
- Successfully executed the Team Cross Training project, fostering an environment where each team member supports others during absences or attrition.  
- Developed and implemented processes to enhance billing efficiency for the project.  
- Created trackers to streamline accounting for “unproductive” activities (e.g., trainings, meetings), improving resource management for Team Leads and Operations.  
- Identified and resolved workflow issues within the WFM team, leading to increased client and employee satisfaction, reduced attrition rate, 100% schedule efficiency, and over 90% schedule adherence.  
- Trained WFM team members and transitioned the workflow from frequent client escalations to occasional minor issues.

**Additional Experience**  
- Participated in the CLIMB Leadership program and successfully presented the Team Cross Training project.  
- Engaged in practical studies of Agile methodologies and tools for IT Project Management while creating a pet project.  
- Previous roles include Customer Support Representative, Language Specialist (English, Spanish), Freelance Copywriter, and Queue Monitoring Specialist.

**Education**  
- Currently completing IT Project Management Course

**Skills**  
- Team Management  
- Cross-Training Program Implementation  
- Process Improvement  
- Client and Stakeholder Communication  
- Agile Methodologies  

**Languages**  
- English  
- Spanish  "
287,"Human Resources and Resource Management Professional

With over 12 years of HR and resource management experience in multicultural environments, I have developed a versatile skill set, working both as a leader of teams and as an individual contributor. My career includes significant experience in human resources management, recruitment, budget management, conflict resolution, and people management. I have effectively established processes from the ground up, including onboarding, performance management, motivation programs, candidate experience, and educational initiatives. Collaborating closely with stakeholders from the US, UK, Switzerland, and Germany, I have honed my negotiation skills and problem-solving approach to consistently deliver results in a cost-efficient manner.

I am eager to take the next steps in my career, having recently completed a Project Manager retraining program to expand my expertise. I am continuously identifying and addressing areas for growth, positioning myself to leverage my skills at a higher level.

Current Role Responsibilities:
- Manage a competence group of up to 140 people
- Oversee budget and cost management, including crisis response
- Support the PM office with staffing strategy implementation
- Drive business support initiatives focused on retention strategy
- Assist with career and personal development, retraining, and mentorship programs
- Promote the internal employer brand
- Manage and resolve conflicts

I would welcome the opportunity to discuss how my experience and skills align with your needs."
288,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Email]  
[Your Phone Number]  

---

**Objective**  
Passionate and detail-oriented executive with over 15 years of managerial experience specializing in the event and entertainment industry. Combining technical education in IT and expertise in project and QA management to provide effective solutions and strategic leadership.

---

**Professional Experience**

**KRILIA Creative Agency, Kyiv, Ukraine**  
*2016-2022: Executive Director*  
- Led the agency from a trainee position to executive director over a 12-year period.
- Organized over 100 concert events, including 12 concert tours across Ukraine, Russia, and China.  
- Enhanced organizational capacity and contributed to the growth in the number of events.  
- Built and maintained a reliable, permanent staff team.  

*2012-2016: Project Manager/Tour Manager*  
- Managed event and tour logistics, ensuring seamless execution.  

*2010-2012: PR Manager*  
- Developed and implemented strategic communication plans.  

**Nebokray Films Production, Kyiv**  
*2020: Production Manager*  
- Oversaw production processes and ensured project delivery on time and budget.  

**Extreme-Music-Fest “Sloboda,” Kharkiv**  
*2018: Executive Director*  
- Directed festival planning, logistics, and execution.  

**Kyivticket Ticket Service, Kyiv**  
*2012-2013: Partner Relations Manager*  
- Managed relationships with key partners, enhancing ticket service offerings.  

**Kozirnaya Karta Restaurant Chain, Kyiv**  
*2010-2011: Art Director*  
- Coordinated artistic direction and managed creative projects.  

---

**Education & Certifications**

**Project Management in IT | Beetroot Academy**  
- Mastered Waterfall and Agile methodologies, including Scrum.  
- Strengthened soft skills for team and customer engagement.  

**QA Manual | Beetroot Academy**  
- Acquired skills in testing web applications, web services, and mobile applications.  

**Anatomy of Facebook/Instagram Advertising | Wowtarget**  

---

**Skills**  
- Strategic Planning & Execution  
- Event Management & Coordination  
- Leadership & Team Development  
- Complex Problem Solving  
- Agile & Waterfall Project Management  
- QA Testing & Analysis  
- Effective Communication  

---

**Professional Traits**  
- Great attention to detail with an assiduous approach to acquiring new knowledge.  
- Strong analytical capabilities in interpreting complex situations and implementing effective strategies.  
- Dedicated to achieving company success and strategic goals."
289,"Marketing Professional

Profile:
Dynamic and results-driven marketing professional with over 2 years of experience in market analysis, content management, and strategic marketing development. Adept at utilizing social media, targeted advertising, and lead generation techniques across diverse industries. Known for exceptional organizational and process optimization skills, with a proven ability to manage multiple projects simultaneously and deliver high-quality results. Recognized for proactivity, continuous self-improvement, and strong teamwork abilities.

Experience:

Freelance & Contractor, Marketing Agency
- Spearheaded marketing initiatives, including social media account promotion, customer engagement, and marketing strategy development.
- Executed targeted advertising campaigns to drive lead generation and boost brand visibility.
- Developed compelling content and executed graphic design projects tailored to various platforms and audiences.
- Collaborated with an array of industries such as medicine, beauty, dietetics, charity, fitness, leisure, and educational sales.

Project Management:
- Successfully managed 8 projects concurrently by efficiently allocating resources and tasks to team members.
- Engaged in customer acquisition and retention through strategic methods like newsletter advertising and social media interactions.
- Led clients from initial contact to project completion, ensuring seamless communication and project success.
- Created project timelines, supervised team operations, and organized both online and offline promotional events.

Core Competencies:
- Social Media Marketing
- Project Management
- Customer Engagement
- Lead Generation
- Copywriting and Graphic Design
- Organizational and Process Optimization Skills
- Team Collaboration

Education and Certifications:
[Your education and any relevant certifications here] 

References:
Available upon request."
290,"**[Your Name]**

[Your Address]  
[City, State, ZIP Code]  
[Your Email Address]  
[Your Phone Number]  

---

**Objective**

Motivated professional with over 5 years of experience in aviation project management, seeking an entry-level or internship position in IT Project Management or Business Analysis. Committed to leveraging strong organizational, communication, and multi-tasking skills in a dynamic and innovative IT environment.

---

**Professional Experience**

**Aviation Project Manager**  
Ukrainian Helicopters  
[Month, Year] – Present  

- Managed helicopter transport services for United Nations peacekeeping operations across Africa.
- Oversaw project setup and execution, ensuring operational readiness and compliance.
- Successfully established operational bases in countries such as South Sudan, Somalia, Democratic Republic of Congo, and Republic of Mali.
- Achieved notable success in setting up and supervising a base in the Republic of Mali, consisting of 70 personnel and 5 advanced helicopters.

---

**Certification**

- Certified Associate in Project Management (CAPM), Project Management Institute, September 2020

---

**Skills**

- Strong organizational and communication skills
- Proficient in English
- Ability to operate effectively in volatile and high-pressure environments
- Positive “yes-can-do” attitude and commitment to exceeding expectations

---

**Career Transition**

- Driven by a passion for IT and desire to contribute to the creation of innovative products and services.
- Eager to apply project management expertise and proactive approach to new challenges within the IT sector.

---

**Education**

[List your educational background here, including degrees, institutions, and dates attended]

---

**References**

Available upon request."
291,"Manager, 4MEN Barbershop

- Recruited and developed a professional team.
- Enhanced team members' hard and soft skills.
- Coordinated feedback mechanisms between clients and staff.
- Established effective team communication.
- Achieved a 50% increase in client flow and an 87% return rate.

Project Leader, ""The Scheme of Sanitary Cleaning of the Villages Horenka and Moshchun""

- Led a team in creating sanitation schemes for Horenka and Moshchun.
- Participated in scheme creation, planning, and coordination.
- Negotiated, submitted reports, and presented the project.
- Project completion was delayed due to significant damage from the Russian-Ukrainian war.

Manager & Chief Barber, 4MEN Barbershop

- Managed primary beauty and health roles over five years.
- Set up workflows and ongoing staff training programs.
- Facilitated team communication.

Line Producer, Bosonfilm and Happy Hippie Lab

- Developed and coordinated stages of advertising campaigns for international brands.

Consultant

- Advised business owners on investment attraction, business modeling in beauty and health, audience targeting, and market analysis.
- Developed digital marketing strategies and media plans.

Career Development in IT

- Seeking to be part of an IT team to improve people’s lives.
- Aiming to advance skills in people management, planning, and process coordination.

Technical Skills

- Experience with creating applications, prototypes, and developing code.
- Working knowledge of Ruby, Java, Haskell, and Scala.
- Strong communication skills, problem-solving ability, and organizational skills.
- Understanding of behavioral characteristics in team settings."
292,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Email Address]  
[Phone Number]

**Professional Summary**  
Dedicated and detail-oriented professional with 5 years of experience in documentation, agreements, and estimates across two companies. Passionate about effective paperwork as a vital component of organizational success. Exceptional team player skilled in collaborating with diverse teams to enhance communication and coordination.

**Professional Experience**

**Senior Sales Coordination Manager**  
*Company Name, Location*  
[Dates of Employment]

- Collaborated with sales managers to enhance department processes and implement updates, ensuring team adoption and effectiveness.
- Spearheaded the successful migration of 20 sales representatives’ records to the internal CRM system, facilitating seamless operations for the predominantly outbound team.
- Fostered effective communication and teamwork in a department of diverse individuals, contributing to continuous professional growth and learning.

**Previous Position**  
*Company Name, Location*  
[Dates of Employment]

- Engaged deeply in documentation and paperwork, supporting organizational projects with meticulous attention to detail.
- Developed a keen understanding of sales operations and client management through close collaboration with Sales Managers.

**Skills**

- Team Collaboration
- Process Improvement
- Project Management
- CRM Systems
- Effective Communication
- Documentation and Coordination

**Education**  
[Your Degree]  
[Your University, Location]  
[Year of Graduation]

**Objective**  
Eager to contribute to a dynamic team driven by innovation and growth. Enthusiastic about participating in new projects and advancing my career through hands-on training and mentorship from senior leaders."
293,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Email]  
[Your Phone Number]

---

**Professional Summary**

Dynamic professional with extensive experience in reporting, customer service, and business management. Skilled in automation, time management, and team motivation. Proficient in creating effective business strategies and fostering client relationships. Fluent in [New Language] within months of relocation. Seeking opportunities in accounting, finance, management, and IT to drive impactful, innovative projects.

---

**Professional Experience**

**Founder and Head of Online Store**  
2011 - 2022

- Developed and executed strategies for customer acquisition.
- Crafted a unique trade proposition for the Ukrainian market.
- Established efficient client interaction processes for both B2B and B2C.
- Formulated business plans and spearheaded business development.
- Designed loyalty programs and executed marketing activities.
- Generated unique content for Instagram.
- Curated and managed the assortment range.
- Led a team of up to 6, implementing motivational programs.
- Created templates for order fulfillment monitoring and analyzed logistics performance both within Ukraine and internationally.

**Logistics Customer Service Specialist (Reporting)**  
2012 - 2015

- Prepared shipment reports utilizing SAP and Excel.
- Controlled and analyzed average truckload weights.
- Compiled product freshness reports.
- Managed order processing for POSM materials in SAP.
- Extracted product balance data from SAP for warehouse use.
- Produced daily reports on automatic stock replenishments.
- Calculated forecast supply fulfillment rates.
- Enhanced work processes by developing Excel macros.
- Adopted and supported Lean methodology to boost efficiency.
- Provided B2B customer support.
- Liaised across departments, ensuring KPI implementation.

---

**Skills**

- Proficient in SAP, Excel, and Lean methodologies.
- Strong communication and client relationship management.
- Proficient in [New Language].
- Expertise in automation, reporting, and strategic business planning.
- Effective time manager and problem solver.

---

**Objective**

To contribute my expertise in accounting, finance, management, and IT to an organization that offers challenging and rewarding projects. Dedicated to developing win-win scenarios for both the company and clients, ensuring timely project completion and high-quality standards."
294,"Entrepreneur and Nocode Developer

**Freelance Nocode Developer**  
10/2021 - Present  
- Develop and maintain customized web projects for clients across the US and Europe.  
- Tackle unique challenges within the constraints of limited functionality tools.  
- Achieved a 100% customer satisfaction rate.

**Founder and Owner**  
10/2013 - Present, Kyiv, Ukraine  
Health Supplements Online Stores  
- Founded and expanded online retail business from 30 initial products to over 1000.  
- Built and managed a thriving e-commerce platform for five years before transitioning to a new platform.  
- Established strong relationships with suppliers and clients in Ukraine, the USA, and Europe.  
- Progressed from sole employee to managerial role, leading operations and advising peers on market entry strategies in the Ukrainian supplements industry."
295,"**[Your Name]**  
[Address]  
[City, State, ZIP]  
[Phone Number]  
[Email Address]  

---

**Professional Summary**  
Dynamic and results-driven sales professional with extensive experience in building and leading high-performing sales teams. Proven track record in surpassing sales targets and facilitating business growth. Adept in team management, customer communication, and process optimization. Possesses technical education and foundational programming knowledge, with aspirations to leverage sales and project management expertise in the tech industry.

---

**Professional Experience**

**Head of Sales & Sales Department Consultant**  
*Various Companies, 2019-2022*  

- Successfully built 11 sales departments across five different niches.
- Consistently exceeded sales targets, achieving an average over-fulfillment by 30%.
- Initiated sales efforts in English, securing four contracts within the first month.
- Managed and led a team of 15 sales professionals.
- Developed and optimized sales processes to enhance efficiency and productivity.
- Played a pivotal role in accelerating project growth by consistently surpassing goals.

**Sales Team Leader & Salesperson**  
*Various Companies, [Specific Dates]*

- Transitioned from salesperson to team leader, demonstrating leadership and strategic sales acumen.
- Led communication efforts with customers, fostering strong client relationships and satisfaction.
- Successfully contributed to the development and implementation of sales strategies.

---

**Additional Experience**

**Project Manager (Non-Technical Projects)**

- Managed project timelines and deliverables, leveraging strong communication skills and a deep understanding of project dynamics.
- Utilized technical education background and programming insights to enhance project management effectiveness.

---

**Education**

**[Your Degree, e.g., Bachelor's in Technical Field]**  
[Your University], [Year of Graduation]

---

**Skills**

- Sales Strategy Development
- Team Leadership and Management
- Customer Communication
- Process Optimization
- Basic Programming Knowledge
- Project Management

---

**Languages**

- English: Fluent

---

**Interests**

- Passionate about integrating sales expertise into technical fields and exploring opportunities for innovation within tech-driven projects."
296,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Phone Number]  
[Email Address]  

---

**Professional Experience**

**Brain Best**  
*Project Manager Assistance*  
December 2018 – Present  
- Spearhead project initiation and risk analysis for Brain Best Online Courses targeting the local market.
- Facilitate stakeholder communication involving lectors, team members, and sponsors.
- Lead market research development and oversee course production and quality control.
- Draft technical tasks for the development team.

**Volans**  
*Marketing Manager*  
January 2018 – October 2018  
- Led marketing activities and prioritized the development backlog for Volans ICO and Volans Blockchain Wallet projects.
- Conducted risk analysis and market research to inform planning and strategy.
- Managed stakeholder communication with team members, sponsors, and advisors.
- Established public relations with rating agencies and social influencers.
- Planned marketing events and authored public documents such as whitepapers.
- Initiated and monitored community support activities and customer experience processes.

**Self-Employed**  
*Media Buyer*  
September 2017 – April 2018  
- Executed advertising campaigns on a CPA model for clients including Hashflare, Mamsy.ru, and MoneyClick.
- Researched CPA offers market and collaborated with brand teams.
- Planned and managed execution of advertising campaigns, including liaising with designers for graphic content creation.
- Monitored campaign performance and analyzed marketing metrics.

---

**Education**

[Your Degree or Course]  
[Your Institution]  
[Years Attended]  

---

**Skills**

- Project Management
- Market Research and Analysis
- Stakeholder Communication
- Risk Analysis
- Marketing and Advertising
- Public Relations
- Technical Documentation

---

**References**

Available upon request."
297,"Front Desk Manager, Park Hotel Golosievo, Kyiv

• Represent the establishment as the first point of contact, ensuring all visitors feel welcomed.
• Ensure staff consistently deliver attentive, friendly, and courteous service to guests and fellow employees.
• Oversee the reception area, manage all front desk activities, and lead staff training and supervision.
• Maintain strong working relationships and effective communication with all departments.
• Engage with customers in person and via phone, address inquiries, and resolve guest complaints.
• Prepare management reports, including occupancy and financial information.
• Direct and coordinate activities of the front desk, reservations, guest services, and telephone operations.
• Produce daily and monthly reports for the front office department.
• Conduct cashier check-ins/outs, verify banks and deposits at shift end, and enforce cash-handling policies.
• Operate and maintain Front Office computer systems, ensuring software maintenance and report analysis."
298,"Specialties:

- Project management (web, mobile apps, and interfaces development)
- Product management
- Business analysis
- Business development
- Digital marketing
- User Experience (UX)
- Negotiations
- Excellent communication skills
- Agile/Scrum Processes Experience (multiple roles)
- Multilingual (Fluent in English, Ukrainian, and Russian; Basic in German and Spanish)

Experience Summary:

- Skilled in full-cycle web development solutions project and product management, including financial management and requirements documentation.
- Experienced in handling various projects with durations ranging from two weeks to six months.
- Proficient in managing all stages of a project lifecycle, from capturing and documenting requirements, invoicing, and negotiating with customers, to monitoring, control, maintenance, and closure.
- Managed teams of up to 15 members, with recent experience in employing Scrum methodology over the past six months.
- Versatile experience across different industries, including IT, advertisement, video production, and marketing agency.
- Committed to leveraging cross-industry knowledge to create products that customers love.

Career Goals:

- Eager to gain experience working in a professional team environment that fosters personal and professional growth.
- Prizing collaboration in a large team, especially with significant, ambitious projects.
- Seeking diverse, dynamic work cases over standard routines.
- Preference for roles without sales responsibilities (e.g., search, preliminary negotiations).
- Motivated by interesting projects with professional management; high-load environments are an added benefit."
299,"---

**[Your Name]**

[Your Address]  
[City, State, ZIP]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile URL]  

---

**Professional Summary**

Dynamic and results-driven professional with extensive experience in project coordination, marketing, and communications. Proven track record in managing successful projects and teams, driving revenue growth, and optimizing digital and PR campaigns. Highly skilled in content creation, social media management, and strategic communication.

---

**Experience**

**GlobalUp Company**  
*Project Coordinator*  
04/01/2022 - Present

- Excel in effective client management and development through consistent follow-up and updates via calls and emails.
- Manage creative projects utilizing project management software, Monday.com.
- Develop and prepare compelling pitches, proposals, and briefs, including comprehensive market research and idea pitches.
- Leverage creativity and copywriting expertise to plan social media marketing (SMM) calendars and brief creative and web development teams for projects such as website design and presentations.
- Support and optimize digital marketing campaigns, including Google Ads and social media ads.
- Enhance PR campaign planning with influencers and media partnerships.

**National Aviation University**

*Specialist of the Marketing, Advertising and Exhibition Sector of the Information and Analytical Department*  
12/19/2016 - 06/30/2017

*Specialist of the Sector of Information Processing and Analysis of the Information-analytical Department*  
09/25/2017 - 03/31/2018

*PR and Advertising Specialist of the Media Communications Center*  
04/01/2018 - 09/30/2018

*Leading Specialist of the Radio and Television Sector of the Center of Media Communications*  
10/01/2018 - 08/03/2020

*Head (Deputy Head of Department) of the Communication Sector of the Media Communications Center*  
08/03/2020 - 11/11/2020

- Contributed to the development of comprehensive communication strategy.
- Managed social media presence on platforms including Instagram, Facebook, Telegram, and TikTok in alignment with communication strategy.
- Engaged in creating compelling photo and video content for various platforms.
- Designed visual representations for social media.
- Authored engaging news articles and posts for social media platforms.
- Maintained and analyzed performance metrics of social media pages.
- Prepared technical tasks and references for the photographer, videographer, and designer.
- Updated and managed visual content for university departments.
- Coordinated preparation, placement, and updating of university information on external platforms.

---

**Education**

*Masters Diploma of International Education*  
Graduated from two universities

---

"
300,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Email Address]  
[Your Phone Number]  

### Objective
To leverage my project management and leadership skills in a challenging environment that offers opportunities for growth and continuous learning, while contributing significantly to team objectives and outcomes.

### Professional Experience

**Project Manager**
**Confidential Construction Project**  
- Managed the construction of a 5-story building with 23 participants and a budget exceeding $80,000.
- Responsible for team coordination, budget management, and ensuring project milestones were achieved on time.

**Sales Manager**  
**Investment Group ""MOLODIST""**  
*April 2021 - February 2022*  
- Led business negotiations and sales initiatives, driving company growth.
- Provided exceptional customer service support and maintained thorough reporting.
- Implemented and managed CRM systems to improve client interactions.
- Assisted in preparing budgets and financial forecasts.

**Head (Chairman)**  
**The Primary Trade Union Organization of Students and Cadets of the State Tax University**  
*March 2018 - February 2020*  
- Spearheaded initiatives and projects, ensuring timely execution and reporting.
- Motivated and led a team of 16 within a larger organizational framework of 97 members.
- Conducted daily/weekly meetings with team members, stakeholders, and partners to ensure alignment and progress.

### Projects

**LikarPoruchUA (Pet Project)**  
*GoIT, January 2023 - March 2023*  
- Developed a mobile application facilitating consultations with Ukrainian doctors for users abroad at competitive rates.
- Executed comprehensive project management tasks including SOW creation, roadmap formation, and project budgeting.
- Built a detailed project backlog and established an organizational structure.
- Created mind maps, decomposition/WBS, risk registers, RACI matrices, and schedule management plans to ensure project deliverables.

### Accomplishments
- Increased membership in the trade union organization by 30% through strategic planning and execution.
- Designed and implemented a membership accounting system tied to discounts at partner stores.
- Organized large-scale external events for over 2,000 participants, enhancing community engagement.

### Skills
- Project management and planning
- Team leadership and motivation
- Budgeting and financial reporting
- Sales and customer relationship management
- CRM and ERP systems

### Education and Professional Development
- Extensive study and hands-on experience in Project Management with a focus on IT. Actively seeking continual improvement through practical applications and growth opportunities."
301,"[Your Name]
[Your Address]
[City, Zip Code]
[Your Email]
[Your Phone Number]

Professional Summary:
Dynamic and results-driven Project Manager with extensive experience leading and implementing high-value CAPEX projects. Proven track record in managing teams, improving organizational processes, and enhancing plant operations. Dedicated to achieving career growth through continuous learning and building a robust professional network.

Work Experience:

Head of Health & Safety Department  
CRH Ukraine  
07.2016 – Present  
- Lead and implement HS CAPEX projects valued at 14 million UAH  
- Manage departmental operations and a team of four professionals  
- Oversee HS project management and annual budgeting for OPEX & CAPEX  
- Facilitate effective communication between various stakeholders  

Health & Safety Officer  
CRH Ukraine, Odessa  
02.2015 – 06.2016  
- Managed departmental activities ensuring goal achievement and deadlines met  
- Conducted risk assessments for unsafe acts and conditions  

Project Manager (Stay-up Project)  
- Directed project improvements in organizational structure, training, and plant aesthetics  

Volunteer Management:  
- Coordinated company volunteering activities  

Education:

GoIT Project Manager Course  
01.2023 – Present  

Projects:

Meditation Platform Development  
- Developed a project website and mobile platform  
- Prepared project documentation including SOW, mind map, WBS, Project RACI, Risk Register, and Schedule Management Plan  
- Utilized Jira for project planning  

Career Goals:
- Short-term: Gain new skills and become an expert in project management  
- Long-term: Expand professional network and achieve senior-level promotion  

Skills:
- Project Management  
- Team Leadership  
- Strategic Planning  
- Risk Assessment  
- Budget Management  
- Stakeholder Communication  

Languages:
- [Languages You Speak]  

References:
Available upon request."
302,"Yevheniia Melnyk

**Objective**  
To gain experience and develop as an IT project manager with a focus on enhancing my skills in project management and expanding my knowledge in manual testing.

**Summary**  
Junior IT Project Manager with over 6 years of experience in project roles within the construction industry, specializing in budgeting, planning, project control, and team management. Proficient in IT project management methodologies, including Scrum and Agile. Currently advancing knowledge in manual testing and English language skills.

**Education**  
- IT Project Management Course, Go IT  
- Scrum and Agile Course, Skillsetter Platform  
- Currently enrolled in Dexola IT Camp (PM Role)

**Experience**  
- Extensive experience in team management and leadership roles within construction projects.  
- Skilled in preparing key project management documents such as SOW, estimate templates, critical paths, mind maps, general budgets, EVM (schedule + cost), RACI charts, risk assessments, test plans, and project closure documentation.  
- Proficient in developing QA documents including test plans, test cases, bug reports, checklists, and QA levels.  
- Experienced in using project management and collaboration tools such as Confluence, Jira, Trello, TestRail, Miro, Microsoft Office, Slack, Google Docs/Sheets.  
- Additional experience with 3D modeling and design programs including 3D Max, Archicad, and Enscape.

**Skills**  
- Project Management  
- Team Leadership  
- Budgeting and Planning  
- Agile and Scrum Methodologies  
- Manual Testing  
- Document Preparation and Management  
- Tool Proficiency: Confluence, Jira, Trello, TestRail, Microsoft Office, Slack, Google Docs/Sheets

**Courses & Certifications**  
- IT Project Management, Go IT  
- Scrum and Agile, Skillsetter Platform

Best regards,  
Yevheniia Melnyk"
303,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

**Professional Summary**  
Highly motivated Project Manager with a strong passion for continuous skill improvement and an in-depth understanding of various project processes. Committed to effective communication and goal achievement for both team and customer satisfaction.

**Education**  
**PM Courses**  
Hillel Computer School  

**Skills**  
- Project Planning  
- Understanding of Methodologies and Frameworks  
- Risk Management and Mitigation  
- Team Communication and Motivation  
- Budget and Resource Management  
- Problem Solving and Conflict Resolution  

**Professional Interests**  
- Working with creative and innovative teams  
- Contributing to projects that push boundaries and achieve exceptional results  

**Language Proficiency**  
- English: Intermediate to Upper-Intermediate  
- Studying to reach Advanced level within the next couple of years  

**Personal Development**  
- Engaging in activities that promote growth and learning, such as reading, sports, and watching educational content  
- Actively seeking interactions with diverse and interesting individuals  

**Personal Attributes**  
- Problem-solving mindset  
- Calm and positive under pressure  
- Eager to embrace challenges to enhance self-confidence and efficiency  

**Hobbies**  
- Reading  
- Sports  
- Networking  
- Watching educational content  

Thank you for your attention. I look forward to the opportunity to connect and collaborate in the future."
