,Optimized_gpt-3.5-turbo
41,"PROFESSIONAL SUMMARY
Experienced Project Manager with expertise in leading high school capital expenditure projects. Skilled in organizational improvement, training, and plant management.

SKILLS
- Project Management
- Organizational Improvement
- Training
- Plant Management
- Budgeting
- Risk Assessment
- Communication

EXPERIENCE
- Health & Safety Officer at CRH Ukraine in Odessa
- Head of Health & Safety Department at CRH Ukraine

EDUCATION
Bachelor's degree in Design or related field

CAREER GOALS
Seeking to gain new project management skills and expand professional network for senior level promotion.

Estimated Salary Range: $168,000-$252,000 + bonus + equity + benefits

RESPONSIBILITIES
- Drive innovative design solutions
- Build Figma prototypes
- Apply user-centered design principles
- Collaborate with cross-functional stakeholders
- Independently drive work toward key milestones"
42,"PROFESSIONAL SUMMARY
Experienced IT project manager with construction project management background and team leadership skills. Proficient in budgeting, planning, project control, and team management. Knowledgeable in Figma, Photoshop, and Sketch. Currently improving skills in manual testing and English language. Completed IT project management courses and Scrum and Agile training.

SKILLS
- IT Project Management
- Construction Project Management
- Team Leadership
- Budgeting
- Planning
- Project Control
- Team Management
- Figma
- Photoshop
- Sketch
- Manual Testing
- English Language Skills
- Scrum
- Agile

Thank you for considering my application."
43,"Professional Summary:
Experienced Project Manager in Design, Computer Science, and Human-Computer Interaction. Graduated from PM courses at ""Hillel"" computer school. Skilled in project planning, methodologies, risk management, team communication, and budget management. Strong problem-solving abilities and thrives under pressure.

Skills:
- Project management
- Design
- Computer Science
- Human-Computer Interaction
- Risk management
- Team communication
- Budget management
- Problem-solving

Education:
- Graduated from PM courses at ""Hillel"" computer school"
44,"Professional Summary:
Experienced project manager in IT with a focus on software development methodologies. Skilled in project documentation and team motivation.

Skills:
- Understanding of SDLC project
- Proficient in software development methodologies
- Strong communication and stakeholder management
- Expertise in requirements gathering and scope management
- Resource, budget, and time management
- Team motivation and risk management
- Proficient in Jira/Confluence

Experience:
- Group leader at ПП ""ІРВАН"" (2021-2023)

Education:
Hillel IT School
53630296, Project Management
Mar 2023 - May 2023
Grade: Excellent"
45,"PROFESSIONAL SUMMARY:
Graduated from QA courses with 3+ years of commercial experience in Software Testing. Experienced in Project Management and guided multiple projects from creation to implementation. Skilled in organization, communication, and problem-solving.

SKILLS:
- Software Testing
- Project Management
- SCRUM and Kanban methodologies
- Meeting planning and moderation
- Task identification and monitoring
- Documentation development and maintenance
- Stakeholder communication
- Obstacle elimination
- Retrospective and Planning events

EXPERIENCE:
- Created knowledge base for QA trainees and mentored new team members
- Guided Projects QAX Camp and QAX Travel from creation to implementation
- Managed software development processes, facilitated meetings, identified tasks, and maintained project documents

EDUCATION:
- Completed QA courses

LOOKING TO EXPAND EXPERIENCE:
Seeking opportunities in project planning and business analysis."
46,"Professional Summary:
Experienced Regional Manager with a proven track record of expanding teams, negotiating contracts, and achieving company goals. Skilled in team management, sales planning, and market analysis.

Skills:
- Recruitment and Training
- Team Management
- Negotiation
- Market Analysis
- Sales Planning

Experience:
Regional Manager of the East Region
04.17-Current
- Achieved team plan by 100% and above in the East region
- Managed cities such as Sumy, Kharkiv, Poltava, Dnepr, Zaporozhye, and Krivoy Rog
- Managed and trained medical representatives team in selling pharmaceuticals
- Negotiated large-scale procurement contracts in pharmacy networks
- Ensured execution of plans
- Recruited employees, conducted interviews, and performed competitive analysis and market monitoring

Education & Certifications:
- Completed Product-Project course with a mentor
- Certified in ""DAO PM"" IAMPM
- Completed ""QA Engineer"" course from G5 University"
47,"PROFESSIONAL SUMMARY
- 11+ years of international experience in IT sales, Hospitality, and Aviation industries
- Strong communication and interpersonal skills
- Promoted to Quality Assurance Manager and Shift Manager for top performance

SKILLS
- Communication and interpersonal skills
- Proficient in CMS platforms and E-commerce engines (WordPress, Joomla, Prestashop, Magento)
- Team leadership and training
- Project management knowledge (Agile, Scrum, Kanban, Jira, Confluence)
- Fluent in English, Ukrainian, and Russian

EXPERIENCE
Sales Department, IT Company - Sales Associate
- Consulted 100 client inquiries daily, resolving 90% of requests
- Promoted to Quality Assurance Manager and Shift Manager within 2 years
- Managed team of 8-10 employees in PM shift, led team trainings, and handled business correspondence and sales reports"
48,"PROFESSIONAL SUMMARY
Detail-oriented Design Engineer with 3 years of project management experience in an engineering company. Skilled in project management, technical and commercial proposals, scheduling, equipment selection, team supervision, project documentation coordination, and site supervision. Proficient in SDLC, Agile methodology, risk management, communication strategies, and various tools like Jira, Confluence, and Slack. Dedicated to professional growth with certifications in IT PM.

SKILLS
- Project Management
- Technical and Commercial Proposals
- Scheduling
- Equipment Selection
- Team Supervision
- Project Documentation Coordination
- Site Supervision
- SDLC
- Agile Methodology
- Risk Management
- Communication Strategies
- Jira, Confluence, Slack

EXPERIENCE
- Managed projects from inception to completion, ensuring adherence to timelines and budgets
- Coordinated with cross-functional teams to develop and implement technical solutions
- Oversaw site supervision and ensured compliance with safety regulations
- Prepared and delivered technical and commercial proposals to clients

EDUCATION
- Bachelor's Degree in Engineering, [University Name]
- Certifications in IT PM"
49,"Professional Summary:
- 8+ years of design, sales, and project management experience in the construction industry, including coordination with foreign stakeholders and billing/accounting.
- Skilled in leading teams, creating technical specifications, and managing successful projects.

Skills:
- Excellent written and verbal communication
- Detail-oriented, result-oriented, responsible, and open-minded
- Proficient in technical requirements, work breakdown structures, and risk management
- Strong leadership and project management skills
- Analytical and problem-solving capabilities
- Familiar with design trends and modern technology

Experience:
- Coordination of projects with foreign stakeholders
- Expertise in billing, accounting, and daily communication with international partners

Education:
- Completed courses, seminars, and readings on software development lifecycle methodologies, requirements management, and risk management."
50,"PROFESSIONAL SUMMARY:
Experienced project manager with 4 years of experience in Events & Catering and Rental of premises. Skilled in product and project management, job description preparation, technology management, market analysis, and HR responsibilities. Proficient in Agile, Scrum, Kanban, Waterfall, and SDLC methodologies.

SKILLS:
- Agile, Scrum, Kanban, Waterfall, SDLC
- Jira, Confluence, GantPro, Trello, Worksection
- Figma, Photoshop, Illustrator, MS Office
- MySQL
- Leadership, conflict management, risk management
- Critical thinking, negotiation, task management

EXPERIENCE:
- Ran projects from inception to completion
- Aligned customer needs with business goals
- Focused on delivering value to users and the company
- Key responsibilities in product and project management
- Created and curated projects
- Prepared job descriptions and implemented onboarding processes
- Set and controlled goals
- Assisted CEO in daily operations management
- Managed technology
- Led group-wide marketing efforts
- Analyzed market trends
- Developed Competitive Advantage Plans
- Managed advertising budgets and conducted ROI analysis
- Handled HR responsibilities including recruitment and adaptation of new employees
- Managed product supply and procurement
- Organized events and ensured quality assurance
- Negotiated and collaborated with contractors
- Controlled inventory
- Recruited, adapted, and scheduled staff
- Organized staff master classes and banquets
- Prepared reports and handled budgeting"
