,Modified_mistralai/Mixtral-8x7B-Instruct-v0.1_of_CV_Modelmistralai/Mixtral-8x7B-Instruct-v0.1
314," Zhanyl
5 years of experience

* Organized and coordinated 2 Startup Kyrgyzstan contests, managing all aspects from team selection to final events
* Conducted a Training of Trainers for university teachers to establish business incubators, including developing the concept and organizing a workshop
* Contributed to the creation of the first state Innovation Center through conceptual and organizational participation
* Organized 2 IT Hackathons and other acceleration programs with Accelerate Prosperity Kyrgyzstan
* Managed acceleration programs as a Project Manager at DevCIT center, organizing and conducting 2 IT Hackathons and 2 acceleration programs for aspiring entrepreneurs

Open to new opportunities."
315," Helen Resume

Contact Information:
Name: Helen
Location: Ukraine (Kyiv or remote)

Profile:
Seeking to contribute to a team with my strengths, skills, and experience. Agile and adaptable, open to roles not directly related to my qualification during the war. I believe in the potential of others, prioritize systematics, responsibility, and emotional intelligence.

Achievements:

Freelance:
• Improved performance of departments and employees through training projects
• Built and implemented training programs for various companies, including Softcom, Government Contact Center, Lvivenergozbut, Kyivvodokanal, VM Group of Companies, Ranok Corporation, Lopan
• Trained over 250 managers and employees of the Government Contact Center in 2 months
• Developed new training programs on communication, emotional competence, stress management, and change circumstances management

Venbest Corporation:
• Composed documentation and procedures for new b2b sales department
• Developed onboarding and field training programs
• Created product and service presentation materials for customers
• Conducted over 100 interviews, forming a team of 20 employees for SMB & KK

Vodafone Ukraine:
• Established b2b staff training and development direction
• Developed and implemented analysis, development, and evaluation processes
• Coached six subordinates to become corporate business-trainers
• Implemented a system for monitoring b2b staff “field” work
• Modernized annual certification exams and evaluation systems
• Designed 12+ corporate training programs

Strengths:
• Business trainer in communications and teamwork, emotional intelligence specialist, facilitator, certified coach ECF
• Management experience in team building and development since 2012
• Corporate training and coaching experience since 2011
• Project experience in team training and development since 2017
• Over 450 hours of personal and career coaching experience
• 19 years of client management experience (sales, development, support)
• Specialization in program development and training in emotional competence, communication and teamwork, team management, and client work

Skills:
• Building trust, safety, and motivation in teams
• Believing in the potential of others
• Systematics, responsibility, and emotional intelligence
• Communication & presentation skills, teamwork, emotional intelligence, stress management, and team management expertise"
316," Here is your new resume:

Experience:

* Event Team Manager, RadioKvit: Led and managed event team for student organization, responsible for planning and executing various events.
* Project Leader, University: Led student team in creating a Europrotocol brochure for use in case of minor car accidents, increasing efficiency and reducing police wait time.
* Promoter & GLO Expert, British American Tobacco: Successfully worked in sales and as a courier for a leading tobacco company.
* Customer Support Specialist, Gambling Industry: Provided support to customers in the gambling industry, handling inquiries and resolving issues.
* Assistant to General Director, Baker Tilly Ukraine: Currently providing administrative support, including scheduling, booking travel, and managing projects.
* Assistant, Education Center, Baker Tilly Ukraine: Acting as the first point of contact for clients, creating contracts and invoices, providing technical support for online training, and issuing certificates.

Skills:

* Proven experience in project management and leadership
* Strong communication and organizational skills
* Experience in sales and customer support
* Familiarity with project management tools and techniques
* Currently studying Project Management on Coursera
* Goal of becoming a Project Manager in the IT industry

(No additional notes or explanation included, as requested.)"
317," High School Olympiad Experience:

* Actively participated in Olympiad programming competitions during middle and high school years, developing skills in problem-solving and programming.
* Awarded 2nd degree diploma in the II stage of the Ukrainian Olympiad in Informatics 2021.
* Olympiad achievements cultivate analytical thinking and problem-solving abilities, contributing to a successful IT career.

University Experience:

* Organized and led diverse projects as a project manager, developing a comprehensive training program on ""The Art of Negotiation"" with a student team.
* Fostered a collaborative environment, developing plans, setting deadlines, monitoring progress, and holding regular team meetings.

Skills and Expertise:

* Practical experience in project management tools and techniques, including:
	+ Work Breakdown Structure (WBS)
	+ Gantt Chart
	+ OKRs and SMART Goals
	+ RACI Charts
	+ Stakeholder Analysis and Power Grid
	+ SoW and Project Budget

Lifelong Learning:

* Dedicated learner, continuously pursuing new courses and certifications to enhance project management skills.

Let's Connect:

* Excited to bring creativity, dedication, and project management expertise to a dynamic organization.

Professional Goals:

1. Continuous Learning and Growth: Eager to expand knowledge of project management methodologies, tools, and emerging technologies.
2. Collaborative and Supportive Team: Seeking a collaborative and supportive team that values open communication and shared goals.
3. Clear Communication and Transparency: Value transparent and open communication, expecting clear project objectives, requirements, and expectations.
4. Mentorship and Guidance: Excited to work under the mentorship and guidance of experienced professionals.
5. Opportunity for Advancement: Aspiring to work in an IT company that provides opportunities for career advancement and growth."
318," Here is the improved resume:

---

**Head of Procurement Department**

*Created and managed a procurement department for an FMCG company, optimizing inventory and reducing deadstock.*

**Responsibilities:**

* Developed and implemented procurement strategies to maximize sales margin with minimum ordering costs
* Established a procurement department managing 50,000 SCU with less than 4 months on hand and less than 3% deadstock
* Hired and trained a team of 6 product managers utilizing a high level of automation

**Skills:**

* Technical: Excel (PowerPivot, VBA scripting), Power BI, 1C Enterprise 8.3, Worksection, Trello
* Methodologies: Agile, Kanban, Scrum, Lean Management, 5S
* Personnel: Strong analytical skills, T-shaped in: Data Analysis, Product Marketing, Product Management Supply Chain, Warehouse logistics, Good communicator and negotiator

**Achievements:**

* Partnered with 1C and Web developers to create an automated price comparison system for ordering and pricing
* Implemented a forecasting system for ordering
* Conducted data analysis of competitors' availability to develop product range without significant spending

**Department Management:**

* Managed new projects with the Kanban methodology (Trello, Worksection)
* Utilized Excel as the main analytical tool, including formulas, Power Query, and Pivot
* Established department KPIs according to Lean Management principles: low deadstock, high availability, and high turnover of goods
* Possess basic SQL and VBA scripting skills for automatic price list collection and uploading to a database."
319," Here is a revised version of your resume:

---

**Objective:** Junior Project Manager, with a desire for growth and development

**Experience:**

* Contributed to the development of the Technical Department of a security company, expanding the technician staff and integrating new operational procedures for new objects, resulting in reduced time and staff spent.
* Transferred essential databases to the cloud system, created interactive tables for multiple users, and maintained all changes in one place, eliminating information loss.
* Skilled in troubleshooting and repairing malfunctions, communicating with clients, and coordinating repair engineers to ensure timely service.

**Skills:**

* Technical education
* Analytical skills
* Experience working with personnel and clients
* Problem-solving abilities
* Experience with various types of documentation

---

I hope this revised version is helpful! It stays true to your original experiences and skills, but presents them in a more clear and concise way. Let me know if you have any questions or need further revisions."
320," Junior Project Manager

At previous place of work (5+ years), gained expertise in commercial real estate, including negotiations, budgeting, and emergency management. Successfully conducted multiple commercial real estate projects, demonstrating strong management skills, ability to estimate tasks, terms, and resources. Improved English language skills through collaboration with international partners.

Strong team player, motivated to learn and grow in the IT industry. Seeking to apply existing skills in a project manager role, working alongside experienced colleagues to create innovative products and make a positive impact on people's lives through information technology.

5+ years of experience in commercial real estate project management. Strong management skills, ability to estimate tasks, terms, and resources. Experience working with international partners and improving English language skills. Strong desire to learn and grow in the IT industry, with a focus on innovation and positive impact."
321," Valerii
Junior Project Manager
21 years old

• Successfully completed the Google Project Management Certificate Program
• Led projects from initialization to closing and delivered them on time
• Implemented Scrum in projects and Agile Methodologies, including Kanban
• Developed project documentation
• Organized and worked well in a team to solve problems
• Coached new employees
• Managed interaction between thousands of users of different roles in Moodle system at Faculty of International Economic Relations
• Top 3 employee in manager department
• Earned a favorable customer satisfaction rating from 95% of users surveyed
• Proficient in Node.js, MySQL, MongoDB, Next.js, Mongoose, Nest.js, PostgreSQL, Firebase, GitHub."
322," Project Manager

* Effectively manage teams for 1.5 years to ensure project success
* Excel in interacting with developers, designers, and clients through strong communication skills
* Skilled in utilizing project management tools including Jira, Asana, Trello, Slack, and Microsoft Teams
* Oversaw projects in educational, government, and non-profit domains utilizing Agile (Scrum) and Waterfall methodologies
* Demonstrated ability in problem-resolution and maintaining team spirit

Seeking new opportunities to leverage communication and problem-solving skills for driving successful project outcomes. Eager to tackle new challenges, collaborate with diverse teams, and contribute to the growth and success of future projects."
323," Here is your updated resume:

---

Young enthusiastic manager with 3 years of experience leading teams of 20+ students towards meeting strategic goals. Proven managerial skills from various management roles at an international IT company.

Experience in IT project coordination gained during a 6-month internship. Currently enrolled in the physical course ""Project Management in IT."" Understand IT project methodologies and tools, with proficiency in Trello, Jira, Confluence, and Agile with Atlassian Jira (Coursera).

Former International Students Organization President, leading teams of 20+ students, driving HR activities, facilitating workshops, and coordinating 30+ events for European students and alumni (business case-study competitions, educational, strategic, and entertaining).

Expert in MS Office and G Suite, skilled in creating presentations and structuring data. Interpersonally and interculturally competent. Seeking a project management role in an international company."
324," Highly motivated and result-oriented professional with 15+ years of experience in HR, banking, and Oil & Gas industries, focused on process improvements and operational issues. Proven track record of successful projects as a process and team lead. Seeking a development opportunity in Project Management within IT.

Skills:

* Process improvements
* Team leadership
* Project coordination
* Junior Project Management
* Budget planning
* Risk management

Experience:

* Supported teammates in completing home tasks (provided hints, advice, and completed additional scope of work)
* Consistently delivered home works on time
* Finished 1st, 2nd, or 3rd in various Kahoot! quizzes
* Designed the Pharmapteka project as part of a PM course with GoIT, a unique platform for customers to find specific prescription and non-prescription medicines, compare prices, and locate or order from pharmacies in Krakow and the surrounding suburbs
	+ Created roadmap, mind map, and statement of work
	+ Planned budget, estimated project, and managed risks
	+ Developed project backlog and customer journey map

Availability for:

* Project Coordinator positions
* Junior Project Management roles
* Challenging and interesting tasks"
325," Junior Project Manager, High Honor Graduate of Hillel School

Experienced English Teacher with strong communication skills and upper-intermediate level of English. Skilled in planning and preparing lessons, monitoring student progress, and interacting with parents. Proficient in developing engaging activities, providing feedback, and maintaining records.

Accomplished Kindergarten Teacher with a strong track record in assisting Head Teacher, designing teaching plans, and using songs, stories, and games to motivate children. Adept at evaluating children's performance, determining those needing extra work, and adhering to teaching standards and safety regulations.

English Teacher Responsibilities:
- Planned and prepared lessons, including creating lesson plans, gathering materials, and developing activities.
- Monitored student progress, provided feedback, and maintained attendance, grades, and discipline records.
- Interacted with parents or guardians to discuss student progress and address concerns.
- Prepared materials such as tests, presentations, and homework assignments.

Kindergarten Teacher Responsibilities:
- Assisted the Head Teacher with paperwork, documents, and presentation creation.
- Assisted in designing complete teaching plans and engaging lessons.
- Used and organized learning material and resources.
- Used songs, stories, and games to motivate children to participate.
- Regularly communicated with parents.
- Determined children that needed extra work.
- Evaluated children's performance and progress.
- Adhered to teaching standards and safety regulations.

Education:
High Honor Graduate, Hillel School
Theoretical knowledge in Budget Management, Scope Management, Quality Management, Risk Management, People Management, and Stakeholder Management. Upper-intermediate level of spoken and written English."
326," Highly motivated Project Manager with PM+BA course completion from Lemon School.

Project Manager, German Desk, Grant Thornton LLC - Kyiv (04/2021 - present)
• Ensure smooth office operations and employee functionality.
• Facilitate client-office communication and manage project completion.
• Step in as HR manager when necessary.
• Generate monthly client-employee reports, updating the Company's database.

English Instructor, Bude Talk - Kyiv (01/2021 - 06/2021)
• Taught English to children and teens.

Office Manager, EKC - Kyiv (06/2020 - 12/2020)
• Managed business correspondence and phone calls, greeted visitors, and supported all office staff administratively.

Eager for a Junior Project Manager position to reinforce course knowledge, gain experience, and enhance skills. Seeking a team-oriented role for growth."
327," Here is the revised resume:

* Udemy Business: ""The Project Management Course: Beginner to PROject Manager""
* IT STEP University: ""3Ds MAX""
* SPE School: ""Development courses on Leadership Effectiveness and Team Management Skills""

 Experienced professional with managerial experience in the German-Ukrainian automotive company with over 3000 employees.

* Started as a technologist, responsible for adjusting processes for Audi A4 and Audi Q3 projects, and promoted to deputy head of the department.
* Head of change management department with Project Coordinator responsibilities for Audi Q3 (new generation AU326) and Skoda Octavia projects, including stakeholder communication (clients, developers, logistics, procurement, and project management) and internal communication with Ukrainian plant managers.
* Oversaw calculation of changes sent by developers, communicated with the sales department to assess changes, and implemented them in production.
* Implemented Scrum and Kanban methods and launched Lean management in production, conducting daily, weekly stakeholder meetings (client, project managers, procurement, and logistics department) in English.
* Completed SPE School courses in Leadership Effectiveness and Team Management Skills, learning the stages of team development and successfully applying them in practice.
* Deputy Production Director, actively participating in all optimizations processes.
* Head of Labor Protection Department and Ecology in all Ukrainian representation departments, successfully passing external audits from TUV (ISO 14001, ISO 45001, and Fire Safety at the enterprise), developing methods for tracking and verifying deadlines, and closely communicating with relevant state structures and authorities.

Eager to develop further as a Project Coordinator and apply skills in the IT field to exciting projects and people."
328," Project Manager

* 4 years of experience at NGO, including 1.5 years in a management role
* Launched a social project in response to COVID-19
* Managed teams of up to 8 people
* Achieved goal of involving 10,000 volunteers who provided emotional support for 3,000 beneficiaries
* Implemented CRM system using Airtable
* Established and managed a call-center department
* Organized 25+ online events with 4,000+ registrations
* Created a project documentation wiki for team reference

Additional skills:

* Account management
* High empathy
* Team building
* Experience working with diverse stakeholders

Driving values:

* Well-functioning teams
* Strong processes
* Positive impact on projects and products

Experience:

* 1.5 years as Project Manager at an NGO, managing charity projects and teams
* 2.5 years in various project-related roles at NGO, working on plans, documentation, and team management

Looking to apply my project management skills to a new opportunity, and seeking a thorough onboarding and any necessary support to bridge my gaps in IT project management."
329," Diana
20 y.o.
Junior Project Manager, Sales Development Representative
AIESEC, Kyiv, Ukraine (Feb 2022 - present)

* Established partnerships with 25+ stakeholders in Portugal, Greece, Turkey, Romania, and India
* Facilitated 100+ international volunteering and professional exchanges
* Maintained 87% team retention rate since Apr. 1st
* Fully established processes and funnels from scratch
* Recipient of the National Excellence Award (AIESEC) for the biggest number of exchanges since the outbreak of war
* Created and developed educational projects for schools and youth, providing an exceptional experience for the youth to discover the culture of speakers from various parts of the world and explore their hidden talents
* Manage 2 international internship products: Global Talent and Global Teacher, assisting youth in fulfilling their potential abroad and in Ukraine
* Oversee product development plan, strategical growth, customer needs assessment, analysis reports, and product malfunction reports
* Established long-lasting international partnerships with network in Europe, Southern Asia, North Africa
* Manage team dynamics, brainstorming spaces, and working tools creation
* Currently assisting Ukrainian people abroad in finding employment with the help of our internships

Sales Development Representative, AIESEC, Kyiv, Ukraine (Oct 2020 - Feb 2022)

* Established new partnerships with stakeholders
* Proactively reached out to new leads, handled responses, and scheduled initial and follow-up calls
* Developed trustful long-term relationships with stakeholders
* Clearly communicated to stakeholders, addressing any concerns and resolving conflicts
* Matched prospective candidates with stakeholders' profiles
* Handled project servicing and post-servicing in terms of logistics, exchange participants' meeting and accommodating, regular check-ups, onboarding, and offboarding
* Managed CRM system, updated customer information, and tracked/managed communication with customers

Skills:

* Passionate about working in products and educational projects
* Experience using Jira, Notion, Miro, Trello, and Google Sheets for team/processes management
* Seeking an entering position in Project/Product management
* Not interested in Customer Support positions

Note: No additional notes or explanations have been included, only the resume text as requested."
330," Hillel IT School
Project Management, February 2023 - April 2023

Sysmex UF-5000 Technical Training
Canon MRI Fundamentals Magnets Overview
GE Healthcare Certificate of Achievement PETtrace Application Training

Siemens Healthineers LLC, December 2021 - January 2023
Product Manager
• B2B sales support, including negotiations and product features presentation
• Sales strategy development and execution
• Market intelligence and competitive analysis
• Information preparation for new line-up and comparison with previous models
• MRI and Nuclear Medicine systems configuration to customer needs

InMed Ukraine LLC, May 2020 - October 2021
Head of Service Department
• Service department operation, including contracts conclusion, negotiations with medical equipment suppliers, and contractors
• Installation, service, and relocation medical equipment project management
• Service department development, including financial strategy, service and spare parts pricing policy, and service documentation
• Spare parts purchasing, registration, and warehouse control
• Experience with Toshiba and Canon medical diagnostic equipment: MRI, CT, angiography and X-ray

Labvita LLC, December 2019 - March 2020
Head of Service Department
• Laboratory equipment (blood and urine analyzers) installation, maintenance, repairing management
• Service department team development (hiring / mentorship / training)

Radiomed LLC, April 2017 - November 2019
Head of Service Department
• Service department operation
• Project management: building preparation and medical equipment installation (MRI, X-ray), service
• Bitrix24 CRM system operation (project management, spare parts sales management)

Nuclear Medicine Center of Kyiv City Clinical Oncology Center, March 2011 - March 2017
Engineer-radiologist
• Medical cyclotron, PET/CT scanners, radiation monitoring system, compressed gas equipment exploitation
• Maintenance and repair schedule planning"
331," Hi, I’m Andrii.

With over 7 years of experience in ecommerce project management, I lead a team of Content Managers at Nexteum, a company supplying one of the largest web stores in Northern America. My responsibilities include planning, prioritizing, coordinating, and controlling workflows within my team, as well as resolving important issues.

My team and I research product data, fix issues, actualize information, and improve product structures for over 1000 brands on our web store. Our efforts have contributed to regular sales increases.

Recently, I completed a Project Manager course and aim to become a professional Project Manager, gain experience in other projects, and enhance my English skills. I am looking for interesting projects that will provide me opportunities to improve as a specialist."
332," Irina
6 years of experience in FMCG company

* Transferred department reporting from Excel to Qlik Sense platform, including requirement description, testing, and user training
* Automated data exchange process with distributors, achieving full system-business customer synchronization
* Implemented electronic document flow project in 1C/SAP for Russia and Ukraine, saving company $35k annually
* Developed first Telegram-bot for automatic QR code changes on equipment, enabling real-time online updates
* Improved SLA level from 85% to 1"
333," Marianna
Languages: English - Intermediate, Romanian - Fluent, Russian - Fluent, Ukrainian - Fluent

Experience:

* Project Management Certification, SPALAH IT School
* 7 years experience at the Romanian Embassy in Ukraine as a Translator and Assistant
	+ Translated documentation and meetings between Romanian and Ukrainian officials
	+ Organized receptions, international meetings, and festivals for 10-500 people, adhering to protocol rules and providing reports for Ukrainian mass media
	+ Coordinated charitable projects, including drafting project documentation
	+ Managed students traveling to study in Romania, tracking and coordinating their efforts
	+ Coordinated the Ambassador's meeting agenda
	+ Collected and analyzed information for reports and presentations

Goals:

* Utilize leadership potential in a Project Manager role
* Find a friendly team and interesting projects
* Seek opportunities for professional growth."
334," Valeriia
---

Experienced executive assistant and sales department manager with a proven track record of increasing company turnover. Skilled in planning activities, managing teams, and handling meetings. Proficient in creating and implementing KPIs and systems for productivity.

Experience
---

* Sales Department Manager at [Company]
	+ Created a sales department from scratch, increasing company turnover by 4x within 2 months
	+ Planned and managed activities, risk, and unexpected critical situations
	+ Implemented a system of KPIs and motivated the team to increase productivity
* Executive Assistant to CEO and Company Owners at [Company]
	+ Managed and controlled team of assistants and coordinators
	+ Coordinated and scheduled meetings for CEO and company owners
	+ Prepared reports, presentations, and other materials for CEO and company owners
* Project Coordinator at [Company]
	+ Grew a new project and communicated with 3 stakeholders
	+ Delivered results to stakeholders, reported on problems, and hired team members
* Freelance Copywriter at [Company]
	+ Worked on various IT projects as a copywriter for 6.5 years
	+ Built a remote sales department and managed a team of 12
	+ Created instructions for various tasks and managed team workflow

Education
---

* Software Engineer degree at [University]

Location
---

Currently residing in Budapest, Hungary. Available for remote or on-site work in Budapest office."
335," Here is your updated resume:

Full-Stack Developer & Aspiring Manager

Technical Background:

* June 2016 - January 2017: Developed a chemical gas analytical project to display the emission of harmful gases, such as NO2, using a client-server application with an Apache web server. Utilized PostgreSQL for the database and PHP >=7 for the back-end. Implemented the front-end using JS, CSS, HTML, and webpack, with leaflet for displaying data on the terrain.
* June 2018 - July 2019: Developed and supported the client side of a client-server application for displaying and selecting captured images and overlaying vector layers. Leaflet was used as the main library, and the front-end logic was implemented using Vue, with Vue-bootstrap and Element UI for the UI part.

Skills:

* Experienced in building client-server solutions from both the server and client side using Leaflet
* Proficient in Vue framework for the client side and advanced training desired
* Knowledgeable in the technologies used to build client-server applications
* Strong technical background with experience as a Front-end developer and Full-stack web developer

Career Goals:

* Aspiring to grow towards management
* Passionate about creating something new and integrating programmers
* Interested in working in a moderately stressful environment with communication and teamwork as the top priority
* Value an informal and friendly atmosphere in the workplace."
336," Hi, there!

Are you looking for me?

Here is my resume:

Communication skills are my natural strength.
I have experience as an Engagement Manager in a software company and as a Supply Manager, where I sold conference services. I have a strong background in client database management and excel. My experience includes both B2B and B2C sales in IT, tenant services, and goods.

- Excel
- MS Word
- SQL (basic)

My accuracy and English language skills were effectively utilized in translating business correspondence with partners and tenants (English to Russian and vice versa). I have experience assisting in the negotiation process as an interpreter (business meetings, calls) and translator (emails, deeds).

I have researched and updated all required materials needed for the firm and partners. I have some experience in social media management, creating and updating company pages.

As a sociable person, I enjoy communication and organizing events or parties.

If you'd like to know more, I'll be glad to meet you.

Have a good day!
Friendly team, interesting projects."
337," Experienced IT Integration Professional

• Demonstrated expertise in team-level operational management, with a track record of defining overall company strategy and fostering efficient collaboration between departments to meet business objectives.
• Developed and implemented business processes, reducing wasted time by 20% and increasing throughput by 15%.
• Introduced the concept of working with risks and developed instructions for managing complex integration projects.
• Personally managed approximately 100 projects, ranging from $50,000 to $500,000 in value.
• Strong team player with experience managing teams of 5-9 people and serving as a mentor and coach.
• Adept at finding solutions in complex and challenging environments, with a proven ability to bring new initiatives to life and drive process improvements.
• Proficient in leading projects from conception to completion, with a focus on serving as a reliable partner to clients and fostering a cooperative and inspiring work culture.
• Skilled in utilizing a leadership, facilitator, coach, and member approach to manage projects and bring together the right team for success.
• Seeking a company that values personality respect and cooperative culture, and is dedicated to moving forward with inspiration and courage."
338," Docent (PhD) candidate in Technical Sciences
Exclusive Distributor for 2 U.S. Companies (5-years)
People Manager & Conflict Resolution Experience
Non-IT Project Manager (University Teacher, Student Group Curator, & Diploma Project Supervisor)

• Held Docent (PhD) candidate title in Technical Sciences
• Awarded exclusive distributor status for 2 U.S. companies for 5-year period
• Managed people, resolved conflicts, and delivered results as a university teacher, student group curator, and diploma project supervisor
• Successfully managed non-IT projects, demonstrating adaptability and leadership skills

Seeking an IT Project Manager position in a loyal company to unveil my potential and talents as a valuable team member. I am confident that my unique experiences and skills make me an ideal candidate for this role. I am excited about the opportunity to become a valued community member and a loyal part of a strong team. Thank you for considering my application."
339," Here is your improved resume:

Resume

Experience:

Hosting Customer Support Representative

* Provided technical support to customers worldwide
* Assisted in the selection, installation, and configuration of company products and services
* Worked with DNS system and DNS configurations
* Managed email services and their features
* Troubleshot and resolved issues related to server operating systems - CloudLinux, CentOS
* Troubleshot and resolved issues related to MySQL and PHP configurations
* Supported and managed cPanel services
* Worked closely with Content Management Systems such as WordPress, Magento, etc.

Customer Support Quality Assurance

* Assessed the quality of the Customer Support business unit
* Gathered and analyzed statistics
* Cooperated with different tiers of the business unit and delivered feedback based on analysis
* Contributed to updating existing company procedures and workflow
* Created new procedures based on analysis of gathered statistics and assessed data
* Required understanding of basic system administration, WordPress, and other widely-used CMS, cPanel/WHM, and DNS system

Skills:

* Analytical skills
* Communication skills
* Basic knowledge of Project Management and Business Analysis (graduated with honors from a Project Management + Business Analysis course)
* Initiative and responsibility in solving immediate cases in current position

Note: The revised resume accurately represents the candidate's actual responsibilities, experiences, and skills, without adding any new facts."
340," Huawei Ukraine LLC · 06.2016 – 09.2018
Regional Project Manager

* Project planning and rollout execution monitoring
* Project progress analysis and delivery optimization
* Project documentation and performance reporting
* Subcontractors supervision and efficiency control
* Project resource and workflow management
* Task planning and distribution to contractors

Senior Specialist, Kyivmetroproject
· 03.2011 – 06.2016

* Designed low-voltage systems at underground stations and control points
* Conducted negotiations with customers and contractors
* Agreed projects with related departments, communication service, and management of the underground
* Prepared technical specifications and issued tasks to related departments
* Chose engineering solutions for new projects, selected equipment, developed schemes, created structured cabling systems, prepared specifications and cost estimates
* Executed design documentation of all stages and comprehensive building of the network infrastructure
* Managed designed projects and designer’s supervision over the developed design solutions

Accomplishments:

* Delivered 6000 swap & new sites for Kyivstar (2016-2017)
* Implemented video surveillance, automatic fare collection system, travel radio communication system and tunnel communication networks at Kyiv and Moscow metro stations
* Extensive practice with Cisco, HP, Moxa, Olencom, IBM equipment
* Significant experience in backbone networks with the use of physical circuits and fibre-optic communication lines"
341," Here is the improved resume:

**Project Manager**

*2 years of experience in the b2b segment and 2 years in the b2c segment, working with top partners in the fintech field*

**Projects:**

*Team Leader (RM), ""Do it yourself \ Make yourself"" project*

* Created a road map and organized the project structure
* Designed project budgeting and created a Mind Map
* Developed the project backlog and wrote the SOW
* Analyzed the value proposition and created customer journey maps

**Project Management Skills:**

* Formulated the SOW, checklist, stakeholder register, and risks
* Developed the RASI matrix, team schedule management plan, and reporting management plan
* Utilized critical path method and EVM for schedule tracking

**Goals:**

* To create modern and innovative projects in the IT sector of Ukraine and the world
* To work in cool teams and bring the IT sector of Ukraine to a new level."
342," Choice31 Online University - Project Management Diploma, June 2023
• Learned foundational skills for future profession: Jira, Trello, Google Docs/Tables, risk management, Agile Scrum/Kanban, SDLC, reporting, budget management

Pet Project - ""Marketplace""
• Project Manager for a team of 9, currently ongoing
• Responsibilities:
  - Facilitating meetings, recording minutes
  - Documentation maintenance
  - Proficient in Jira, Discord, Notion, Figma, Google Tables
  - Effective communication with team members and stakeholders
  - Monitoring performance, task tracking and team communication
  - Planning and coordinating meetings
  - Active gathering and sharing of team and project information

Professional Development:
• Currently enrolled in Atlassian courses to enhance Jira skills
• Regular English language development
• Continuous learning through platforms like Coursera, DOU, IAMPM

Work Philosophy:
• Emphasizes communication, personal and team development
• Values results-driven work over procedural focus"
343," 2023
• Successfully completed Project Manager course at GoIt.
• Developed two personal pet-projects: ""LoveTravel"" and ""EcoHabitat.""

2021
• Completed HTML and CSS course, with a professional website layout certification from htmlacademy.
• Created the pet-project ""Sedona.""

2018 – 2019
• Trained and prepared two new employees for similar duties.

2017 – 2018
• Increased monthly income by 20% in a year by finding new manufacturers and clients.

Experienced IT Project Manager with a focus on software development and design. Proficient in Agile, Kanban, and Scrum methodologies. Skilled in using Jira and Confluence for efficient task management and clear communication with stakeholders. Motivated, results-oriented leader capable of managing multidisciplinary teams and fostering a collaborative work environment. possess strategic planning, resource management, and risk assessment skills, enabling effective decision-making in challenging situations.

Project Experience:
""Love Travel""
• Created Statement of Work (SOW) for the project.
• Designed project roadmap and organizational structure.
• Developed a mind map and budgeted the project.
• Created project backlog and planned for risks.
• Conducted test planning for the project.

Poligrafika | Sale Manager
2017 – 2019
• Managed clients from initial meeting to closing deals.
• Processed incoming leads via mail, messenger, and telephone.
• Calculated order costs, provided support, and maintained client relationships post-agreement.
• Proficient in using Photoshop, Adobe Illustrator, and CorelDraw.
• Kept daily reports and utilized CRM.
• Occasionally resolved logistical issues related to order delivery.

Seeking a dynamic and goal-oriented team that offers career and professional growth, comfortable working conditions, and opportunities to achieve set goals while adapting to changes. Committed to working responsibly, fulfilling management's objectives, and embracing new challenges."
344," Certified Project Manager (International Project Management Association, Level C C.01.00677)
8 years of project management experience in thermal power engineering and radiation technologies
Lead Marketing Specialist for 4 years

Certificates:
- English language (Level B1)
- Computer Academy ""STEP"" (Photoshop and Illustrator)

Expertise:
- Project workflow and implementation schedule development
- Organizational documents and project presentations creation
- Stakeholder communication and meeting organization
- Timesheet and implementation reporting
- Market research and workshop organization
- Tender proposals preparation
- Participation in exhibitions and development of branded products
- Design of banners, flyers, postcards, and calendars

Eager to learn and expand skills in a new field."
345," Here is your improved resume:

Project Manager Intern, Choice 31
September 2022 - December 2022

* Facilitated and coordinated the creation of an online store as an intern
* Wrote user stories and created a roadmap and backlog for the project in Jira
* Developed a project risk map and calculated budget for sprints, generating reports
* Established effective and open communication between project stakeholders

Previous Position

* Planned and prioritized project prospecting and flow
* Built projects from scratch (presentation, planning, budget, job descriptions, launch, testing, adjustment)
* Prepared technical tasks, reports, and managed daily meetings and internal/external correspondence
* Negotiated and communicated with customers, clients, management, department team, and internal services.

I am a communicative person, focused on building rapport, both with clients and within teams. I excel in multitasking conditions and have experience in project management, user story writing, risk management, budgeting, and stakeholder communication."
