,CV
71,"
Hi, I'm a junior UI/UX designer. I'm focused on creating intuitive and engaging digital experiences that solve real-world problems. My interest in psychology helps me understand user behavior and create designs that truly resonate with people, and my passion for macro photography taught me that even the tiniest detail can make a difference. I'm skilled in empathy and problem-solving. If you’re looking for a dedicated and creative UX/UI designer to join your team, I would be thrilled to contribute to meaningful design projects.

My project experiences include:

Nutrie app
Nutrie is a mobile application that helps users maintain a healthy lifestyle through healthy eating. It offers features that allow users to track their meals and calorie consumption and provide personalized recommendations based on their health goals.

VoyageNest web service
VoyageNest is a web service that offers free accommodation for travelers in exchange for work. Users can search for accommodations by location, type of work wanted in exchange, type of accommodation, and amenities, and communicate with hosts directly through the platform to arrange bookings and ask questions.

Aurainteriors landing page
The project involved creating a minimalist and aesthetically pleasing landing page for an interior design studio.
I am a quick learner always interested in expanding my skill set. I am looking for a collaborative work environment that fosters growth and learning opportunities. I would like to work in an environment where I can express my ideas and opinions and feel comfortable doing so. I hope to find an innovative and dynamic work environment that encourages creativity and experimentation."
72,"Took part in a team project to create a web service for animals. Created a website for the sale of gamer chairs and redesigned an outdated restaurant website
Hi, I'm a junior UI/UX designer. I started my career as a designer by taking a GOIT course. I made my first steps and projects there with cool mentors. Let me tell you about them. My first project was a landing for selling gamer chairs. First, I did a competitor analysis. I looked at which solutions made people stay on the site longer, but lead to a purchase quicker. I made an initial wireframe. Placed blocks on the site based on a brief with a customer. Designed the site with high quality photos, matched the colours
The second project was a website redesign for a restaurant in America. To begin with we analyzed and inspected the existing site. The site was found to have some flaws with buttons that didn't work and illogical layout of pages. Next, the sites of nearby competitors were analysed. On the basis of the analysis it was decided to combine several pages that individually were not informative. New blocks were added to the site to increase user confidence. A wireframe was created and a new colour palette and quality pictures were added.
I expect a friendly team to work with. Timely payment of labour. Good attitude from superiors. It would be great if the company would be interested in the professional growth of an employee.  From myself I guarantee a temporary job, responsibility, sociability and willingness to improve their skills, the desire to constantly learn and develop"
73,"Had a successful experience woking in a team. We created a web service that has to help people to find their lost pets. We have done all necessary research and analysed the similar sites. We used Figma as a main tool.
Solved different problems during creating my projects.
Hi! I'm a Junior UI/UX designer, specializing in design for web sites and mobile applications. I work in Figma and have basic skills in Adobe Photoshop, Adobe Illustrator. I do full cycle design: analyse a task, make wireframes, create an interface and do prototyping. For this moment I have two my own projects: redesign for sport club and landing page for the urban fest. Furthermore, I work in a team, we create the web service that will help people to find their lost pets. 
Also I continue studying in IT school and improve my soft and hard skills. I would like to create easy-to-use projects to make people enjoy using them. 

My projects:
Redesign for sport bar

The idea of the project was to create a new design for existing site, because the site was outdated, its navigation was confusing and difficult. The menu page was unclear, the main button was poorly visible. The page of reservation form was difficult to understand and it had a lot of unnecessary information. 
Before starting the redesign, research and analysis of competitors was carried out. In redesign were used calm light and dark colours and one accent colour.  The information was structured and logically located on the pages. The menu page was modified to become more accessible for consumers. In general, the website has became more convenient, fashionable and concise.
The target audience is people, especially men, from 18 till 60 years old who like watching sport events, different games and competitions and also want to do that with friends drinking some alcohol.
The project was created in Figma.

Landing page for the architecture urban fest

The main goal of this event is to discuss modern architecture, pay attention to topical issues, develop discourse and unite the professional community. 
The target audience. The festival will be interesting and meaningful both for professionals, who already work in the field of urban architecture, and for those who are interested in this topic. 
Landing page contains all necessary information about fest and helps people to register.
The project was designed in Figma.
I'd like to work in a company with a team of professionals to improve my soft and tech skills, creating useful projects. I want to be a part of real projects, help to solve different problems and conduct researches to reach the company's and my personal goals. I can work in office or remotely."
74,"During the period of study, I already took on a freelance project: A site for an e-commerce store, such products as: fireplaces, furniture and tubus for bottled water.
*until the site is published, I do not have the right to disclose the name of the store.
Hi, I'm a junior web designer who can create engaging and aesthetically pleasing websites, providing a memorable user experience and efficient navigation.

And here are some projects that I have completed:

1. Web service for making an appointment with a doctor online
Happy Health Clinic | Online Consultation - where only the best doctors are gathered. The goal was to create a web service interface for conducting online calls between a doctor and a patient.
The project was developed in 3 stages: general end-user 
interface; general interface of the doctor; common payment interface

2. Car service application
Car Service is an application where all car service centers of Ukraine are collected. The goal was to create an easy-to-use application with a car service call and a normal registration in the autoservis. The project was developed and launched in 1 stage: general end user interface
I look forward to development, to gain and exchange experience, to find a great team."
75,"
Hi,

I'm Alina, Junior UI/UX designer. Over the course of my professional journey, I have gained valuable insights and hands-on experience in both UI/UX design and brand marketing. As a UI/UX designer, I have honed my skills in wireframing, prototyping, and creating visually appealing interfaces that enhance the overall user experience. I am proficient in using industry-standard design tools such as Figma and Adobe Creative Suite, and have a solid understanding of UX principles and best practices.

Additionally, my extensive background in brand marketing has equipped me with a unique perspective on user engagement and the importance of aligning design decisions with brand identity. Having worked in international companies for the past seven years, I have developed a keen eye for understanding target audiences and crafting design solutions that resonate with diverse cultures and markets.

Some highlights of my qualifications include:
- One year of professional experience in UI/UX design, where I successfully contributed to the design and development of user-centered interfaces for web and mobile applications.
- Proficiency in conducting user research, usability testing, and incorporating user feedback to iteratively improve designs.
- Strong collaboration skills, demonstrated through effective communication with cross-functional teams including developers, product managers, and stakeholders.
- A proven track record of delivering projects within tight deadlines while maintaining a high level of quality and attention to detail.
- In-depth knowledge of design principles, typography, color theory, and information architecture.

Skills:
UI/UX Design 
Wireframing
Rapid Prototyping
Design system design
User Research
User journey mapping
Graphic Design

Tools:
Figma
Adobe Illustrator
Adobe Photoshop
MS Office
"
76,"I have 2 own Pet-projects. Redesign for website “A kids place Childcare” and   team  project Web service “ ZooShuk” where I was teamleader.
Hi, I'm an aspiring UI/UX designer. Figma is my primary tool for work. I can create landing pages, websites, and mobile applications, and I am eager to work on projects across various industries to broaden my skill set and gain additional experience.I can analyze competitors, research the target audience, I also create Wireframes, mind maps, user flows, create a UI Kit, interface prototype.
I use the following programs in my work:
 Figma
 Photoshop
 Illustrator 
I am open to internship or job opportunities.

1Project
Redesign for website “A kids place Childcare”
This is the website of a children's preschool. The goal was to create a modern and user-friendly design that could attract potential customers.To solve the task, I research, and analysis of competitors were carried out. It helped to make a simple and more clean modern style. The site has been adapted to the dimensions of tablets and mobile.

2Project
Web service “ ZooShuk”
“ZooShuk” - search service for missing animals. The goal is to develop a web service that will help people quickly find and return their lost pet. The site should be easy and convenient to use with the ability to add photos, search for animals by category (sex, age, type) and geolocation.
- Focus on results, focus on design and open team
- Mutual respect and friendly atmosphere
- Possibility of remote work
- Corporate training and development within the company"
77,"I completed three pet projects (design for a landing page, redesign, and a team project - a web service) With each completed project, I gained important experience and improved my hard and soft skills, and working on a team project helped me develop time management and improve my communication skills. The ability to conduct research and analyze competitors using Similarweb, which helps me understand which solutions are best to use. Continuous development of watchfulness and design thinking
Hi, I'm a young and energetic UX/UI designer, I love what I do, I'm always looking to improve my skills, and adapt to new technologies and I'm open to new experiences. I work with such programs as Adobe Photoshop, Adobe Illustrator, and Figma. I already have such works in my portfolio:
Pet-project
Landing Page for a Barbershop
The full cycle of creating a landing page design for a barber shop for men in Kyiv. The objective was to create a minimalist design with a dark background and easy navigation that could capture the attention of potential customers without any specific additional requirements. Before starting, the project, thorough research, competitor analysis, prototyping, UI design, and final product presentation preparation were conducted;

Redesign and adapt a tattoo studio website.
The previous design looked outdated and not very convenient, which prevented a potential client from finding a solution to his appeal. Therefore, the goal of the project was to create a modern and convenient design that could improve the attraction of new customers while maintaining recognition among existing ones. Full cycle of creating. Before the start, was conducted research and analysis of competitors were carried out this helped to understand what successful solutions to use Preparation of ideas for future redesign, creation of prototypes, UI design development, adaptation, and final product presentation;

Design of a web service for finding lost pets
This project was a team effort that brought me new experiences and improved my communication skills. Before starting the work, there was research and analysis of competitors, formulation of the JTBD table, user flow, CJM, and finally prototyping. The goal was to make a light and bright design so that users would feel calm and hopeful. The full cycle of creation. We made a convenient navigation, a block with a map and marks to help speed up the search, a chat with another user for convenient communication already on the site, etc. Adaptation to tablet and phone devices, preparation for the presentation of the final product
I am an open and sincere person, so I will be very happy to have a friendly team, with experienced professionals or beginners, with creative thinking and enthusiasm for their work, to work with you to create incredible products that are both functional and commercially successful.
(I am not interested in employment in russian companies or companies cooperating with them)"
78,"GoIT (IT courses)
	- UI/UX Designer
	- Mobile app design

Designed an entire desktop application.
Hi, I'm creative UX/UI Designer with experience in implementing the best design solutions to create an intuitive user experience for achieving certain products’ business goals.

In my portfolio, you can see some of my projects, from simple pages to complex web applications. I strive to design that fits the client's brand and provides convenient and intuitive navigation for users.

I've created several projects, the largest of which were:

Restaurant reservation app:
The main idea of the project is to create convenient application with the possibility of searching, booking tables and orders.
It was my final project where I got a lot of experience.
Done: Competitors analysis, User Flow, User Persons, Wireframes and other.

Tools: Figma, ProtoPie.

Furniture:
It's landing page shop with furniture.
Here I practiced in new style for myself.

Done: UI Kit, colors, typography, landing page.

Tools: Figma

During my journey in UX/UI design. I develop many tech skills along with soft skills. I am very passionate about creating fascinating and convenient products for users. If you are looking for a designer for your project, I want to help you to create an attractive and functional website.

You can see all of my works in my Behance profile.
I am looking for a position with a company that aims to make everyday life and business easier, more productive and more convenient. I am a fast learner, responsible and ready to perform complex tasks."
79,"
HI! My name is Anya, I work in web design.
I studied UI/UX design, where I developed the concept of Landing Pages for an ice cream company, redesigned the websites of an agency and a photo studio, and also developed a concept E-commerce for bedding store. 

For this I actively studied:
- creation of effective structure and content (composition, work with grids, typography, color theory, laws in design, micro-interaction)
- the main stages of work on a web project
- UX research (competitor analysis, definition and segmentation of the target audience, drawing up a screen map)
- anatomy of UI elements

I can work with programs:
- Figma
- Adobe Photoshop
- Adobe Illustrator,
- Adobe After Effects

I always study and get inspired by the latest trends, which I try to actively use in my work, add my vision and a little creativity, something completely different and interesting turns out. 

Also I have experience in graphic design:
1) NGN.agency 
 - Marketing design for brands: Fora, Pickwick, Jacobs, Carte Noire, Synevo 
 - Photo retouching in Adobe Photoshop

2) TapJets holdings INC. 
- Design of content and video content for social networks
- Team work on brand promotion (creating a logo, corporate style, website redesign, design for social networks)

I have a very strong desire to join a company where I would be able to grow, develop, have a community of like-minded people and make a cool product for brands
"
80,"
Hi! My name is Liubov. I am a UI/UX designer with experience working with programs such as Figma and Adobe Photoshop. I know how to create research, user persona, clickable prototypes, styling and typography. I strive to make an ergonomic, beautiful and comfortable design. I am open to learning and improving my skills.
   I am interested in the opportunity to join your company and collaborate to enhance and develop your product.
The digital landscape is constantly evolving, and I am excited to stay updated with the latest design trends, tools, and technologies to deliver cutting-edge designs.
 I pay attention to design elements, including typography, color schemes, imagery, and spacing.
 
Alaska Pete's Website Redesign
 The goal was to create a modern and user-friendly design that could attract potential customers. Before starting the redesign, research, and analysis of competitors were carried out.
    It helped to better understand which successful solutions can be used for the project: make a simple and modern style, structure the information, and use unified style photos.

    CoStay Web-Service
Web service for searching temporary accommodation for students and young people who are willing to work 4-5 hours a day in exchange for housing and three meals a day. Competitor analysis, research, Information Architecture development, User Flow, and CJM were conducted.
Friendly atmosphere
Career growth
Clear Communication
Inclusive Culture
Collaborative Environment
Corporate training and development within the company."
81,"
Hi, my name is Max, I'm from Kharkiv. Looking for a permanent job, I want to be part of a big and cool team. I want to grow and develop in the direction of design. I am looking for a job as a Junior UX/UI designer. I am studying at the IT school ""Design Kitchen School"". 
During the course, two tasks were completed:
1) A landing page for a volunteer organization was created. Fonts, colors, selected high-quality photos were selected in it. The goal was to tell what the organization does, how and to whom it can help, as well as to show the results of this help. And of course, like many charitable organizations, it needs financial assistance. For this, a separate block was created, where you can donate the amount to the fund from different payment systems. A mobile version of the site was also implemented. The result of the work can be seen on my Behance page
2) The second project was the redesign of an online clothing store. An analysis of competitors was performed (their advantages and disadvantages were determined). Recommendations and hypotheses were offered to improve the site. Invented and described two persons. For each of them, a path was made through the site. Sitemap created. The end result was a redesign of the site, which was demonstrated and described more on my Behance page, as well as the site's work through the use of prototyping in Figma.

My skills:
- UI/UX design
- Mobile apps design
- Web design
- Creating frameworks
- User flow and persons
- Prototyping
- Creating a landing page
- E-commerce
- Responsive design
- Design system
- Typography
- Color theory
- Composition

Tools i use:
- Figma (mostly used)
- Adobe Photoshop
- FigJam
- Trello
"
82,"!!! In general, I did 7-9 projects !!!
Hi there!

I would like to tell you about my most interesting projects and tasks, as well as share my plans for further development and the technologies I wish to pursue.

Project 1: Optimization of an e-commerce mobile application
In this project, my main role was to design and improve the user interface of a mobile application for an e-commerce company. I collaborated with a team of developers, UX designers, and project managers to identify issues and enhance the purchasing process, making it more convenient and intuitive for users. For this project, I used Sketch for designing the layouts and InVision for prototyping.

Project 2: Redesign of a service-oriented web portal
In this project, I was responsible for a complete redesign of a web portal that provided various services. My role involved conducting user research, analyzing data, and developing an interface that would meet the users' needs. I utilized Figma for creating layouts and prototypes, and also conducted usability testing to validate the effectiveness of the new design.

Project 3: Landing page

Project 4: 3 Mobile apps

!!! In general, I did 7-9 projects !!!

For my future projects, I would like to further specialize in interaction design, particularly focusing on animations and microinteractions, as they can greatly enhance the user experience.
I would not like to bother with projects that require complex animation!"
83,"
HOMECULT 
Design for a company specializing in professional interior design development. The goal
of the project. Improving the company's image in the network, attracting new customers
online. What business problem should the project solve? Demonstration of the catalog of
works (Portfolio). Attracting new users using the Internet and increasing trust in
specialists. What user need should the project satisfy. Find a worthy performer in the
shortest possible time. Quickly and effectively implement design solutions in the building
object. Quickly choose the appropriate design solution.

Motocycle Website Concept 
Site for the sale of sports motorcycles. We were given the task of developing a
commercial website in order to improve the image of the store in the network, attract
new customers online, and demonstrate the catalog of bikes. The goal of this project is to
make the site design different from competitors, with its own identity. The site should be
easy to use.

DRIVER 24
Mobile application for car rental. The task is to design a mobile application with which a
person can choose and rent a car. The goal of this project is to make a convenient and
understandable mobile application, so that it is easy and simple for the user to interact
with it.
"
84,"Three own projects: Dog style, Flower Lover, Redesign website Indian food.
I am a beginner web designer. I am engaged in Prototyping, Figma (Software), Adobe Photoshop, Adobe Illustrator, User Interface, Design, UX Research, Web Design, and UIKit. I have a great desire to work and create something great that can help people. 

Project Flower Lover. 
     Expanding the geography of sales: creating the site allows you to deliver flowers to other cities and countries. This allows you to expand sales geography and increase the number of customers.
Service Improvement: A flower delivery site can be built to improve the customer experience. On the site, you can place information about delivery times, payment methods, the possibility of choosing a specific composition, etc. Increasing customer loyalty: A flower delivery website can help increase customer loyalty through regular promotions, discounts, and order bonuses. You can also provide the ability to subscribe to newsletters and offers.

Project Redesign website Indian food. 
     Improving user experience: creating a more convenient and intuitive site design, simplifying the process of navigating the site, and providing quick and convenient access to information. Increase conversion: increase the number of site visitors who become customers, increase the number of orders, and improve the checkout and payment process. Improving Brand Identity: Creating a website design that reflects the brand's unique style and character helps improve brand perception and awareness among consumers. SEO improvements: A site design update can also include search engine optimization, which will help improve the site's ranking in search results and increase traffic to the site. Adaptation for mobile devices: updating the design of the site with a responsive design will help make the site more convenient and accessible to users of mobile devices.
Get experience working with real customers and experienced web designers who will give you an impetus and suggest where it is better to develop further."
85,"I was a UI/UX Designer during creating design landing pare for time tracking aplacation Motivate Clock . 
I have 2 own Pet-projects. 
One of them development web services for learning languages with opporturnity become to volontere.
Another project is the redesign of the dance school website. Here the main task was to refresh UI part and combine colors with light waight shapes of objects in  the website.
I am a Certified Interior Designer from Ukraine offering 4+ years experience, innovative designing, conceptual sustainable functional spaces, and creative aesthetic design. 
After the start of the war in Ukraine I have decided to move to Europe and also to change my occupation. But I really like to be involved in design and everything connected with it. 
I graduated courses about UI/UX Design and really like to be a part of this global process. My knowledge about color, shape, composition and how to connect it between themselves to help me in designing web products.
I am a confident, friendly, and resourceful individual who utilizes a strong professional background and the utmost attention to detail for achieving the best from any task undertaken. I am well equipped with numerous competency skills such as communication, teamwork, adaptivity, and problem-solving skills.


I have stron knowleg in Figma, Adobe PhotosShop, Adobe Illustrator, Web Flow. 

I have experience in:
-UX research, 
-prototyping, 
-designing landing page, 
-designing mobile interface , 
-working on vector graphics, 
-development mobile application, 
-development web service design.

Motivate Clock landing page. 
The main aim was to develop a laconic landing page that will attract new users with interesting animation and attractive design, as well as show basic features and tasks of the application. 
During the process a was using Figma, Adobe Illustrator and PhotoShop.

Babbleer Web service
The goal of the project was to create platform for teachers, volunteers and seekers language courses to learn new languages and expand their knowledge. The platform also gives it possible to hold on-line meetings for teachers and students for study.
Website had adapted for tablet and mobile.

Dance School redesign
In creating a redesign for a dance school. I have been owner this idea. My whole goal was to create a light design, complemented by bright illustrations and unobtrusive forms. During the process a was using Figma, Adobe Illustrator and PhotoShop. 
Website had adapted for tablet and mobile.
I am looking forward to finding a job in a product company and being part of a team where I could grow up and develop myself."
86,"
I am a creative and ambitious individual with a good ability to create aesthetically pleasing and functional website designs. My desire to learn new things and improve every day allows me to find the best solutions for various tasks in web design.

I have a sense of proportion and color that allows me to create harmonious and effective designs. I love using my imagination and creativity to create unique and exciting web designs.

I am detail-oriented and a perfectionist, which ensures the high quality of my work. I am able to listen and understand the client's needs and turn them into a realized website idea. Although I have no direct web design experience, I am confident in my ability to quickly learn new tools and technologies to become an effective web designer.

Design for medical web-service ""TakeCARE""
Provide a web service interface for conducting online calls between a doctor and a patient; to enable the doctor in a private clinic to review the patient's medical history, schedule an appointment with the patient in the calendar, and conduct an online call between the doctor and the patient.

Online store electronics ""The POWER"" 
The POWER online store is a trading platform where you can find gadgets and equipment. A wide assortment allows you to make all purchases on one site, saving time, effort and finances.

Landing for a furniture store
In this project, the main advantages and goods of the store were shown. It is also possible to order and consult the client.

Mobile application for ordering flowers and gifts ""Flowerlove""
A flower and gift delivery app where you can schedule delivery for the upcoming birthdays of your friends, relatives or anyone else. The program will automatically select the best flowers/gifts and place an order for their delivery on your behalf.
"
87,"Was a team leader in the project ""Webservice UX/UI Design-Travel Easily”.
I am a creative and motivated web designer creating a complete UX and UI unique functional design of websites and mobile applications, redesign of websites and work in a team. I can confidently lead a project from start to finish: research, analysis, wireframing, UI/UX, prototyping, creation visual style. 
1. Webservice UX/UI Design-Travel Easily is a group project, full cycle design.
Travel Easily-is a webservice that will help organize a stay in another country very cheaply. As a result I was developed UX and UI for both the guest and the host. 
2. Redesign Landing Page Hospital is a multi-page Landing , full cycle design.
The goal was to create redesign multi-page site as clear as possible for the user, with a convenient opportunity to choose the specialist you need; make this site more modern and practical. An additional solution was to add the ability to make an appointment with a doctor online.
3. Landing Page for flower shop is a Landing Page according to the brief, full cycle design.
My goal was to show the beauty, services and range of the flower shop and make the simple user experience. I have developed two designs for you to choose from.
I love creative projects and I follow current trends in the design world and translate my ideas into future projects. I want to constantly grow and improve. I am looking for a full-time position in a company. 
I am a fast learner, responsible, and problem-solver and attentive to details. Looking to apply my skills in your company."
88,"- Made a high-quality redesign of the ""Custom Contcepts"" website
- Made several acselent logos for own projects
- Launched a successful idea for car service app
- Successfully organized teamwork on multiple projects
I am a creative and passionate UI/UX designer with a degree in graphic design and a keen interest in user-centered design. I have completed courses in UI/UX design and have experience working on various projects, both individually and in teams. I am proficient in Adobe Photoshop, Illustrator and Figma. I am eager to learn new skills and tools and to work on challenging and innovative projects.

My Projects:

1.“Custom Concepts” website redesign (Case Study)
About:
Custom Concepts is a redisign of a tatoo studio website. It has a bright stylisic design, reveals the studio in a new way and emphasizes the individuality of the brand. An important task was to focus on the masters. Create a profile for them with a description that reveals their personality, provides details about their experience, presents and frames their best work.
My role in this project:
- Conducted user research, competitor analysis.
- Created user personas, wireframes, prototypes.
- Developed UI-Kit.
- Improved the visual design, navigation and functionality of the website.  
Tools: Figma, Adobe Photoshop, Adobe Illustrator.

2. Web service “Happy Health” (Pair Project)
About: 
Happy Health is a web service case study where user-patients can find professional help online regardless of where they are. Users-doctors can earn extra by helping patients professionally online, regardless of where they are.
My role in this project:
- Defined the problem statement, user needs and goals.
- Created user flows, customer journey map, wireframes.
- Created adaptive design for tablet and mobile. 
Tools: Figma, Adobe Photoshop.

3. Mobile application “Quick Way” (Pair Project)
About:
Quick Way is a mobile app that provides quick access to car services from top auto service providers. It allows users to manage multiple cars, schedule visits, and choose services based on rating, price or location. The app features a simple and convenient interface for a wide audience.
My role in this project:
- Created branding and illustrations for app.
- Created user flow, wireframes, mockups, prototypes.
- Tested the usability and functionality.
Tools: Figma, Adobe Photoshop, Adobe Illustrator.
- Providing opportunities for professional growth and learning
- Creating a conducive work environment and fostering collaboration with the team
- Providing necessary resources and tools to perform your job
-  Work-life balance
- Offering competitive compensation and benefits package."
89,"While my studies, I received an offer to create landing pages for a Ukrainian chef. The landing page was created for packaged lunches for long-term storage, with the possibility to order this product. Adaptation for mobile and tablet was developed.
I am a creative and result-oriented designer. I create unique and attractive visual concepts for websites. Also I strive to achieve specific goals and ensure successful user interaction with websites through my design solutions. I invite you to take a look at some of my work:

KULISH /landing page, e-commerce/ 
The task was to create a landing page for Ukrainian dishes. These are lunches of long-term storage from the famous Ukrainian chef Yevgeny Klopotenko and entrepreneur Inna Popereshnyuk. Also, the site should be able to order these products or contact the manager for more information. The goal was to create an easy, informative, stylish landing page relevant to the target audience. Apply the corporate color of the packaging of retort bags in the design. Give a complete description of the dishes, how to prepare the dishes, and how to store them. Develop an adaptation for a mobile version and a tablet.

WEB Service HiTutor /team project/
The goal of the project is to create a convenient service for finding tutors from around the world and combine the search function with an educational platform, to produce a friendly interface, and make education accessible. Full 
I suggested a color palette and created several animations. The project is created in Figma, using Adobe After Effects. Teamwork improved my communication skills, the ability to listen to criticism, and come to a common solution to problems. All design cycles have been completed.

Music School Website Redesign /multipage site/ 
I had a task to develop a redesign for a Music School 
in Poltava city. To update an outmoded, boring, uninformative interface. The goal was to create a modern, easy-to-use, user-friendly interface, which suits the target audience. Competitor research and analysis of the existing site were carried out. Also, I've created a set of illustrations for this project. The project is created in Figma.

Although I have little, still experience behind me, feeling a great desire and potential, I want to multiply projects and knowledge in the field of design, grow and become a step higher every day!
I want to work in a team of professionals, learn from them, and grow as a specialist. To feel satisfaction from implemented projects. Feel supported by the team. In turn, give your all, and be part of the team."
90,"I was the leader of the team, organizing and supervising their work for the day. 
I conducted training on design skills and targeted advertising for my subordinates. 
I organized events and gatherings for more than 100 person. I was responsible for finding, attracting, and communicating with clients.
I am a creative UI/UX designer specializing in website, service, and mobile application development. I have commercial experience working as a web designer and social media marketer, which provides me with a wide range of opportunities to create interesting and appealing products and deliver profit for bussines. I have worked with website builder, Adobe Photoshop, Adobe Illustrator, Figma, and Canva. I have experience in creating prototypes, customer journey maps, jobs-to-be-done, user flows, and I have a good understanding of composition, typography, also I have a design thinking mindset.

I enjoy being part of large projects and conducting research to create useful applications and web services. In my opinion, design is not just about beautiful visuals, well-chosen fonts, and color palettes. It's about usability, usefulness, meeting user needs, and being beneficial to people.

Recently, I completed Figma courses and have elevated my skill level. My pet project are
- Event Landing Page for Architects
One-page site for architectors and urban planners. The main goal of the project was a minimalist design, provide information about the objectives and program of the event. I did research, created a mood board, wireframe and landing page design. 

-Redesign of an Indian Cuisine Website
For this project research was conducted on the target audience of the website as well as its competitors. The old website did not meet the requirements, so we decided to revamp it. A prototype was created, the design was refreshed, more ""tasty"" photos were added, the user's personal account was completely redesigned, and the option to book tables at the restaurant and order food delivery through the website, rather than other platforms, was implemented.

- Helper Service for Finding Cleaning Companies
The goal of the project is to solve the customer's problem - finding a service provider, and the service provider's problem - finding customers. To make their communication convenient, fast, accessible, and safe. I have worked with JTBD, CJM, User Flow, Wireframe.
I'm looking for friendly team, wich delops, grows and proves that nothing is impossible."
91,"During my studying as a UI/UX designer, I've learned such skills as target and competitor analysis, wireframing, animation of prototypes.

Learned how to work in Figma, Adobe Photoshop, Adobe Illustrator, features of each application.

During the creation of each project, I always analyse competitors, look for references, and find the best solutions for creating a future web/mobile application.

Created two landing pages, a web service, redesigned the photo studio website, create adaptive design for tablet and mobile
I am a creative UI/UX designer with a strong eye for aesthetics and functionality. Proficient in wireframing, prototyping, and user research. I demonstrated ability to translate complex concepts into elegant, user-friendly designs. 
I have experience in working on team and individual projects.

Landing Page for a Travel Agency
The goal was to analyze the target audience and competitors, create a modern, colorful, eye-catching landing page so it can brings clients and money for that company.

Photostudio Website Redesign
The goal was to create a modern and user-friendly design that could attract potential customers. Before starting the redesign, research, and analysis of competitors were carried out. It helped to better understand which successful solutions can be used for the project: make a simple and modern style, structure the information.

Landing Page for a Flower Shop
The goal was to analyze the target audience, developed a clear interface, and work on the User Interface part.
- Open team that focuses on creating productive and user-friendly design
- Possibility of partial remote work
- Career growth
- Corporate training within the company"
92,"Working as a team, we successfully created a web service, including design and functionality. The site was created taking into account the needs of the user and received positive feedback.
I am a creative UI/UX designer, with practical experience in developing websites of various types and mobile applications. I am quite good at working with Figma, Miro, Photoshop, and Illustrator.
1. Service for finding lost animals (web-service)
Since the beginning of the war, many have lost their pet and do not lose hope of finding
them. To ease the burden of the pet, the ""PetHelp"" web service was created where you
can: find a lost animal; report the found animal; give the animal into good hands.
We hope that with the help of the service, each ponytail will find its owner.

2. BookingTablet (mobile app)
A restaurant reservation/booking app that allows you to check the layout, and restaurant
hall, select your preferred seats/table, and book a table for a specific time. The goal was
to create easy to use web-service.
I expect to have the opportunity to express my creativity and apply my design skills to create unique and visually appealing websites. I value the freedom to experiment and develop innovative designs.
 I expect my work to provide ongoing challenges that allow me to constantly improve my skills and explore new technologies. Staying up-to-date with the latest web design trends and applying them in my work is crucial."
93,"Was a team leader in the project ""Languages web service”. 
I defended two projects.
I have several shots on Dribbble.
I am a dedicated and passionate junior UX/UI designer with the goal of creating user-centric, visually appealing and intuitive interface designs.
Now I am a student in GO IT School. There I work on projects that increase my qualifications.
Here are some of them.

1.Redesign of the tourist site.

I had to redesign the travel site.
The development started from scratch and ended with packaging for the portfolio.
The idea is to popularize tourism in Ukraine, both for Ukrainians and for foreigners. A concise and easy-to-use site that attracts potential customers and encourages them to book a tour.
The goal was to develop a concise and easy-to-use site that would attract more potential customers and encourage them to book a tour.
Target audience: the travel company will be useful for those who prefer tours in which everything is already organized and do not need to spend additional time.

2.Creation of a web service

It was a group project, the goal of which was to create an easy-to-use web service that would also be a personalized platform for effective learning of different languages, improvement of knowledge and continuous growth. The site will provide an opportunity to communicate with a teacher or trainer who will help solve questions and improve qualifications.
In this work, I worked on such processes as: analysis, Jobs to be done, CJM and User flow.
We managed to recreate the user's most comfortable way from landing on the page to registering and purchasing the course.
I am hoping to find a job as a UX/UI designer.
Why?
This field is constantly evolving due to the advancement of technology and changing user behavior.
This means that I will have the opportunity to constantly learn and stay up to date with the latest design trends and tools."
94,"• Designed 4 successful presentation. 
• Solved Multiplex cinema desktop website issues.
• Designed landing page for delivery service.
• Designed mobile application for sound recording.
• Designed authorization screens for mobile application HearU.
• Together with a team have designed 5 unique and successful loyalty campaigns.
• 5 successful product presentations that helped secure client contract.
• Published “Arena” book with my own illustrations and cover design.
• Key art design, a portfolio of POS-materials and packaging designs.
• Took part in UI design for mobile application and website.
• Increased store turnover by 3%.
• 3d modeling and rendering.
I am a designer with over 4 years of design experience, including 9 months in UX/UI design. I am ready for routine tasks and am hard-working. I am a team player and, at the same time, have the ability to work independently. My principle is not just to “leave no trace” but live so that things after me will be better than before. I want to gain new experience in UX/UI design and create user-friendly projects that delight users.
"
