,CV
331,"
Hi, my name is Andrii.
Let me tell you a few things about my background.
A have over 7 years of experience in working with ecommerce project.
I work with a Nexteum company which supplies one of the hugest web stores in
Northern America.
I’m a Content managers team leader. My job is planning, prioritizing, coordinating and work
flows controlling of my team. Also, I take responsibility for solving all important issues with which my team meets.
Secondly, we research all the data about products which are sold on our web site to fix issues, actualize data information, to improve structure of them according to needs of company’s business.
Thanks to our job, sales on our web site increase regularly.
My team processed data for products of over 1000 brands, developed and implemented convenient structure for them.
Recently, I’ve studied course for Project Manager. My goal is to become a professional Project Manager, get experience in working with other interesting projects and improve my English.
Looking for the interesting projects which will give me an opportunity to become better as a specialist."
332,"Transfer of department reporting from Excel format to the Qlik Sense platform (description of requirements, testing, user training)
• Automated the process of exchanging data with distributors, full synchronization of the company system and business customers
• Implemented a project on electronic document flow 1C / SAP in Russia and Ukraine, saving company resources by 35 kUSD per year
• Launched the first Telegram-bot to automatically change QR codes on equipment, thanks to which it became possible to make changes to the system online
• Raising the team's SLA level from 85% to 100% through optimization and transformation of processes
Hi! My name is Irina and I have 6 years of experience in an FMCG company. My last role was as a commercial equipment manager with 12 people at different levels. I was involved in the organization, standardization and control of processes for the accounting of commercial equipment; Management and maintenance of projects from the stage of initiation to testing and implementation in the work of the department; I have experience in preparing technical specifications for developers and developing reports on the effectiveness of the team's work.
At the moment I am taking project management courses at PM Shcool school.
Result-oriented, sociable, ready to share management experience and want to gain new experience in the IT field.
I'm looking for the opportunity to expand my learning, put to use my skills and experience,.
I expect from the company a minimum of bureaucracy, a maximum of competent management, and a friendly team."
333,"I complete an online course in project management ""SPALAH IT School""
My languages skills:
English - Intermediate
Romanian - Fluent
Russian - Fluent
Ukrainian - Fluent
Hi. My name is Marianna and I am looking for new experience as a Project Manager. For the last 7 years I have been working at the Romanian Embassy in Ukraine as a translator and assistant.
My experience at the Embassy:
- Translator of documentation, meetings;
- Organizer of the receptions, international meetings and festivals (10-500 people). Responsible for protocol rules. Responsible for the final results of events, provide reports for ukrainian mass media;
- Coordinator of various charitable projects. Drafting project documentation;
- Students manage that goes to study in Romania: track and coordinate;
- Coordinator the agenda of the Ambassador's meetings;
- Сollection and analysis of information;
At my new job, I want to realize my leadership potential, find a friendly team, be part of interesting projects and find opportunities for professional growth."
334,"I am proud of my previous experience as a Sales Department Manager, I created a sales department from scratch and got 4x bigger turnover in the company within 2 months of my work. It took me to plan a lot of activities, manage some risks and unexpected critical situations, create a system of KPI for the department and motivate people to work productively.
Hi! My name is Valeriia, and I am on a start of my Project Manager career path. 

I am experienced executive assistant to CEO and Company Owners and I believe I have some relevant experience in planning activities, managing, controlling a team and handling meetings. In one of the companies I used to grow a new project and communicate with 3 stakeholders:  deliver the results to them, report about problems and hire people (see my resume please).

I have got an experience of building a remote sales department, I managed a team of 12 people, created instructions to some tasks and managed their work.

I also have experience in IT sector: first of all I have got an education as a Software Engineer and I work as a freelance copywriter for 6,5 years taking part in different IT projects.
Due to the State of War in Ukraine I reside in Budapest, Hungary. I am looking for a remote job or on-site in Budapest office."
335,"development and implementation project to protect the environment.
Hi previously i worked full-stack developer. Now I feel that I want to grow towards management.

My previously technical background

June 2016 to January 2017.

Development of the project, the purpose of which was to develop a chemical gas analytical, to display the emission of harmful gases: NO2, NO etc. in the vicinity. Development of client server application, an Apache web server. As a DB was selected PostgreSQL. Back end side was written in PHP >=7. Front end was written in used js, css, html and webpack. As a library for displaying data on the terrain was used leaflet.

June 2018 to july 2019

Development and support of the client side of the client-server application. For displaying and selecting captured images as well as overlaying vector layers. Leaflet is used as the main library. Front-end logic used Vue and for UI part used Vue-bootstrap and Element UI.

Interested in developing client-server solutions from both the server and client side using Leaflet, as well as advanced training as a specialist using the Vue framework for the client side. There is an experience of building an application from scratch, an understanding of the technologies that must be used to build client-server applications and a desire to grow towards Full-Stack web developer.
The most important thing for me is an informal and friendly atmosphere in the team. I like moderately stressful projects and communication with people. There is a technical background, Front-end developer and Full-stack web developer, I want to help create something new and integrate programmers."
336,"
Hi, there!

Are you looking for me?

Let me tell a little about me :)

Communication skills are my natural ones.
I worked as the Engagement Manager in software company, as a Supply Manager I sold conference service.  Worked a lot with clients database and Excel. Have experience in B2B and B2C sales (IT, tenants, goods).
 
- Excel
- MS Word
- SQL (basic)

My accuracy and English knowledge were efficiently used in translating of business correspondence with partners and tenants (English - Russian and vice versa). Sometimes I assisted in the negotiation process as an interpreter (business meetings, calls) or translator (e-mails, deeds).

Researched and updated all required materials needed to the firm and partners. Got some SMM experience created pages and updated information on the companies.

As a sociable person I like communication and organization of events or parties.

If you'd like to know more, I'll be glad to meet you.

Have a good day!
Friendly team, interesting projects"
337,"Besides having experience in team-level operational management, I have majorly contributed to defining overall company strategy, and efficient collaboration between departments and that business objectives are met:

- I developed business processes for automating the work of the team and reporting templates, which helped to reduce wasted time by 20% and increase throughput;
- Introduced the concept of working with risks and instructions for managing complex integration projects;
- I personally conducted about 100 projects from $50,000 to $500,000.
Hi there!

In 4 years of work in IT integration, I gained a lot of experience and became the strongest specialist in the team.

I worked with a large number of projects of world-famous companies, had experience managing a team of 5-9 people, was a mentor, a project manager and overcame impostor syndrome (:D).

My superpower is the ability to find a solution in the most complicated and challenging environment and bring new (and even bold) initiatives to life. I learn things from 0 to pro-level in a flick and always look for ways how to improve processes around me - and help my team perform better.

Being PM for me - is:
1) to be a Leader, Facilitator, Coach, and Member at the same time because the success of any project, and the true engine of its work, is its team. That’s why I think that bringing together the right people and being able to manage them is extremely important.
2) to be a reliable partner to the client, because my mission is to make their businesses prosper with the tech I sell, avoiding being slippery and stuffy. 
I love getting 'thank you!' LinkedIn messages from clients and team members I've worked with even a couple of years ago, I'm looking for a team who shares this vision.

So I'd love to share a copy of my CV - so do not hesitate to reach me back :)

Let's talk?
Personality respect and cooperative culture play big roles for me. I am looking for a company that moves forward with inspiration and courage."
338,"My best achievements are:
Docent (PhD) grade, candidate in technical sciences, and very valueable experience in inernational collboration, exlusive distributor status during 5 years.
Hi there) Nice to meet you.
Unfortunately I can't brag with an extensive experience in IT project management. There was a short internship. However, my rich experience in people management, conflict resolution, nonIT project management in Univercity as a teacher, academic student's group curator & diploma project supervisor, will, surely, be my main andantages as for a potential IT Project Manager. And my, 5 years long, distribution partnership with 2 companies from USA, is the best example of my professional and social skills.

IF you are looking for new blood and a loyal teammember - I could be your best shot. Just give me a try)

Waiting to meet you !
Looking forward to join a loyal company and team, where i will have an opportunity to unveal my potential and talents. The comunity that will value my loyalty and will become my 2nd amily."
339,"For now, I have no experience in Project Management, however, I have some basic knowledge as I have graduated from a Project Management + Business Analysis course with honors. In addition, I have some analytic and good communication skills. I am not afraid to take the initiative and responsibility on myself since in my current position I often come across cases that need to be solved immediately.
Hosting Customer Support Representative 

Responsibilities: 
- Provision of technical support to customers around the world 
- Assistance in the selection, installation, and configuration of the products and services of the company. 
- Working with DNS system, DNS configurations 
- Managing email services and working with their features 
- Effectively troubleshoot issues and resolve problems related to server operating systems - CloudLinux, CentOS 
- Troubleshoot and resolve issues related to the MySQL and PHP configurations 
- Working closely with Content Management systems such as WordPress, Magento, etc. 
- Supporting and managing cPanel services 


Customer Support Quality Assurance 

Responsibilities: 
The position implies assessing the quality of the Customer Support business unit, gathering and analyzing the gathered statistics, cooperating with different tiers of the given business unit and delivering feedback based on the given analysis, contributing in updating the existing company procedures and workflow, as well as creating new ones, based on the analysis of the gathered statistics and assessed data. Assessment of the customer support quality also involves a decent understanding of basic system administration, WordPress and other widely-used CMS, cPanel/WHM, and DNS system as a crucial part of establishing appropriate cooperation between the stakeholders in technical support delivery.
"
340,"I have excellent problem solving, team development, communication and decision making skills with high moral and ethical standards, so as management experience of technical teams. During 2016-2017 I participated in Kyivstar swap project: delivered 6000 swap & new sites.
As a Kyivmetroproject senior specialist I took part in implementation of video surveillance, automatic fare collection system, travel radio communication system and tunnel communication networks at Kyiv and Moscow metro stations. I have a significant experience in backbone networks with the use of physical circuits and fibre-optic communication lines, have an extensive practice with Cisco, HP, Moxa, Olencom, IBM equipment.
Huawei Ukraine LLC    06.2016 – 09.2018 (2 years 3 month)
	12.2016 - 09.2018 Regional Project manager
	09.2016 - 12.2016 Regional Project manager assistant
	06.2016 - 09.2016 Acceptance manager
		Duties and responsibilities:
•	Project planning and rollout execution monitoring
•	Project progress analysis and delivery optimization
•	Project documentation
•	Subcontractors supervision and efficiency control
•	Project resource and workflow management
•	Performance reporting on regular basis
•	Task planning and distribution to contractors


Kyivmetroproject LLC     03.2011 – 06.2016 (5 years 3 month)
08.2014 - 06.2016: Chief Specialist(Deputy Chief of the Department)
06.2013 - 08.2014: Group Lead(Deputy Chief of the Department)
03.2011 - 06.2013: I Category Engineer

Duties and responsibilities:
•	designing low-voltage systems at the underground stations and control points
•	conducting negotiations with customers and contractors
•	agreeing projects with the related departments, communication service and management of 
	the underground
•	preparation of technical specifications
•	issuing tasks to related departments
•	choosing engineering solutions for new projects, selecting equipment, developing schemes, 	creating structured cabling systems, preparing specifications and cost estimates 
•	executing design documentation of all stages
•	comprehensive building of the network infrastructure
•	knowledge of the field-specific regulatory documents on design
•	experience of designer’s supervision over the developed design solutions
•	knowledge of the design structure and principles
•	cost estimating for design works
•	management of the designed projects
"
341,"Was a team leader (РМ) in the project: ""Do it yourself \ Make yourself"".

I participated in:
Formation of a road map;
Created the organizational structure;
Formed project budgeting;
Created a Mind Map;
Created the project backlog;
Wrote the SOW for the project;
Analyzed the value proposition;
Created customer journey maps.
I always go forward: I have been working in the fintech field for 4 years, of which 2 years with the b2c segment and 2 years with the b2b segment. Worked with various projects and TOP partners. I wish to continue to develop and create new things in the IT sphere of Ukraine and the world.

The project I performed as a Project manager.

Project name:  ""Do it yourself \ Make yourself""

The goal of the project: to create a mobile application, it will have a marketplace platform (B2B segment), where it will be possible for trainers\nutritionists\sports companies to place their services and products for customers. It will also cover the B2C segment of the market - a personal account for customers, tariffs\purchase of services, products and others.

Tasks performed:
Creation of project SOW;
Forming a checklist;
Stakeholder register;
Risks;
РАСІ matrix;
Team schedule management plan;
Schedule tracking tools;
Reporting management plan;
Critical path method;
EVM.
I expect from work the opportunity to create modern and innovative projects, work in cool teams and bring the IT sector of Ukraine to a new level."
342,"Choice31 online university courses for Project Manager, graduated in June 2023 and received the basic skills for  future profession there (Jira, Trello, Google Docs/Tables, risks management, Agile Scrum/Kanban, SDLC, reporting, budget management)
Pet-project ""Marketplace"" which continues to this day and gives me the opportunity to practice my skills. In detail about the main duties in the ""work experience"" section.
I am a beginning Project Manager, investing my practical experience from Choice31 courses into a pet project. Now I manage a team of 9 people. My main duties:
- participation in meetings, keeping protocols of meetings;
- keeping documentation; 
- using such tools as Jira, Discord, Notion, Figma, Google Tables;
- communication;
- monitoring the performance of tasks and communication between other team members;
- planning and organization of meetings;
- active gathering of information from team members and stakeholders.

Now I want to develop more in working with Jira, so I'm taking Atlassian courses. I am engaged in improving the level of the English language and constantly attend courses or lectures for professional development and such platforms as Coursera, DOU, IAMPM.
In my future work, the main thing for me is communication, development of myself and the people around me, and work for the sake of the result, not for the sake of the process."
343,"2023
I have 2 own Pet-projects ""LoveTravel"" and ""EcoHabitat"" and have successfully completed Project Manager course at GoIt

2021
I have 1 own Pet-project ""Sedona"" and have successfully completed HTML and CSS. Professional website layout at htmlacademy.

2018 – 2019
Trained and prepared two new employees whowere to perform the same duties.

2017 – 2018
Having found new manufacturers and clients, Iincreased monthly income by 20% in a year.
I am a certified IT project manager with knowledge of software development and design. I have demonstrated ability to apply management methodologies such as Agile, Kanban and Scrum to ensure timely delivery of projects and achievement of set goals. I am deeply familiar with platforms such as Jira and Confluence, which have helped me ensure efficient task management and clear communication with stakeholders. I am a motivated and results-oriented leader, capable of coordinating multidisciplinary teams and creating a collaborative work environment. I have developed solid skills in strategic planning, resource management and risk assessment, which allow me to face challenges with determination and make effective decisions.

Project Experience
""Love Travel""
Description of the project: The product is web platform that aggregate tour tickets for users who want to compare all possible tickets and choose best options according to personal request.
- SOW to the project;
- Formation of the roadmap;
- Organizational structure;
- Mind map;
- Project budgeting;
- Project backlog creation;
- Risk planning;
- Test planning;

Poligrafika | Sale Manager
2017 – 2019
My duties as a manager included:
- working with clients from meeting to closing the deal;
- consultation and processing of incoming leads by mail,messenger and telephone;
- calculation of the cost of the order, support of the order and the client after concluding the agreement;
- work with programs: Photoshop, Adobe Illustrator, CorelDraw;
- keeping daily reports and work in CRM;
- sometimes solving logistical issues with the delivery of orders.
At my new place of work, I expect career and professional growth, comfortable working conditions and a lively, goal-oriented team. In turn, I am ready to work responsibly, achieve the goals set by the management and be ready for dynamic changes."
344,"- Certified Project Manager of International Project Management Association C.01.00677
- Diploma of Computer Academy ""STEP"" on the completion of the courses ""Photoshop and Illustrator""
- English language course completion certificate (Level B1)
I am a Certified Project Manager of “International Project Management Association” (Level C) with 8 years professional experience as a Project Manager in the field of thermal power engineering and radiation technologies.

My key skills: project workflow, development of project implementation schedule, development of organizational documents, create project presentations, organization of meetings, document flow and communication with stakeholders, timesheet reporting, monitoring the implementation of work, monthly reporting (technical, financial).

Also, I worked for 4 years as a Lead Marketing Specialist, where my key responsibilities were: market research, organisation and implementation of workshops, preparation of Tender Proposals, participation in exhibitions, organizing the production of branded products of the company, design development of banners, flyers, postcards and calendars.
I want to become a cool specialist in a new field for me.  Willing to learn new things and improve my skills."
345,"From September 2022 to December 2022 Project Manager internship at Choice 31 with a practical case on creating an online store
I am a communicative person, focused on building rapport, both with the client and within the team, with the skills of functioning in multitasking conditions.

• Facilitated and coordinated the project of creating an online store as an intern
• Wrote user stories
• Created a roadmap and backlog for the project based on business goals and requirements in the Jira issue tracker
• Created a project risk map while interacting with the team
• Calculated the budget for sprints and generated reports
• Initiated and established effective and open communication between the various stakeholders of the project.

On the previous position:
• Prospective and flow project planning and task prioritization
• Building a project from scratch (presentation, planning, budget, job descriptions, launch, testing, adjustment)
preparation of technical tasks
• Preparation, administration, business process management (reports, daily meetings, internal, external correspondence)
• Negotiations and communications with customers, clients, management, department team, internal services.
"
346,"In my field of work at the moment, I have successful projects where an active plan was developed from scratch and the set goals for treating patients were achieved. I also worked on building relationships and collaboration between departments of the hospital for fast and productive work together and now my projects have received European recognition.
I am a doctor psychologist and psychotherapist, I work as a project manager in the medical field. I am completing PM courses in the IT field to understand the technical part. And as an IT project manager on the courses, I was responsible for creating a website for finding a psychotherapist. We worked on the project, applying project management methodologies and utilizing the critical path for task management. The main stages we went through included:

Analysis and gathering of requirements to understand user needs and define project functional requirements.
Designing information architecture and developing a user interface prototype.
Design and graphics development to create an appealing website appearance.
Development of functionality, such as psychotherapist search and user registration system.
Building a database to store information about psychotherapists and developing search algorithms.
Implementing a rating and review system to facilitate user feedback exchange.
Testing, validation, and optimization to ensure the website's quality and performance.
Documentation preparation, instructions, and documents describing the website's operation.
Ensuring security and protection of the website from potential threats.
Project handover with all documentation and other important elements to the client.
Closing financial matters and evaluating the project's success.
This project allowed me to demonstrate project management skills, teamwork, analytical and technical abilities, as well as problem-solving and risk management during the implementation of the website creation project for finding a psychotherapist.
I am looking forward to the opportunity to gain experience in the IT field"
347,"As a student of Choice31 I managed a project (mobile application) where I practiced with such documents as Project Overview, Gantt Chart, reporting, prototyping. I have written user stories, built a matrix RACI, made a risk register. I got enough grades to get a diploma.
I am a goal-oriented, attentive and motivated project-manager. I am a “switcher” and I am going to build my career as a successful PM. I chose to be a PM because I have experience in journalism and communications so I know how to communicate with clients and to show empathy (I worked with such brands as Loreal and Chicco). I managed a team and I know how to build a friendly relationship which helps in work process. Since I worked as an editor for several years I know how important the deadlines are, so I am used to do my work on time.
My goal as a PM is to build the work process in such a way that it will be convenient both for the team and client and I am ready to work a lot to achieve it. The new skills and knowledge that I got in PM-course will help me in it. So let’s do the projects together .

Had an experience in team management and in communication with clients.
As a student of online-university Choice31 practiced with project's documents.
- planned all project's phase
- set up a backlog in the task tracker (Jira)
- made a prototype
- established effective and open communication with clients and teammates.
"
348,"
I am a graduate of an intensive course in IT project management, gained experience and skills on practical  cases, and now ready to apply the acquired knowledge and commit myself to the Project Management profession.
Skills that I have obtained:
- Learned how to manage a project from scratch(pre-sales/requirements gathering stage) to  MVP release;
Got acquainted with work process in Waterfall and Agile metodologies, and frameworks such as Scrum and Kanban;
- Learned to use such practical tools  as Slack, Notion, Miro, Mural, Figma, Canva, Jira;
- Worked out facilitation techniques, negotiation skills and conflict resolution skills;
- Learned to comply such documents as Business Model Canvas, Value Proposition Canvas, Risk Register, RACI matrix, Power/Interest Matrix, Impact map, Work Breakdown Structure, Communication Plan, Gantt Chart, User story map.
I'm eager to find an interesting project that offers opportunities for me as a beginner in this field to grow and enhance my skills, allowing me to apply my knowledge effectively."
349,"
I am a highly motivated Beetroot Academy IT school graduate with solid communication and management skills. Looking for the position of Intern Project Manager to employ acquired knowledge and gain valuable experience. Eager to learn and obtain new skills to enhance my performance and contribute to common goal. Currntly working on Excel Crash Course by Wall Street Prep and Google PM.
Work experience:
Event Manager in PRAVO.UA (01/2022-08/2022)
- Successfully organized The VIII Legal Banking Forum and The IV International Criminal Law Forum, attended by over 200 professionals each.
- Excelled in engagement and collaboration with new counterparts, including law firms, board members of banks, media, state enterprises, etc.
- Prepared press releases and content for the company’s social media and website.
- Organized professional courses for young specialists.

Operations Manager in Window Repair NYC (06/2021 - 11/2021)
- Negotiations with specialists and contractors (including written/oral communication in English);
- Communication with clients;
- Calculation of the cost of services;
- Collection and analysis of the customers and competitors data, preparation of reports for management, which significantly increased purchase volume.
- Maintained a work calendar, planned a schedule for employees.
"
350,"I am a Junior Project Manager. I finished PM courses at GOIT. 
I have 1 own Pet-project mobile app ""Closed door""  for controlling door locks using mobile devices based on Apple and Android systems.
In previous jobs, I increased the number of product sales, found new customers and improved relations with current customers. Developed a scheme to save costs for transportation.
Language:
English - upper - intermediate
Polish - advanced
Russian - advanced
Ukrainian - native
I am a Junior Project Manager. I finished PM courses at GOIT. My skills include Risk management, Budgeting, Planning, Scheduling, Resource management, Customer service, Sales, knowledge about Agile/Scrum.

I have an experience as a sales manager and export manager.
Knowing what the client needs, analizing, delivering them product, and provide customer satisfaction are things I am passionate about.
I am looking for a suitable position at IT Company, where I can put my knowledge, skills, tools, and techniques to use and help company achieve business goals. I have an in-depth knowledge about the methods, and procedures involved in the IT project management. I tend to form personal connections with my project team members, which helps us achieve our project goals faster by improving the teamwork and collaboration."
351,"Implementing KPI, Mentoring, Creating documentation, Increasing team performance
I am a Junior Project Manager with highly developed
soft skills, knowledge of PM methodologies, and
endless motivation. With my close to 10 years of
experience in sales and 4 years as a credit
underwriter, I learned how to manage a team of 8-15
people, and how to work with resources and risks. I
am a result-oriented and responsible person who is
not afraid of challenges and knows how to make
decisions. Looking for a company that will allow me
to learn and grow as a Project Manager

Sales Manager 
Sales Up |2022 - 2023

-Negotiations & presentations
-Working with CRM and documentation
-Communication with clients
Achievements: Overperforming sales KPI,
Implementing and improving the KPI system, and mentoring.

Credit Underwriter
Selfie Credit |2021 - 2022

-Negotiation
-Risk management
-Credit history analysis
-Working with CRM and database
Achievements: Overperforming KPI, preventing fraud 

Credit Underwriter
-E-Cash |2019 - 2021
-Negotiation
-Risk management
-Credit history analysis
-Working with CRM and database
Achievements: Overperforming KPI, mentoring, preventing fraud
I expect to find a job as a Project Manager, with exciting and challenging tasks that allow me to develop my skills and grow. I have tremendous motivation and desire to learn, and I need a place where I can use it."
352,"
I am already working in IT but my duties combine Marketing, Sales, SMM, Lead Generation, but I want to become PM as it corresponds to my expectations in work. 

-Experience with planning-tracking tools like Jira and Trello. -Understanding of Agile project management methodology.
-Search for leads (social networks, direct mailing, open directories, forums, etc.)
-Flexible approach to lead generation and constant improvements to the process
-Initial communication with potential customers
-Research of information for analysing market's needs
-Help in finding new employees
-Caring about the office: organising cleaning, team buildings, English lessons and food delivery / ordering new furniture

My strengths are high responsibility, sociability and ability to solve problems. I had an opportunity to realize it being a Commercial Administrator in the logistic company where I managed risks of losing cargo or breaking off the contract and ensured correct storage, shipping, packing and distribution. I have learnt to prioritize tasks, control the working process and resolve conflicts.

I have Advanced English skills and practice them by private lessons with students and permanent communication with natives by email as well as face-to-face. 

I am sure I can deal with this position easily, so I need a chance to start
I am looking for a well-paid job where I can improve my personal and professional skills in a friendly environment."
353,"
I am a manager with over 13 years of experience in media production and 6 months of training as an IT project manager.
I have experience in creating a project and coordinating its implementation, planning production costs, negotiating with clients and project participants, and coordinating the actions of all production units. I have practical experience in solving difficult situations. I have experience in coordinating the work of a team of 5 to 70 people. I believe in the dedication and transparency of the team's work on the project, with these qualities you can get quality in production. I am a manager with over 13 years of experience in media production and 6 months of training as an IT project manager. I have experience in creating a project and coordinating its implementation, planning production costs, negotiating with clients and project participants, and coordinating the actions of all production units. I have practical experience in solving difficult situations. I have experience in coordinating the work of a team of 5 to 70 people. I believe in the dedication and transparency of the team's work on the project, with these qualities you can get quality in production.
"
354,"
I am a motivated professional with a diverse background in HR management and a growing passion for development and project management. Throughout my experience as an HR Manager in an IT company, I discovered a keen interest in both the technical aspects of development and the coordination of projects.

My journey into the world of development began with front-end courses. I honed my skills in various programming languages, including HTML, CSS, JavaScript, and React.js. Through this experience, I gained proficiency in popular frameworks and tools such as Bootstrap, Tailwind, and Git. Additionally, I learned how to work with APIs.

Building upon my front-end development skills, I embarked on a volunteer project with Chingu. Over a span of six weeks, I collaborated with a team of four developers to create an e-commerce website using React.js and Tailwind. This project allowed me to apply my knowledge and skills in a real-world setting, reinforcing my passion for development.

However, I realized that I wanted to combine my expertise in HR management with my newfound knowledge of development. This led me to pursue a deep dive into project management. Currently, I am actively studying two project management courses to acquire the necessary skills to bring teams together and excel as a manager.

**Hard Skills**
• Agile, Scrum
• Jira, Confluence Atlassian
• SDLC
• Figma
• HTML, CSS, Javascript

**Soft Skills**
• Observation
• Decision-making
• Communication
• Multi-tasking
• Managment
"
355,"I have an ITIL Certification as well as a C1 DALF (Diplôme Approfondi de Langue Française). I was also able to obtain a C2 IELTS Certification. I was also awarded an Erasmus Mundus Master's program scholarship (2020-2022) and recently finished my  studies on Crossways in Cultural Narratives.
I am a multilingual graduate primarily skilled in project management, such as in monitoring the evolution of projects (from creation to modification, extension, as well as closure). I have also been responsible for generating reports in addition to conducting administrative tasks related to resource imputations and billing. Likewise, I functioned as an efficient resource in translation and with my elevated fluency and expertise on the languages (English and French), not only did I help in translating client and company materials, but I also served as a proofreader and ultimately facilitated the management of translation projects in my team. My capacity for excellent client satisfaction that sprang from my experience on customer service further fostered my interest in the Information Technology industry; thereby encouraging me to develop versatility, instilling me with open-mindedness to take on new roles and challenges in multicultural environments and allowing me to always keep an eye out for opportunities for growth and innovation.
I would like to be granted a remote work setup and ideally have working hours no later than 23h, Lisbon time."
356,"Last time I worked on a financial consulting company that grew to 100 employees engaged in customer projects, including numerous contract staff. ALEF provided accountancy, tax, and IT services to a large number of local companies.
As the founder and owner of ALEF, I took on many of the leadership responsibilities, including financial management, project oversight, and general support.
This role allowed me the opportunity to make significant contributions to the organisation's business processes, project management, financial stability, and successful product/system launches.
I am an accomplished Accountant, Business Analyst, and Project Manager with over 26 years of experience, including leading projects and managing a successful company. Since moving to the UK from Ukraine, I am making a career change and looking to apply my skills in the IT industry. My experience in project management, business process design, and financial modeling are all relevant for a role in IT.
Most of my prior career has been in Ukraine (roles listed immediately below). Since moving to the UK, I have also gained some local experience in short-term roles, while I seek to establish myself in a new country, and these roles are listed lower down.
For me essential have answers to these questions: 
Can you describe the typical work hours and expectations for overtime or weekend work?
What is the management style within the organization, and how are decisions typically made?
How is performance evaluated, and what is the approach to feedback and performance improvement?
Can you provide information on the company's policy regarding work-life balance and employee well-being initiatives?
Are there opportunities for remote work or flexible work arrangements?
How would you describe the company's approach to diversity, inclusion, and equal opportunity?
Can you provide insights into the team's dynamics and the level of collaboration versus individual work?
What is the organizational structure, and how does it impact decision-making and career growth opportunities?
Are there opportunities for skill development and continuing education within the company?
Can you share the company's approach to social responsibility and sustainability?"
357,"Achievements:

- Launched and managed professional development courses within the company for training employees;
- Developed a reporting system that allows different departments to be in single information field;
- Management of the department's marketing revenue. 3 years in a row of implementation of plans.
I am a qualified and well-organized project manager with over 6 years of experience in closing contracts and communication with internation suppliers, performing budget allocation and analysis. Skills include computer networking, analytical thinking and creative problem solving.

WORK Experience:
Fozzy Group, Ukraine
Senior Project Manager
2016 - Present

- Business communication with international suppliers and develop long-term business relationships;
- Sign contracts and negotiate prices with partners;
- Supervise and fully support the supply process;
- Coordinate with marketing team, logistic and commercial department;
- Manage employees in the procurement department, including training and evaluating performance;
- Analyze data to identify trends that may indicate a need for change within a company’s supply chain 
- Supervise and fully support the supply process 
- Keep under review the preparation of the documents for customs clearance of import goods.

Project Experience:
IT School GOIT (Kyiv)

- Allocatation of budgets and resources;
- SOW to the project;
- Manage the project scope;
- Identify potential risks;
- Manage multiple tasks;
- Project backlog creation;
- Formation of roadmap, mindmap;
- Value proposition.
"
358,"Hi! I'm experienced in following activities: 
• Leading communication between customers and team
• Creating, supporting, prioritizing, and validating issue reports throughout the lifecycle
• Coordinating and ensuring the development of new functionality on existing projects
• Managing the development of 2 new projects along with coordinating ‘live’ ones
• Identifying project scope and requirements
• Calculation team velocity and capacity, project cost,
• Project kick-off, estimation, planning, implementation
• Coordinating and monitoring project schedules, resources, and information
• Tracking project progress, identifying deviations from the plan, and taking corrective action to keep the project on track
• Monitoring and reporting on project milestones, mitigation actions on risk and issues, providing status updates and reports
• Participating in project negotiation
• Leading team meetings
• Preparing project documentation and providing control over existing documentation and actualization
• Conducting demos, user training sessions, or other knowledge transfer activities
• Onboarding and mentoring new team members
• Leading performance review
I am a qualified project manager with expertise in identifying project specifications, defining individual responsibilities, and coordinating project requirements with multiple clients at once. Seeking to join a company to improve effective communication and implement successful planning strategies to deliver exceptional projects to consumers.
I am passionate about working hand-in-hand with a team to manage a high-quality product that accurately reflects business needs. Working as a team, we provide complete issue lifetime coverage (issue detection, analysis, coordination, validation, and verification) and are involved in management, development, and support of existing and new projects.
"
359,"My achievements are mostly from sales experience.
I am a sales management professional with a background in the UX/UI services industry. In my previous roles, I have gained valuable experience in lead generation, market research, and attracting new audiences through effective marketing strategies. I have a proven ability to prepare detailed offers, assess risks, and plan budgets for projects, focusing primarily on tech products such as mobile and web apps, as well as complex systems.

I have a solid understanding of clients' business needs and have successfully solved their tasks using a combination of technical expertise and market knowledge. 

In addition to my professional experience, I am proficient in a range of tools including G-Suite, Miro, and Slack, and have some familiarity with Figma, Asana, Jira, and ClickUp. I have also completed the IT Project Manager course by the Projector Institute, obtaining a certificate in the field. I am fluent in Ukrainian, my native language, and have achieved a B2-C1 level of proficiency in English.

Outside of work, I have a passion for humanities and cultural studies, as well as engineering, which reflects my diverse interests and intellectual curiosity.

Given my sales management experience and versatile skill set, I am now actively seeking a junior project manager role where I can utilize my project management abilities, client relationship skills, and industry knowledge to contribute to the success of your dynamic organization.
My expectations: 

1) Professionalism

- Professional ethics, clear working boundaries
- A clear partnership fixed in the contract

2) Autonomy of work
So there is no micromanagement

3) Standards for project management"
