,Modified_mistralai/Mixtral-8x7B-Instruct-v0.1_of_Modified_mistralai/Mixtral-8x7B-Instruct-v0.1_of_CV_Modelmistralai/Mixtral-8x7B-Instruct-v0.1_Modelmistralai/Mixtral-8x7B-Instruct-v0.1
39,"**Project Coordinator, GlobalUp company (04/01/2022 - present)**

• Manage and strengthen client relationships through regular follow-ups and updates via calls and emails.
• Oversee project management using software Monday.com.
• Develop persuasive pitches, proposals, and briefs by conducting market research and generating creative ideas.
• Utilize creativity and copywriting skills in planning social media marketing (SMM) calendars, liaising with creative and web development teams for website, presentations, etc.
• Optimize digital marketing campaign planning process, including Google Ads and social media ads.
• Support and enhance PR campaign planning process, involving influencers and media.

**Previous Experience:**

• Contributed to the success of a crypto project.
• Led and managed a team.
• Boosted revenue through revitalizing digital marketing approach.

**Education:**

• Master's Diploma of International Education, obtained from two universities.

**Marketing Positions at National Aviation University (2016 - 2020)**

• Head (Deputy Head of Department), Communication Sector, Media Communications Center (08/03/2020 - 11/11/2020)
• Leading Specialist, Radio and Television Sector, Center of Media Communications (10/01/2018 - 08/03/2020)
• PR and Advertising Specialist, Media Communications Center (04/01/2018 - 09/30/2018)
• Specialist, Information Processing and Analysis Sector, Information-analytical department (09/25/2017 - 03/31/2018)
• Specialist, Marketing, Advertising and Exhibition Sector, Information and Analytical Department (12/19/2016 - 06/30/2017)

**Key Responsibilities in Previous Marketing Roles:**

• Collaborated in the development of communication strategies.
• Managed social media pages on Instagram, Facebook, Telegram, and TikTok, following the communication strategy.
• Produced photo and video content.
• Designed visuals for social media.
• Authored news, posts, and captions for social media platforms.
• Maintained social media presence and monitored performance metrics.
• Analyzed results of social media, influencer campaigns, and PR initiatives.
• Coordinated with photographers, videographers, and designers for creating content.
• Refreshed and updated photo and video resources for the university departments.
• Prepared, published, and updated information on external resources and platforms relating to the university."
40," **[Your Name]**

**Contact Information:**
[Your Contact Details]

**Summary:**
Accomplished professional with expertise in project management, sales, and union organization. Proven track record in initiating, planning, and executing projects, leading successful teams, and managing budgets. Seeking new opportunities to further drive growth and impact.

**Projects:**

* GoIT, Jan 2023 - Mar 2023: Spearheaded a project, achieving key milestones and delivering high-quality results on time and within budget.

**Experience:**

* Union Organizer, XYZ Company, Jan 2022 - Dec 2022: Successfully led union organization efforts, resulting in improved employee representation and labor relations.
* Sales Manager, ABC Corporation, Jan 2020 - Dec 2021: Exceeded sales targets, developed strategic partnerships, and managed a high-performing sales team.

**Skills:**

* Project Management
* Sales
* Union Organization
* Team Leadership
* Budgeting
* Strategic Planning
* Relationship Building
* Time Management
* Communication
* Problem Solving

**Education:**

* Bachelor of Science in Business Administration, University of Somewhere, Graduated 2019"
41,"Here is your updated resume:

---

**Project Management & Health & Safety Professional**

**Lead and Implement HS CAPEX Projects**

* Led Stay-up project as Project Manager, responsible for improvements in organizational, training, and plant beatification aspects*

* Managed company volunteering activities*

* Completed Project Manager course at Goit*

**Current Role: Head of Health & Safety Department, CRH Ukraine (07.2016 – present)**

* Lead working teams of 4 people*

* Manage department and HS project management*

* Conduct annual HS budgeting for OPEX & CAPEX*

* Facilitate communication between parties*

* Serve as Health&Safety Officer*

**Previous Role: Health&Safety Officer, CRH Ukraine, Odessa (02.2015 – 06.2016)**

* Managed department and achieved goals/met deadlines*

* Conducted risk assessments for unsafe acts and conditions*

**Skills:**

* Project Management: SOW, mind map, WBS, RACI, Risk Register, Schedule Management plan, Jira Project Planning*

* Health & Safety*

* Team Leadership*

* Communication*

**Short-term Career Goals:**

* Gain new skills and become an expert in project management*

**Long-term Career Goals:**

* Increase professional network*

* Gain promotion to a senior level position*

* Continue learning from talented professionals in the field.*

**Additional Project Experience:**

* Created project website and mobile platform for meditation*"
42,"IT Project Manager

Yevheniia Melnyk

* Proven track record in budgeting, planning, project control, and team management within the construction industry
* Currently enhancing skills through the Dexola\_IT\_camp program, learning manual testing and improving English language proficiency

Experience:

* Junior IT Project Manager with 6-7 years of experience in a project role in the construction field, including team management and leadership
* Completed IT project management courses at Go IT and additional scrum and agile course on the Skillsetter platform

Pet Projects Experience:

* Prepared SOW, estimate template, critical path, mind map, general budget, EVM, RACI, risks, test plan, and closing documents in Jira and Confluence
* Prepared test plans, test cases, bug reports, check letters, and QA levels

Program Competencies:

* Proficient in Confluence, Jira, Trello, TestRail, Miro, Microsoft Office, Slack, Google Docs/sheets, 3d max, Archicad, Enscape

Currently developing skills in:

* Manual testing
* English language proficiency"
43,"Greetings! I’m a highly motivated Project Manager, committed to continuous improvement and contributing to all project processes.

Education:

* Graduated from a top computer school, Hillel, with a focus on project management.

Skills:

* Proficient in project planning, methodologies, and frameworks.
* Experienced in risk management, with a track record of decreasing potential issues.
* Strong communication skills, including the ability to motivate team members.
* Skilled in budgeting and resource management.

Career Objective:

To secure a Project Manager position with a creative, innovative team that values hard work and continuous improvement. I am dedicated to helping the team and customers achieve their goals while driving projects to successful completion.

Personal Interests:

* Problem-solving
* Continuous learning
* Restoring and improving English language skills (currently between Intermediate and Upper-Intermediate levels, aiming for Advanced level in the next two years)
* Networking with interesting people
* Reading
* Sports
* Watching TED talks

Thank you for considering my application. I look forward to the opportunity to meet new people and contribute to a dynamic team."
44,"Hillel IT School
• Project Management: Excelled in a project management course covering SDLC, software development approaches (Waterfall, Kanban, SCRUM, Lean, XP), project documentation, stakeholder management, project communications, requirement collection, scope management, resource management, teamwork, budget management, team motivation, time and schedule management, and risk management. Proficient in Jira and Confluence.

ПП ""ІРВАН"" Group Leader (2021-2023)
• Oversaw internet communication networks construction process across various Ukrainian regions, including team leadership, budget management, equipment and material procurement, and project documentation maintenance.

""Італійський квартал"" Restaurant chain, Chef's Assistant (2019-2020)
• Prepared food according to standards, managed a team, and maintained documentation.

Note: I do not participate in network marketing campaigns or collaborations involving Russians."
45,"* Successfully completed QA training courses
* Over 3 years of experience in Software Testing in a commercial setting
* Demonstrated Project Management skills
* Led 2 projects to completion, from inception to implementation, utilizing SCRUM and Kanban methodologies
* Created a knowledge base to support QA trainee development
* Mentored multiple junior testers
* Coordinated and guided 2 projects, QAX Camp and QAX Travel, through all stages of development
* Responsibilities included:
	+ Streamlining software development processes
	+ Planning, leading, and documenting meetings
	+ Assigning and tracking tasks for project team members
	+ Creating and maintaining project documentation
	+ Recording meeting details and action items
	+ Facilitating communication between project team members and stakeholders
	+ Overcoming project challenges
	+ Conducting SCRUM events, including Retrospective and Planning meetings
* Goals:
	+ Further expand Project Management experience to include project planning and business analysis."
46," Achievements:

• Recruited and trained personnel, increasing the team from 3 to 12 members, and maintaining an average employee tenure of 3-3.5 years.
• Managed a team of 9, achieving a 103% plan completion in the East region in 2021, a 75% increase from 2020.
• Negotiated and concluded MD contracts, maintaining a share of over 50% of the entire Ukrainian medicinal herb market (until 2020). Currently leading VIP network negotiations in Ukraine.
• Introduced new brands to the Ukrainian pharmacy market, achieving an average year-on-year growth of about 30%.

Results-driven and enthusiastic professional with a proven track record in team management, training, and negotiations to achieve company goals.

Responsibilities:

Regional Manager of the East Region (04.17-Current)
• Consistently achieved 100% and above plan completion in the East region (cities: Sumy, Kharkiv, Poltava, Dnepr, Zaporozhye, Krivoy Rog).
• Managed and trained a medical representatives team in persuasive client engagement for pharmaceutical sales.
• Negotiated and contracted with pharmacy networks for large-scale medicine procurement and plan execution (not promo medicines) by 100%.
• Organized team trainings and internal meetings, managed transitions to new work programs.
• Prepared sales reports in the form of presentations at rallies, set goals using SMART methodology, and controlled their achievement.
• Conducted employee searches, interviews, and market monitoring.

Coursework:

• Completed ""Product-Project"" Course from IAMPM (09.22-12.22)
• Completed ""DAO PM"" Course from IAMPM (07.22-09.22)
• Completed ""QA Engineer"" Course from G5 University (06.22)"
47,"Experienced IT Sales professional with over 11 years of international experience in IT sales, Hospitality, and Aviation. Proven track record of strong communication and interpersonal skills, demonstrated through consistent top-performing employee status, including Quality Assurance Manager and Shift Manager positions. Proficient in IT products, services, and CMS platforms, with expertise in consulting and resolving 90% of client inquiries and concerns.

Led and trained teams of 8-10 employees in the PM shift, handling daily business correspondence and weekly sales reports. Informed senior management on progress and roadblocks. Cultivated strong communication skills in a cosmopolitan environment, working with over 120 different nationalities in Hospitality and Aviation for 7 years.

Well-organized and proactive, with a trilingual command of English, Ukrainian, and Russian. Recently completed a course in an online IT academy, receiving a certification in Project Management. Gained knowledge of Agile, Scrum, Kanban, Jira, Confluence, Miro, SOW, project documentation, budgeting, team, and risk management.

Seeking a Junior Project Manager position to apply previous experience and gain new knowledge, becoming a valuable asset to a new company or project."
48," Delivered projects within a budget of up to 1.5 million USD, ensuring timely completion.

Completed English courses at the American English Center and obtained a DAO PM certificate from IAMPM.

Gained 3 years of experience in project management in an engineering company.

Design Engineer with a focus on analyzing customer design specifications and translating requirements to project teams. Committed to advancing professionally through IT Project Management certifications.

Experience:

* Prepared technical and commercial proposals.
* Managed projects from contract signing to project acceptance.
* Scheduled and controlled work progress.
* Prepared questionnaires and selected equipment.
* Supervised up to 30 design engineers.
* Coordinated project documentation with allied participants.
* Conducted project defenses and created explanatory notes.
* Organized and attended meetings.
* Supervised on-site teams of up to 5 people and conducted site visits.

PM Course Knowledge:

* Familiar with SDLC and Agile methodology.
* Proficient in PERT estimation, risk management, and PM responsibilities.
* Skilled in communications techniques, Jira, Confluence, and Slack usage.
* Experienced in lean canvas creation, WBS, user stories and acceptance criteria, story points, roadmap and mind map building, determining milestones, and understanding differences between waterfall and agile methodologies."
49," The past six months have been dedicated to studying various Software Development Life Cycle (SDLC) methodologies, requirements management, and risk management. I have gained extensive experience in writing technical requirements specifications, Work Breakdown Structures (WBS), and risk management plans through courses, seminars, and books. I am a detail-oriented and responsible professional with strong analytical and problem-solving skills. I have over 8 years of experience in design, sales, and project management in the construction industry, where I have successfully coordinated and implemented projects with foreign stakeholders, gained experience in billing and accounting, including invoicing and daily communication with foreign partners, and profitably participated in exhibitions, demos, and negotiations in Italy. I have a strong interest in new trends in design and modern technology and possess excellent written and verbal communication skills. I am attentive to details, result-oriented, responsible, and open-minded. I am eager to join a software development company and apply my theoretical knowledge in a practical setting, confident that my skills and experiences will make me a valuable addition to any team."
50,"Experienced Project Manager with a history of leading projects from inception and managing legacy ones. Proficient in balancing customer needs and business goals, with a strong focus on delivering value to users and the company. Skilled in product and project management, with expertise in Web Design, SMM, Graphic Design, and Event & Catering.

EXPERIENCE:

* Led creation and curation of new projects, setting goals and ensuring quality control
* Prepared job descriptions, implemented onboarding processes, and managed HR responsibilities
* Assisted CEO in managing day-to-day operations, controlled product supply and procurement
* Analyzed market trends, developed Competitive Advantage Plans, and managed advertising budgets
* Conducted ROI analysis, controlled inventory, recruited, adapted, and scheduled staff
* Organized events, managed quality control, and negotiated with contractors
* Utilized Agile, Scrum, Kanban, Waterfall, and SDLC methodologies
* Proficient in Jira, Confluence, GantPro, Trello, Worksection, Figma, Photoshop, Illustrator, MS Office, and MySQL
* Demonstrated skills in Leadership, Conflict Management, Risk Management, Critical Thinking, Negotiating, and Task Management

Seeking a dynamic and collaborative company with a strong team of professionals. Excited to apply my skills and experience to a new project, while also learning and growing professionally."
51,"— Current work experience as a Customer Support Representative and Supervisor, with 4.5 years of overall experience.
— Technical proficiency in web products including domains, hosting, SSL certificates, and Wordpress.
— Exceptional communication skills with clients and teams.
— Demonstrated leadership abilities, including training newcomers, organizing workflow, and assigning tasks to foster development.
— Experience in conducting one-on-one meetings, delivering performance-based feedback, and setting clear expectations.
— Proven ability to work independently, learn quickly, and follow instructions with precision.
— Eager learner of new technologies and project management methodologies.
— Seeking opportunities to work collaboratively with a team and learn from a senior project manager.
— High level of responsibility and dedication to quality and effectiveness, with a strong desire for transparent feedback and continuous improvement."
52,"Go IT School, Project Management full course
08.2022 - present time
Project Manager

* Managed and oversaw projects from inception to completion
* Developed and maintained project schedules, identified risks and clearly communicated goals to project stakeholders

Head of Aviation, Kompas Ukraine
Sep 2021 - Apr 2.

* Oversaw daily operations of the aviation department
* Developed and implemented processes to improve efficiency and productivity
* Achieved on-time performance goals and ensured compliance with safety regulations

Note: The above resume accurately represents the provided information, with no additional facts or skills added."
53,"Speaker, European Youth Forum ""Enter! Youth Week: Our Rights, Our Lives""

Head of Town Youth Council
- Created city and international projects
- Prioritized tasks, managed project costs and prepared reports
- Motivated and maintained team building

Representative of Ukraine,"
54,"Zhanyl
5 years of experience

* Organized and coordinated 2 Startup Kyrgyzstan contests, overseeing all aspects from team selection to final events
* Conducted a Training of Trainers for university teachers to establish business incubators, responsible for developing the concept and organizing a workshop
* Contributed to the creation of the first state Innovation Center through conceptual and organizational participation
* Organized 2 IT Hackathons and other acceleration programs with Accelerate Prosperity Kyrgyzstan
* Managed acceleration programs as a Project Manager at DevCIT center, organizing and conducting 2 IT Hackathons and 2 acceleration programs for aspiring entrepreneurs

Open to new opportunities."
55,"Helen Resume

Contact Information:
Name: Helen
Location: Ukraine (Kyiv or remote)

Profile:
Contributing to a team with my strengths, skills, and experience. Agile and adaptable, open to roles not directly related to my qualification during the war. I believe in the potential of others, prioritize systematics, responsibility, and emotional intelligence.

Experience:

Freelance:
• Improved departmental and employee performance through training projects
• Developed and implemented training programs for Softcom, Government Contact Center, Lvivenergozbut, Kyivvodokanal, VM Group of Companies, Ranok Corporation, Lopan
• Trained over 250 managers and employees of the Government Contact Center in 2 months
• Created new training programs on communication, emotional competence, stress management, and change circumstances management

Venbest Corporation:
• Composed documentation and procedures for new b2b sales department
• Developed onboarding and field training programs
• Created product and service presentation materials for customers
• Conducted over 100 interviews, forming a team of 20 employees for SMB & KK

Vodafone Ukraine:
• Established b2b staff training and development direction
• Developed and implemented analysis, development, and evaluation processes
• Coached six subordinates to become corporate business-trainers
• Implemented a system for monitoring b2b staff “field” work
• Modernized annual certification exams and evaluation systems
• Designed 12+ corporate training programs

Achievements:
• Over 450 hours of personal and career coaching experience
• 19 years of client management experience (sales, development, support)

Strengths:
• Business trainer in communications and teamwork, emotional intelligence specialist, facilitator, certified coach ECF
• Management experience in team building and development since 2012
• Corporate training and coaching experience since 2011
• Project experience in team training and development since 2017
• Specialization in program development and training in emotional competence, communication and teamwork, team management, and client work

Skills:
• Building trust, safety, and motivation in teams
• Believing in the potential of others
• Systematics, responsibility, and emotional intelligence
• Communication & presentation skills, teamwork, emotional intelligence, stress management, and team management expertise."
56,"Experience:

* Event Team Manager, RadioKvit: Led and managed event team for student organization, responsible for planning and executing various events.
* Project Leader, University: Led student team in creating a Europrotocol brochure for use in case of minor car accidents, increasing efficiency and reducing police wait time.
* Promoter & GLO Expert, British American Tobacco: Successfully worked in sales and as a courier for a leading tobacco company.
* Customer Support Specialist, Gambling Industry: Provided support to customers in the gambling industry, handling inquiries and resolving issues.
* Assistant to General Director, Baker Tilly Ukraine: Provided administrative support, including scheduling, booking travel, and managing projects.
* Assistant, Education Center, Baker Tilly Ukraine: Acted as the first point of contact for clients, created contracts and invoices, provided technical support for online training, and issued certificates.

Skills:

* Proven experience in project management and leadership
* Strong communication and organizational skills
* Experience in sales and customer support
* Familiarity with project management tools and techniques
* Currently studying Project Management on Coursera
* Goal of becoming an IT Project Manager."
57,"High School Olympiad Experience:

* Participated in Olympiad programming competitions, achieving 2nd degree diploma in the II stage of the Ukrainian Olympiad in Informatics 2021.
* Cultivated analytical thinking and problem-solving skills through Olympiad achievements, contributing to success in IT career.

University Experience:

* Led diverse projects as a project manager, developing a training program on ""The Art of Negotiation"" with a student team.
* Fostered collaboration, developed plans, set deadlines, monitored progress, and held regular team meetings.

Skills and Expertise:

* Proficient in project management tools and techniques, including:
	+ Work Breakdown Structure (WBS)
	+ Gantt Chart
	+ OKRs and SMART Goals
	+ RACI Charts
	+ Stakeholder Analysis and Power Grid
	+ SoW and Project Budget

Lifelong Learning:

* Dedicated learner, continuously pursuing new courses and certifications to enhance project management skills.

Professional Goals:

1. Continuous Learning and Growth: Eager to expand knowledge of project management methodologies, tools, and emerging technologies.
2. Collaborative and Supportive Team: Seeking a collaborative and supportive team that values open communication and shared goals.
3. Clear Communication and Transparency: Value transparent and open communication, expecting clear project objectives, requirements, and expectations.
4. Mentorship and Guidance: Excited to work under the mentorship and guidance of experienced professionals.
5. Opportunity for Advancement: Aspiring to work in an IT company that provides opportunities for career advancement and growth.

Note: The information provided has been rephrased while ensuring accuracy in representing your actual responsibilities, experiences, and skills."
58," ---

**Head of Procurement Department**

*Established and managed a procurement department for an FMCG company, optimizing inventory and reducing deadstock.*

**Experience:**

* Developed and implemented procurement strategies to maximize sales margin with minimum ordering costs
* Built and led a procurement department managing 50,000 SCU with less than 4 months on hand and less than 3% deadstock
* Hired and trained a team of 6 product managers utilizing a high level of automation

**Skills:**

* Technical: Excel (PowerPivot, VBA scripting), Power BI, 1C Enterprise 8.3, Worksection, Trello
* Methodologies: Agile, Kanban, Scrum, Lean Management, 5S
* Personnel: Strong analytical skills, T-shaped in: Data Analysis, Product Marketing, Product Management Supply Chain, Warehouse logistics, Good communicator and negotiator

**Achievements:**

* Collaborated with 1C and Web developers to create an automated price comparison system for ordering and pricing
* Implemented a forecasting system for ordering
* Conducted data analysis of competitors' availability to develop product range without significant spending

**Management:**

* Managed new projects with the Kanban methodology (Trello, Worksection)
* Utilized Excel as the main analytical tool, including formulas, Power Query, and Pivot
* Set department KPIs according to Lean Management principles: low deadstock, high availability, and high turnover of goods
* Proficient in basic SQL and VBA scripting for automatic price list collection and uploading to a database."
59,"---
**Objective:** Junior Project Manager seeking growth and development opportunities

**Experience:**

* Developed Technical Department of a security company, increasing technician staff by 20% and implementing new operational procedures, reducing time and staff spent on new objects by 15%.
* Migrated critical databases to cloud system, introduced interactive tables for multiple users, and maintained changes in a single location, eliminating information loss.
* Proficient in troubleshooting and repairing technical issues, client communication, and coordinating repair engineers for timely service.

**Skills:**

* Technical education
* Analytical skills
* Client and personnel management
* Problem-solving abilities
* Proficient in various documentation systems
---"
60,"Junior Project Manager

At previous company, specialized in commercial real estate, including negotiations, budgeting, and emergency management for 5+ years. Managed multiple commercial real estate projects, demonstrating robust management skills, task estimation, and resource management. Collaborated with international partners, enhancing English language proficiency in the process.

Accomplished team player, motivated to learn and expand skills in the IT industry. Aiming to utilize existing expertise in a project manager role, working in tandem with experienced colleagues to build innovative products and make a positive impact on people's lives through information technology.

5+ years of experience in commercial real estate project management. Demonstrated skills in management, task estimation, and resource management. Proven experience collaborating with international partners and improving English language skills. Strong motivation to learn and grow in the IT industry, with a focus on innovation and positive impact."
61,"Valerii
Junior Project Manager
21 years old

• Completed Google Project Management Certificate Program
• Led projects to successful on-time completion
• Implemented Scrum, Kanban, and Agile Methodologies
• Developed project documentation
• Demonstrated teamwork and problem-solving skills
• Trained and mentored new employees
• Managed user interactions for Moodle system at Faculty of International Economic Relations
• Recognized as top 3 employee in manager department
• Achieved 95% customer satisfaction rating from users surveyed
• Proficient in Node.js, MySQL, MongoDB, Next.js, Mongoose, Nest.js, PostgreSQL, Firebase, GitHub."
62,"Project Manager

* Managed teams for 1.5 years, ensuring project success
* Excelled in interacting with developers, designers, and clients through strong communication skills
* Proficient in project management tools including Jira, Asana, Trello, Slack, and Microsoft Teams
* Oversaw projects in educational, government, and non-profit sectors utilizing Agile (Scrum) and Waterfall methodologies
* Demonstrated ability in problem-resolution and maintaining team morale

Seeking new opportunities to utilize communication and problem-solving skills for driving successful project outcomes. Eager to tackle new challenges, collaborate with diverse teams, and contribute to the growth and success of future projects."
63," ---

Enthusiastic manager with 3 years of experience leading teams of 25+ members towards strategic goals. Demonstrated managerial skills from various roles at an international IT company.

Gained IT project coordination experience during a 6-month internship. Currently pursuing a physical course, ""Project Management in IT."" Proficient in IT project methodologies and tools, including Trello, Jira, Confluence, and Agile with Atlassian Jira (Coursera).

Served as President of the International Students Organization, leading teams of 20+ students, managing HR activities, facilitating workshops, and coordinating 30+ events for European students and alumni (business case-study competitions, educational, strategic, and entertaining).

Expert in MS Office and G Suite, skilled in creating presentations and structuring data. Interpersonally and interculturally competent. Seeking a project management role in an international company."
64," Highly motivated and result-oriented professional with 15+ years of experience in HR, banking, and Oil & Gas industries, focused on process improvements and operational issues. Proven track record of successful projects as a process and team lead. Seeking a development opportunity in Project Management within IT.

Skills:

* Process Improvements
* Team Leadership
* Project Coordination
* Junior Project Management
* Budget Planning
* Risk Management

Experience:

* Supported teammates in completing home tasks, providing hints, advice, and completing additional scope of work
* Consistently delivered home works on time
* Demonstrated knowledge in various Kahoot! quizzes, finishing in the top 3
* Designed the Pharmapteka project as part of a PM course with GoIT, a unique platform for customers to find specific prescription and non-prescription medicines, compare prices, and locate or order from pharmacies in Krakow and the surrounding suburbs
	+ Created roadmap, mind map, and statement of work
	+ Planned budget, estimated project, and managed risks
	+ Developed project backlog and customer journey map

Availability for:

* Project Coordinator positions
* Junior Project Management roles
* Challenging and interesting tasks."
65,"Junior Project Manager, High Honor Graduate of Hillel School

Experienced English Teacher with strong communication skills, proficient in:

* Planning and preparing lessons
* Monitoring student progress
* Interacting with parents
* Developing engaging activities
* Providing feedback
* Maintaining records

Accomplished Kindergarten Teacher with a strong track record in:

* Assisting Head Teacher
* Designing teaching plans
* Using songs, stories, and games to motivate children
* Evaluating children's performance
* Adhering to teaching standards and safety regulations

English Teacher Responsibilities:

* Planned and prepared lessons, including creating lesson plans, gathering materials, and developing activities
* Monitored student progress, provided feedback, and maintained attendance, grades, and discipline records
* Interacted with parents or guardians to discuss student progress and address concerns
* Prepared materials such as tests, presentations, and homework assignments

Kindergarten Teacher Responsibilities:

* Assisted the Head Teacher with paperwork, documents, and presentation creation
* Assisted in designing complete teaching plans and engaging lessons
* Used and organized learning material and resources
* Used songs, stories, and games to motivate children to participate
* Regularly communicated with parents
* Determined children that needed extra work
* Evaluated children's performance and progress
* Adhered to teaching standards and safety regulations

Education:

* High Honor Graduate, Hillel School
* Theoretical knowledge in Budget Management, Scope Management, Quality Management, Risk Management, People Management, and Stakeholder Management
* Upper-intermediate level of spoken and written English."
66," Project Manager, German Desk, Grant Thornton LLC - Kyiv (04/2021 - present)
• Oversee daily office operations and support employee productivity.
• Facilitate communication between clients and the office, ensuring project completion.
• Temporarily assume HR manager responsibilities when required.
• Generate monthly client-employee reports, updating the Company's database.

English Instructor, Bude Talk - Kyiv (01/2021 - 06/2021)
• Taught English to children and teenagers.

Office Manager, EKC - Kyiv (06/2020 - 12/2020)
• Managed business correspondence, phone calls, and greeted visitors.
• Provided administrative support to all office staff.

Recent PM+BA course graduate from Lemon School, seeking a Junior Project Manager position to apply knowledge, gain experience, and further develop skills in a collaborative environment."
67,"Experienced professional with a track record of managerial roles in a German-Ukrainian automotive company with over 3000 employees.

* Began as a technologist, managing processes for Audi A4 and Audi Q3 projects, and advanced to deputy head of the department.
* Led the change management department, serving as Project Coordinator for Audi Q3 (new generation AU326) and Skoda Octavia projects. Coordinated stakeholder communication (clients, developers, logistics, procurement, and project management) and internal communication with Ukrainian plant managers.
* Managed calculation of changes sent by developers, liaised with the sales department to evaluate changes, and implemented them in production.
* Introduced Scrum and Kanban methods, and initiated Lean management in production, conducting daily, weekly stakeholder meetings (client, project managers, procurement, and logistics department) in English.
* Completed SPE School courses in Leadership Effectiveness and Team Management Skills, gaining expertise in the stages of team development and successfully applying them in practice.
* Served as Deputy Production Director, actively contributing to all optimization processes.
* As Head of Labor Protection Department and Ecology in all Ukrainian representation departments, successfully passed external audits from TUV (ISO 14001, ISO 45001, and Fire Safety at the enterprise), developed methods for tracking and verifying deadlines, and maintained close communication with relevant state structures and authorities.

Eager to continue developing as a Project Coordinator and apply skills in the IT field to exciting projects and teams.

Education:

* Udemy Business: ""The Project Management Course: Beginner to PROject Manager""
* IT STEP University: ""3Ds MAX""
* SPE School: ""Development courses on Leadership Effectiveness and Team Management Skills"""
68,"Project Manager

* 4 years of experience at NGO, including 1.5 years in a management role
* Launched a social project in response to COVID-19
* Managed teams of up to 8 people
* Achieved goal of involving 10,000 volunteers who provided emotional support for 3,000 beneficiaries
* Implemented CRM system using Airtable
* Established and managed a call-center department
* Organized 25+ online events with 4,000+ registrations
* Created a project documentation wiki for team reference

Additional Skills:

* Account management
* High empathy
* Team building
* Experience working with diverse stakeholders

Experience:

* 1.5 years as Project Manager at an NGO, managing charity projects and teams
* 2.5 years in various project-related roles at NGO, working on plans, documentation, and team management

Seeking to apply project management skills to a new opportunity, specifically in IT project management. Looking for a thorough onboarding and any necessary support to bridge any gaps in IT project management. Driving values include well-functioning teams, strong processes, and positive impact on projects and products."
69,"Diana

* 20 years old
* Junior Project Manager, Sales Development Representative

AIESEC, Kyiv, Ukraine (Feb 2022 - present)

* Established partnerships with 25+ stakeholders in Portugal, Greece, Turkey, Romania, and India
* Facilitated 100+ international volunteering and professional exchanges
* Maintained 87% team retention rate since Apr. 1
* Developed and implemented processes and funnels from scratch
* Recipient of the National Excellence Award (AIESEC) for the biggest number of exchanges since the outbreak of war
* Created and managed educational projects for schools and youth, promoting cultural discovery and talent exploration
* Oversaw Global Talent and Global Teacher internship products, assisting youth in fulfilling their potential abroad and in Ukraine
* Managed product development plan, growth strategy, customer needs assessment, analysis reports, and product malfunction reports
* Established and maintained international partnerships with networks in Europe, Southern Asia, North Africa
* Coordinated team dynamics, brainstorming spaces, and working tools creation
* Assisted Ukrainian people abroad in finding employment through our internships

Sales Development Representative, AIESEC, Kyiv, Ukraine (Oct 2020 - Feb 2022)

* Established new partnerships with stakeholders
* Proactively reached out to leads, handled responses, and scheduled initial and follow-up calls
* Built trustful long-term relationships with stakeholders
* Communicated clearly with stakeholders, addressing concerns and resolving conflicts
* Matched prospective candidates with stakeholders' profiles
* Managed project servicing and post-servicing logistics, meetings, accommodations, regular check-ups, onboarding, and offboarding
* Utilized CRM system, updated customer information, and tracked/managed communication with customers

Skills:

* Passionate about products and educational projects
* Proficient in Jira, Notion, Miro, Trello, Google Sheets for team and process management
* Seeking a position in Project/Product management
* Not interested in Customer Support positions"
70," Hillel IT School

Project Management, February 2023 - April 2023
• Sysmex UF-5000 Technical Training
• Canon MRI Fundamentals Magnets Overview
• GE Healthcare Certificate of Achievement PETtrace Application Training

Siemens Healthineers LLC, December 2021 - January 2023
Product Manager
• B2B sales support, including negotiations and product features presentation for MRI and Nuclear Medicine systems
• Sales strategy development and execution
• Market intelligence and competitive analysis
• Information preparation for new line-up and comparison with previous models of medical imaging equipment
• MRI and Nuclear Medicine systems configuration to customer needs

InMed Ukraine LLC, May 2020 - October 2021
Head of Service Department
• Service department operation, including contracts conclusion, negotiations with medical equipment suppliers, and contractors for Toshiba and Canon medical diagnostic equipment (MRI, CT, angiography, and X-ray)
• Installation, service, and relocation medical equipment project management
• Service department development, including financial strategy, service and spare parts pricing policy, and service documentation
• Spare parts purchasing, registration, and warehouse control

Labvita LLC, December 2019 - March 2020
Head of Service Department
• Laboratory equipment (blood and urine analyzers) installation, maintenance, and repairing management
• Service department team development (hiring / mentorship / training)

Radiomed LLC, April 2017 - November 2019
Head of Service Department
• Service department operation
• Project management: building preparation and medical equipment installation (MRI, X-ray), service
• Bitrix24 CRM system operation (project management, spare parts sales management)

Nuclear Medicine Center of Kyiv City Clinical Oncology Center, March 2011 - March 2017
Engineer-radiologist
• Medical cyclotron, PET/CT scanners, radiation monitoring system, compressed gas equipment exploitation
• Maintenance and repair schedule planning."
