,Modified_anthropic/claude-3.5-sonnet_of_Modified_claude-sonnet-4-20250514_of_CV_Modelclaude-sonnet-4-20250514_Modelanthropic/claude-3.5-sonnet
315,"Helen
Business Trainer & Development Specialist
Ukraine | Available for Kyiv or Remote Positions

PROFESSIONAL SUMMARY
Dynamic business trainer and development specialist with 12+ years of expertise in communications and team development. ECF-certified coach delivering impactful training solutions across diverse industries. Proven track record in designing and implementing comprehensive training programs, with demonstrated success in building high-performing teams and fostering organizational growth.

CORE COMPETENCIES
• Strategic Training Program Design & Implementation
• Team Leadership & Development
• Emotional Intelligence Coaching
• Change Management
• Performance Improvement Solutions
• Cross-functional Project Management
• Corporate Training & Development
• Client Relationship Management

PROFESSIONAL EXPERIENCE

FREELANCE BUSINESS TRAINER & CONSULTANT (2017-present)
• Design and deliver customized training solutions driving measurable performance improvements
• Successfully implemented large-scale training project for 250+ managers at Government Contact Center
• Maintain strategic partnerships with major clients including Softcom, Lvivenergozbut, Kyivvodokanal
• Developed specialized programs in communication, emotional competence, and change management
• Conducted 450+ hours of personal and career coaching sessions

VENBEST CORPORATION
Training & Development Specialist
• Established comprehensive B2B sales department documentation and procedures
• Developed and executed onboarding programs and field training initiatives
• Created customer-focused presentation materials
• Built and trained 20-person team for SMB & KK divisions through strategic recruitment

VODAFONE UKRAINE
Training & Development Manager
• Led establishment of B2B staff training division, implementing end-to-end development processes
• Developed and mentored six trainers to corporate business-trainer positions
• Implemented B2B field staff performance monitoring system
• Modernized evaluation systems and certification processes
• Created 12+ corporate training programs across multiple business functions

EXPERTISE
• Program Development: Communication, emotional competence, team management, client relations
• Industry Experience: Telecommunications, IT, public sector, e-commerce, retail, consulting, production
• Technical Skills: Performance evaluation, training design, project management
• Certifications: ECF Coach, Project Management (Genius.Academy), Scrum Master Fundamentals

PROFESSIONAL DEVELOPMENT
Currently advancing expertise in Project Management through Genius.Academy and RedCamp, and Scrum Master Fundamentals through E5."
316,"**PROFESSIONAL EXPERIENCE**

**Baker Tilly Ukraine**
Executive Assistant & Education Center Coordinator
• Orchestrated comprehensive travel logistics including international accommodations, transportation, and visa procurement
• Managed executive calendar and high-priority scheduling for senior leadership
• Spearheaded Education Center client relations and communication initiatives
• Developed and processed contractual documentation and financial records
• Administered online learning platforms and technical operations
• Generated and maintained certification documentation for program completion

**British American Tobacco**
Sales Operations Specialist
• Implemented strategic product demonstrations and promotional campaigns
• Cultivated and maintained key customer relationships to drive sales growth
• Optimized product distribution channels and delivery systems

**Customer Support Operations Specialist**
• Delivered premium customer support services and technical issue resolution
• Executed problem-solving strategies for complex client inquiries
• Maintained exceptional service quality metrics

**LEADERSHIP & PROJECT EXPERIENCE**

**RadioKvit Student Organization**
Event Operations Manager
• Directed cross-functional event planning teams and initiatives
• Orchestrated end-to-end event execution and team performance

**University Project Leadership**
Project Director
• Spearheaded community education initiatives
• Designed and implemented comprehensive educational materials for traffic incident management
• Established multi-channel distribution strategy for public outreach
• Empowered community members through educational initiatives

**PROFESSIONAL DEVELOPMENT**

**Project Management Certification**
• Pursuing advanced project management certification via Coursera
• Developing expertise in IT project management methodologies
• Strategically transitioning to project management career path

**CORE COMPETENCIES**

• Cross-functional project coordination and team collaboration
• Strategic planning and execution
• Stakeholder relationship management"
317,"PROFESSIONAL SUMMARY

Results-driven junior project manager combining competitive programming excellence with proven team leadership capabilities. Demonstrated success in delivering complex projects through effective stakeholder management, strategic planning, and collaborative team coordination.

ACHIEVEMENTS

Ukrainian Olympiad in Informatics 2021
• Secured 2nd degree diploma in the II stage of Ukrainian Olympiad in Informatics
• Excelled in algorithmic problem-solving under competitive conditions

Programming Competition Experience
• Distinguished participant in multiple Olympiad programming competitions
• Mastered advanced problem-solving techniques through competitive challenges

PROJECT MANAGEMENT EXPERIENCE

Project Team Lead | University Initiative
• Spearheaded four-person team in developing comprehensive training program on negotiation
• Implemented structured project management methodology ensuring on-time deliverables
• Conducted regular status meetings and performance tracking to maintain project momentum
• Developed and executed detailed project plans while managing team resources

TECHNICAL SKILLS & CERTIFICATIONS

Google Project Management Certification
• Foundations of Project Management
• Project Initiation
• Project Planning

Project Management Toolkit
• Work Breakdown Structure (WBS)
• Gantt Chart Development
• OKRs and SMART Goals Framework
• RACI Matrix Implementation
• Stakeholder Analysis and Power Grid
• Statement of Work (SoW) and Budget Management

CORE COMPETENCIES

• Strategic Team Leadership
• Project Planning and Execution
• Stakeholder Engagement
• Financial Management
• Advanced Problem-Solving
• Effective Communication
• Professional Development Focus

CAREER OBJECTIVES

Seeking project management role in technology sector focusing on:
• Advanced project management methodology application
• Professional mentorship opportunities
• Excellence in project communication
• Leadership development
• Organizational impact through innovation"
318,"HEAD OF PROCUREMENT DEPARTMENT

PROFESSIONAL SUMMARY
Results-driven Procurement Leader with proven expertise in supply chain optimization, strategic sourcing, and inventory management. Demonstrated success in building and leading high-performing teams while implementing automated solutions to drive operational efficiency and cost reduction.

PROFESSIONAL EXPERIENCE

Head of Procurement Department | Automotive Company
• Established and developed procurement department, implementing comprehensive systems and processes
• Strategically manage 50,000 SKUs while maintaining less than 4-month inventory levels and 3% deadstock
• Direct team of 6 product managers in implementing advanced automation solutions
• Drive procurement optimization through data-driven decision making and strategic vendor management
• Spearhead margin maximization initiatives while optimizing ordering expenditure

KEY ACHIEVEMENTS
• Architected and implemented automated price comparison system through collaboration with 1C and web development teams
• Designed and deployed advanced forecasting system for procurement optimization
• Engineered competitive availability data analysis system for strategic product range development
• Established comprehensive KPI framework utilizing Lean Management principles, focusing on inventory optimization

TECHNICAL EXPERTISE
• Advanced Excel (PowerPivot, VBA scripting, Power Query, Pivot Tables, Complex Formulas)
• Power BI
• Project Management Platforms (Worksection, Trello)
• 1C Enterprise 8.3
• SQL and VBA scripting for database management

METHODOLOGIES
• Agile, Kanban, Scrum
• Lean Management, 5S
• Project Management (Kanban methodology)

CORE COMPETENCIES
• Strategic Analysis and Data Interpretation
• Product Marketing and Management
• Supply Chain Optimization
• Warehouse Logistics
• Cross-functional Team Leadership
• Stakeholder Communication and Negotiation

INDUSTRY EXPERIENCE
• Automotive
• FMCG (Fast-Moving Consumer Goods)"
319,"PROFESSIONAL SUMMARY

Results-driven technical professional with proven expertise in integrated security systems, including alarm systems, fire safety, video surveillance, and access control. Track record of optimizing operations through strategic problem-solving and team leadership. Skilled in managing client relationships while delivering technical solutions and streamlining operational processes.

PROFESSIONAL EXPERIENCE

Technical Operations Specialist - Security Company
• Spearheaded troubleshooting and repair operations across multiple security platforms, ensuring minimal system downtime
• Orchestrated efficient dispatch of repair engineers, optimizing response times and resource allocation
• Built and maintained strong client relationships through proactive communication and issue resolution
• Implemented systematic approaches to resolve complex technical malfunctions across diverse security systems

Technical Development Contributor
• Led strategic initiatives for Technical Department expansion and staff development
• Revolutionized object startup processes through innovative operational procedures, enhancing efficiency
• Successfully executed cloud migration of mission-critical databases
• Designed and implemented collaborative data management solutions, establishing centralized information systems

CORE COMPETENCIES

• Advanced Technical Troubleshooting
• Client Relationship Management
• Team Leadership and Coordination
• Process Optimization
• Cloud Systems Implementation
• Documentation Control
• Strategic Problem-solving
• Technical Systems Expertise

CAREER OBJECTIVE

Seeking Junior Project Manager role to leverage technical expertise and team coordination experience while driving operational excellence and pursuing professional advancement."
320,"PROFESSIONAL SUMMARY

Results-driven Project Manager with 5+ years of experience in commercial real estate, seeking transition to IT sector. Demonstrated success in managing complex projects, stakeholder relationships, and international partnerships. Excel at resource allocation, timeline management, and budget optimization. Proven track record of learning new industries and delivering successful project outcomes through systematic approaches.

PROFESSIONAL EXPERIENCE

Project Manager - Commercial Real Estate | 5+ Years
• Led end-to-end management of multiple commercial real estate projects, ensuring timely completion and stakeholder satisfaction
• Established and implemented systematic project management methodologies for improved efficiency
• Orchestrated successful negotiations with diverse stakeholders and international partners
• Controlled project budgets and effectively managed crisis situations
• Developed from entry-level position to Project Manager through demonstrated competency and dedication
• Built and maintained productive relationships with cross-cultural teams and clients

CORE COMPETENCIES

Project Management | Budget Control | Resource Allocation | Risk Management
Stakeholder Communication | Crisis Management | Team Leadership
International Business Relations | Cross-Cultural Communication
Strategic Planning | Process Implementation | Client Relationship Management

PROFESSIONAL OBJECTIVE

Junior Project Manager position in IT sector leveraging proven project management expertise and systematic approach to operations. Committed to applying transferable skills while developing technical knowledge in an innovative environment. Ready to contribute to team success through effective project execution and stakeholder management."
321,Hereához
322,"**Project Manager**

**PROFESSIONAL SUMMARY**
Dynamic Project Manager who drives operational excellence through strategic team leadership and efficient project execution. Successfully delivered multiple projects by leveraging cross-functional collaboration and implementing proven project management methodologies. Demonstrates exceptional stakeholder management and team leadership capabilities across diverse project environments.

**CORE COMPETENCIES**
• Project Management Frameworks: Agile (Scrum), Waterfall
• Technology Stack: Jira, Asana, Trello, Slack, Microsoft Teams
• Strategic Planning & Execution
• Risk Management & Mitigation
• Stakeholder Engagement
• Cross-functional Leadership

**PROFESSIONAL EXPERIENCE**

**Project Manager** | 1.5 Years
• Orchestrate end-to-end project delivery for educational and government sector initiatives through effective cross-functional team leadership
• Champion project success for non-profit organizations by implementing tailored project management approaches
• Drive project efficiency through strategic implementation of Agile and Waterfall methodologies
• Optimize workflow management utilizing Jira, Asana, and Trello to ensure timely project completion
• Foster team collaboration through effective utilization of Slack and Microsoft Teams
• Navigate complex project challenges while maintaining team cohesion and productivity
• Build and maintain strong client relationships through proactive stakeholder management

**KEY STRENGTHS**
• Strategic Communication
• Advanced Problem Resolution
• Team Performance Optimization
• Multi-domain Project Adaptability"
323,"**PROFESSIONAL SUMMARY**

Results-driven manager demonstrating exceptional leadership capabilities in international IT environments and proven success in complex project coordination. Consistently achieved strategic objectives while leading diverse teams of 20+ professionals. Combines practical IT project management experience with ongoing professional development in industry-standard methodologies.

**EXPERIENCE**

**International IT Company**
Senior Management Professional
• Executed multi-functional management responsibilities across critical business areas
• Spearheaded IT project initiatives during intensive six-month internship program

**International Students Organisation**
President & Vice President of Administration
• Orchestrated strategic initiatives achieving key organizational goals across three-year tenure
• Implemented comprehensive HR strategies and delivered high-impact professional development programs
• Successfully managed 30+ large-scale events including case competitions, educational programs, and strategic networking initiatives

**EDUCATION & TRAINING**

• Project Management in IT (Current)
• Agile with Atlassian Jira Certification - Coursera
• Advanced IT Project Management Methodologies Training

**TECHNICAL PROFICIENCIES**

• Project Management Solutions: Jira, Trello, Confluence
• Business Applications: Microsoft Office Suite, Google Workspace
• Core Competencies: Advanced presentation design, data organization
• Methodological Expertise: Agile framework implementation

**LEADERSHIP COMPETENCIES**

• Strategic Planning & Team Leadership
• Project & Event Management Excellence
• Cross-Cultural Communication
• Professional Development & Training
• Global Business Operations"
324,"**Professional Summary**
Accomplished leader with 15+ years of cross-industry expertise in HR, banking, and Oil & Gas sectors, delivering exceptional results through strategic process optimization and operational excellence. Proven track record of spearheading transformative initiatives while cultivating high-performing teams. Recently completed comprehensive IT Project Management certification, combining established leadership capabilities with cutting-edge project management methodologies.

**Core Competencies**
• Strategic Process Optimization & Implementation
• Cross-functional Team Leadership
• Project Lifecycle Management
• Strategic Stakeholder Engagement
• Enterprise Risk Management
• Resource Optimization & Financial Planning

**Professional Experience**
**Team Lead & Process Improvement Specialist**
*HR, Banking, and Oil & Gas Industries | 15+ Years*
• Orchestrated cross-functional teams in implementing strategic operational improvements
• Spearheaded mission-critical projects, ensuring alignment with organizational objectives
• Developed and mentored team members, fostering professional growth and operational excellence
• Instituted data-driven strategies to optimize performance and achieve measurable results

**Project Management Training & Certification**
**GoIT Project Management Course**
• Led end-to-end development of Pharmapteka platform, a comprehensive pharmaceutical solution for Krakow region
• Architected user-centric platform features including medication search functionality, price comparison tools, geolocation services, and inventory tracking
• Executed comprehensive project management deliverables encompassing:
  - Strategic planning and roadmap development
  - Detailed Statement of Work documentation
  - Financial modeling and budget allocation
  - WBS creation and resource estimation
  - Risk assessment and mitigation strategies
  - Agile backlog management and sprint execution
  - UX/UI planning and customer experience optimization
• Demonstrated exceptional performance through accelerated completion of coursework
• Secured top rankings in multiple performance evaluations
• Facilitated peer learning through mentorship and technical guidance

**Career Objective**
Targeting an IT Project Coordinator or Junior Project Manager position to leverage extensive operational leadership experience and newly acquired project management expertise in delivering innovative technology solutions."
325,"**JUNIOR PROJECT MANAGER**

Results-driven Project Management Professional with proven success in educational leadership and program implementation. Demonstrated expertise in stakeholder management, process optimization, and team collaboration. Strong foundation in project management methodologies with distinguished academic performance from Hillel School. Upper intermediate proficiency in spoken and written English.

**Core Competencies:**
• Budget Management
• Scope Management
• Quality Management
• Risk Management
• People Management
• Stakeholder Engagement
• Program Development
• Performance Analysis

**PROFESSIONAL EXPERIENCE**

**English Teacher**
• Developed and executed comprehensive educational programs, managing full project lifecycle from planning to implementation
• Implemented systematic performance tracking methods, resulting in detailed documentation of student progress and outcomes
• Established effective communication channels between stakeholders, facilitating productive partnerships with parents and staff
• Created and managed educational resources, coordinating material development and assessment protocols

**Kindergarten Teacher**
• Coordinated with leadership team on administrative initiatives, streamlining document management processes
• Designed and implemented innovative educational programs aligned with institutional objectives
• Managed classroom resources and materials, ensuring optimal utilization and accessibility
• Developed and executed engagement strategies through multi-modal learning approaches
• Led parent communication initiatives, maintaining consistent updates on student development
• Identified and executed intervention strategies for at-risk students
• Created and maintained comprehensive student evaluation systems
• Ensured program compliance with institutional standards and safety protocols"
326,"[Your Name]
[Contact Information]

PROFESSIONAL SUMMARY
Results-driven professional with demonstrated success in office management, project coordination, and team leadership. Leverages strong communication skills and project management expertise to drive operational efficiency and client satisfaction. Proven track record of managing multiple stakeholders while ensuring project deliverables meet quality standards and timelines.

PROFESSIONAL EXPERIENCE

Manager
German Desk of Grant Thornton LLC - Kyiv | 04/2021 - Present
• Spearhead daily operations and optimize staff productivity for international client portfolio
• Orchestrate seamless communication between multinational clients and internal teams
• Drive project execution through strategic timeline management and milestone tracking
• Implement HR initiatives and talent management strategies
• Develop comprehensive monthly performance analytics and client engagement reports
• Architect and maintain robust client relationship management systems

English Teacher
Буде Talk - Kyiv | 01/2021 - 06/2021
• Designed and delivered engaging English language curriculum to diverse student groups
• Achieved educational objectives through personalized instruction methods

Office Manager
EKC - Kyiv | 06/2020 - 12/2020
• Streamlined office operations through efficient correspondence and communication management
• Orchestrated high-level meetings and coordinated executive schedules
• Implemented administrative processes to enhance operational efficiency
• Executed strategic initiatives to support organizational objectives

EDUCATION
Project Management and Business Analysis Course
Lemon School

CAREER OBJECTIVE
To secure a Junior Project Manager role leveraging proven operational expertise and recent PM certification to deliver successful projects while expanding project management capabilities in a growth-oriented environment."
327,"PROFESSIONAL SUMMARY
Strategic project management leader with proven success in automotive manufacturing operations. Demonstrated excellence in leading 3000+ employee German-Ukrainian automotive company through complex projects, process improvements, and organizational change. Expert in stakeholder management, international team coordination, and quality systems implementation, delivering measurable results through agile methodologies and lean practices.

PROFESSIONAL EXPERIENCE

Head of Labor Protection Department and Ecology
German-Ukrainian Automotive Company
• Spearheaded comprehensive labor protection and environmental compliance programs across all Ukrainian operations
• Achieved successful certifications in ISO 14001, ISO 45001, and Fire Safety through TUV audits
• Implemented robust project tracking systems and performance metrics
• Established and maintained strategic relationships with government regulatory bodies

Deputy Production Director
German-Ukrainian Automotive Company
• Orchestrated production optimization initiatives
• Drove operational efficiency improvements across manufacturing processes

Head of Change Management Department / Project Coordinator
German-Ukrainian Automotive Company
• Directed change management initiatives during major expansion across 4 Ukrainian enterprises
• Led successful implementation of Audi Q3 (AU326) and Skoda Octavia projects
• Orchestrated multi-stakeholder communication between international clients, developers, and German project teams
• Executed cost impact analyses for engineering changes and guided production implementation
• Facilitated critical stakeholder meetings with Lear, Faurecia, German project managers, and Polish teams
• Implemented Scrum and Kanban methodologies while supporting Lean manufacturing initiatives
• Managed international communications through various digital platforms

Deputy Head of Department
German-Ukrainian Automotive Company
• Advanced from Technologist position through demonstrated leadership capability

Technologist
German-Ukrainian Automotive Company
• Optimized manufacturing processes for Audi A4 and Audi Q3 projects
• Managed technical documentation and process improvements

EDUCATION & CERTIFICATIONS
• Udemy Business: ""The Project Management Course: Beginner to PROject Manager""
• IT STEP University: ""3Ds MAX""
• SPE School: ""Development courses on Leadership Effectiveness and Team Management Skills""

CORE COMPETENCIES
• Project Management & Coordination
• Change Management
• Stakeholder Communication
• Team Leadership & Development
• Process Optimization
• Agile Methodologies (Scrum, Kanban)
• Lean Management
• Quality Management Systems (ISO 14001, ISO 45001)
• Cross-functional Team Leadership
• International Business Communication
• Cost Analysis & Assessment"
328,"PROJECT MANAGER

PROFESSIONAL EXPERIENCE

NGO - Senior Project Manager (4 years)
• Spearheaded critical COVID-19 response initiative, designing and implementing comprehensive social support program
• Led and mentored cross-functional teams of 8 members, driving operational excellence and team performance
• Orchestrated large-scale volunteer engagement program, successfully recruiting and managing 10,000 volunteers to support 3,000 beneficiaries
• Pioneered digital transformation through implementation of Airtable-based CRM system, enhancing operational efficiency
• Conceptualized and established full-service call center operations, developing SOPs and training protocols
• Designed and executed 25+ virtual events, achieving 4,000+ participant registrations and maintaining high engagement rates
• Created and maintained comprehensive project documentation system, ensuring knowledge retention and team alignment

CORE COMPETENCIES
• Strategic Project Management
• Team Leadership & Development
• Stakeholder Relationship Management
• Process Optimization
• Change Management
• Cross-functional Team Coordination
• Event Planning & Execution
• Documentation & Knowledge Management

PROFESSIONAL PROFILE
Results-driven Project Manager with proven expertise in non-profit sector program development and execution. Demonstrated success in building and leading high-performing teams, managing complex stakeholder relationships, and implementing robust operational processes. Strong track record in volunteer management, event coordination, and digital transformation initiatives. Seeking to leverage extensive project management experience in technology-driven environments."
329,"Diana Lastname
Project Manager | Kyiv, Ukraine

PROFESSIONAL SUMMARY
Dynamic Project Manager with proven success in international partnership development, team leadership, and product management. Demonstrated track record of building cross-cultural relationships, driving successful exchange programs, and delivering measurable results in challenging environments. Expertise in stakeholder management, process optimization, and product development.

PROFESSIONAL EXPERIENCE

Project Manager | AIESEC Kyiv, Ukraine | February 2022 - Present
• Spearheaded management of international internship products: Global Talent and Global Teacher
• Cultivated and maintained partnerships with 25+ stakeholders across five countries
• Orchestrated 100+ successful international volunteering and professional exchanges
• Achieved exceptional 87% team retention rate through effective leadership
• Designed and implemented comprehensive operational processes and conversion funnels
• Conceptualized and executed educational initiatives for academic institutions
• Led strategic product development and growth initiatives
• Conducted in-depth market analysis and generated actionable insights
• Facilitated international employment opportunities through structured internship programs
• Directed team optimization initiatives and creative problem-solving sessions

Sales Development Representative | AIESEC | October 2020 - February 2022
• Generated and nurtured new partnerships through strategic stakeholder outreach
• Orchestrated end-to-end communication pipeline management
• Cultivated sustainable stakeholder relationships
• Executed precise candidate-stakeholder matching
• Managed comprehensive project servicing and logistics coordination
• Oversaw participant and stakeholder onboarding/offboarding processes
• Maintained detailed CRM documentation and communication records

ACHIEVEMENTS
• Recipient of National Excellence Award for highest exchange program success rate during crisis period

TECHNICAL PROFICIENCIES
• Project Management: Jira, Notion, Miro, Trello, Google Sheets
• CRM Systems Management
• Custom Tool Development

OBJECTIVE
Seeking Project/Product Management role to leverage expertise in international partnerships and product development while contributing to organizational growth."
330,"CERTIFICATIONS
• Hillel IT School Project Management
• Canon MRI Fundamentals Magnets Overview
• Sysmex UF-5000 Technical Training
• GE Healthcare Certificate of Achievement PETtrace Application Training

PROFESSIONAL EXPERIENCE

Siemens Healthineers LLC
Senior Product Manager
December 2021 – January 2023
• Spearheaded B2B sales initiatives and led strategic negotiations, resulting in successful product placements
• Developed and executed comprehensive sales strategies for medical imaging equipment
• Conducted in-depth market analysis and competitive intelligence to identify growth opportunities
• Created detailed product specifications and comparative analyses for new equipment launches
• Customized complex MRI and Nuclear Medicine systems configurations to meet specific customer requirements

InMed Ukraine LLC
Head of Service Department
May 2020 – October 2021
• Led service operations for advanced medical diagnostic equipment portfolio including MRI, CT, angiography and X-ray systems
• Orchestrated large-scale equipment installation and relocation projects across multiple facilities
• Established comprehensive financial strategy and pricing framework for service operations
• Implemented efficient inventory management system for spare parts procurement and distribution

Labvita LLC
Head of Service Department
December 2019 – March 2020
• Directed installation and maintenance operations for sophisticated laboratory diagnostic equipment
• Built and developed high-performing technical service team through strategic hiring and training initiatives

Radiomed LLC
Head of Service Department
April 2017 – November 2019
• Oversaw end-to-end service operations for medical imaging equipment
• Led complex facility preparation and equipment installation projects
• Implemented and managed Bitrix24 CRM system for optimized project and inventory tracking

Nuclear Medicine Center of Kyiv City Clinical Oncology Center
Engineer-Radiologist
March 2011 – March 2017
• Managed daily operations of medical cyclotron and PET/CT scanning equipment
• Developed and executed preventive maintenance schedules for mission-critical medical equipment

EDUCATION

Hillel IT School
Project Management
February 2023 – April 2023"
331,"Andrii

PROFESSIONAL SUMMARY
Dynamic Content Management Team Leader with 7+ years of expertise in ecommerce operations, specializing in product data optimization and team leadership. Demonstrated success in driving revenue growth through strategic content initiatives and leading high-performing teams to exceed operational objectives.

PROFESSIONAL EXPERIENCE

Content Management Team Leader
Nexteum Company
Supporting Major North American E-commerce Platform

• Spearhead end-to-end content management operations, driving team efficiency through strategic planning and workflow optimization
• Develop and execute data management solutions for complex business challenges
• Execute comprehensive product data analysis to enhance structural integrity and eliminate inconsistencies
• Partner with key stakeholders to optimize product information architecture and achieve business goals
• Increase sales performance through strategic content enhancement and data quality initiatives
• Manage product data structuring for 1000+ brands, ensuring accuracy and consistency
• Design and implement scalable organizational frameworks for extensive product catalogs

EDUCATION & PROFESSIONAL DEVELOPMENT
Project Management Certification

CORE COMPETENCIES
• Strategic Team Leadership
• E-commerce Operations Management
• Product Data Architecture
• Content Strategy Development
• Project Planning & Execution
• Process Optimization
• Brand Portfolio Management
• Stakeholder Collaboration

CAREER OBJECTIVES
Seeking advanced project management roles to leverage e-commerce expertise while expanding leadership capabilities and English language proficiency in growth-focused environments."
332,"IRINA
Commercial Equipment Manager | Project Management Professional

PROFESSIONAL SUMMARY
Dynamic commercial equipment manager with 6 years of FMCG industry expertise, demonstrating excellence in digital transformation and process optimization. Successfully led cross-functional teams to implement innovative technological solutions, resulting in significant operational improvements and cost savings. Known for strategic leadership, stakeholder management, and delivering measurable business outcomes through data-driven initiatives.

CORE COMPETENCIES
• Strategic Team Leadership & Management
• Digital Transformation & Process Optimization
• Project Lifecycle Management
• Technical Requirements Analysis
• Business Intelligence & Analytics
• Systems Integration & Automation
• Performance Metrics & Reporting
• Stakeholder Engagement

PROFESSIONAL EXPERIENCE

Commercial Equipment Manager | FMCG Company
6 Years

Achievements:
• Executed enterprise-wide digital transformation, transitioning from Excel to Qlik Sense platform, encompassing requirements gathering, testing, and training delivery
• Engineered automated data exchange infrastructure between company systems and distributor platforms, achieving seamless integration
• Implemented cross-border electronic document flow system in 1C/SAP, generating $35,000 annual savings
• Developed innovative Telegram-bot QR code management system, enabling real-time equipment tracking
• Elevated team SLA performance from 85% to 100% through strategic process improvements

Core Functions:
• Direct leadership of 12-member cross-functional team
• Oversee commercial equipment accounting processes and standardization
• Manage end-to-end project lifecycles
• Develop technical specifications for system implementations
• Generate comprehensive performance analytics and operational reports

EDUCATION & PROFESSIONAL DEVELOPMENT

Project Management Certification (In Progress)
PM School

PROFESSIONAL ATTRIBUTES
Results-oriented leader with proven success in technology implementation and process optimization. Excellence in team leadership, stakeholder communication, and driving organizational change. Seeks to leverage expertise in collaborative, innovation-driven environments."
333,"MARIANNA
Project Manager

PROFESSIONAL SUMMARY
Results-driven Project Manager with 7 years of distinguished experience at the Romanian Embassy in Ukraine, specializing in diplomatic event management, translation services, and international project coordination. Demonstrated success in orchestrating high-profile events for up to 500 attendees while ensuring seamless protocol compliance and stakeholder communication.

EDUCATION
Project Management Certification
SPALAH IT School

PROFESSIONAL EXPERIENCE

Senior Project Coordinator & Diplomatic Translator
Romanian Embassy in Ukraine | 7 Years

• Spearheaded the planning and execution of diplomatic events ranging from intimate meetings to large-scale international festivals
• Managed comprehensive translation and interpretation services for critical diplomatic communications
• Orchestrated complex logistics for events hosting 10-500 international attendees
• Ensured strict diplomatic protocol compliance across all embassy functions
• Developed and executed charitable initiatives while maintaining detailed project documentation
• Administered student exchange programs promoting Romanian educational opportunities
• Optimized Ambassador's schedule and high-level diplomatic engagements
• Conducted strategic information gathering and analysis for embassy operations

LANGUAGE PROFICIENCY
• Ukrainian - Fluent
• Russian - Fluent
• Romanian - Fluent
• English - Intermediate

CAREER OBJECTIVES
Seeking a challenging Project Management role to leverage extensive event coordination and stakeholder management experience while driving organizational success through effective project delivery and team collaboration."
334,"VALERIIA
Project Manager

Currently residing in Budapest, Hungary due to the state of war in Ukraine. Seeking remote opportunities or on-site positions in Budapest.

PROFESSIONAL EXPERIENCE

Senior Project Manager & Sales Department Lead
• Established and scaled sales department, driving 400% revenue growth in 2 months
• Implemented comprehensive performance tracking systems and KPIs
• Developed strategic planning initiatives and risk mitigation protocols
• Led cross-functional teams and stakeholder communications
• Orchestrated departmental transformation and process optimization

Executive Assistant to C-Suite
• Managed executive operations and strategic initiatives for CEO and company owners
• Coordinated high-level stakeholder communications and reporting
• Led talent acquisition and team development initiatives
• Spearheaded new project development and implementation
• Facilitated executive decision-making through detailed analysis and reporting

Remote Operations Manager
• Built and directed remote sales organization of 12 team members
• Designed and implemented operational frameworks and procedures
• Optimized remote workflow processes and performance metrics
• Established communication protocols for distributed teams

Technology Content Specialist (6.5 years)
• Delivered specialized content solutions for IT sector clients
• Managed multiple concurrent technology projects
• Developed technical documentation and project materials

EDUCATION

Bachelor's Degree in Software Engineering

CORE COMPETENCIES

• Strategic Project Management
• Team Leadership & Development
• Stakeholder Relationship Management
• Business Process Optimization
• Risk Assessment and Mitigation
• Performance Metrics & Analytics
• Remote Team Operations
• Technical Project Implementation"
335,"**Full-Stack Developer**

**Career Objective**
Results-driven full-stack developer with proven expertise in web application development and environmental monitoring systems, seeking leadership opportunities to drive innovation and team excellence.

**Professional Experience**

**Full-Stack Developer | Environmental Monitoring Project**
*June 2016 - January 2017*
• Architected and delivered mission-critical environmental monitoring system for real-time chemical gas analysis
• Engineered scalable client-server application processing NO2 and NO emissions data
• Optimized PostgreSQL database performance and Apache server configuration for high-volume data processing
• Implemented robust backend solutions using PHP 7+ with focus on system reliability
• Designed intuitive front-end interfaces utilizing JavaScript, CSS, HTML, and Webpack
• Successfully integrated geographic visualization features through Leaflet implementation

**Front-End Developer | Image Management Application**
*June 2018 - July 2019*
• Spearheaded development of sophisticated image management system with geographic overlay capabilities
• Engineered dynamic vector layer functionality for precise data visualization
• Developed responsive single-page application using Vue.js framework
• Orchestrated seamless integration of Vue-bootstrap and Element UI components
• Implemented efficient client-side architecture ensuring optimal performance

**Technical Skills**
• Programming Languages: PHP 7+, JavaScript, HTML, CSS
• Frameworks & Libraries: Vue.js, Vue-bootstrap, Element UI, Leaflet
• Database Management: PostgreSQL
• Web Infrastructure: Apache, Webpack
• Development Architecture: Client-server applications, Full-stack systems

**Core Competencies**
• End-to-end web application development
• Solution architecture and system design
• Cross-functional team collaboration
• High-pressure project delivery
• Technical leadership and mentoring"
