,Modified_deepseek-chat_of_CV_Modeldeepseek-chat
294,"**PROFESSIONAL SUMMARY**
Entrepreneur and freelance developer with a decade of experience in building and scaling e-commerce operations from the ground up. Proven ability to manage full project lifecycles, from initial development to ongoing growth and customer retention. Combines hands-on technical skill in no-code solutions with strategic business management.

**PROFESSIONAL EXPERIENCE**

**Freelance Nocode Developer** | 10/2021 – Present
*   Develop and provide ongoing support for web projects serving an international client base, primarily from the US and Europe.
*   Engineer solutions for non-standard client requirements within the constraints of platform functionality.
*   Maintain a 100% customer satisfaction rate across all development projects.

**Entrepreneur** | 10/2013 – Present | Kyiv, Ukraine
*Health Supplements E-commerce*
*   Founded and grew two online stores from a starting inventory of 30 products to a combined catalog of over 1,000 products, cultivating a large base of loyal customers.
*   Managed all supplier and client communications, including international partners in the USA and Europe.
*   Evolved role from handling all operational tasks to managing both projects at a strategic level.
*   Developed and maintained a proprietary online store platform that operated successfully for five years prior to its migration to another system.
*   Advise industry colleagues on market entry strategies for the health supplements sector in Ukraine.

**SKILLS**
*   E-commerce Business Development & Scaling
*   No-Code Web Development & Project Support
*   International Client & Supplier Relations
*   Full-Cycle Project Management
*   Operational Process Optimization"
295,"**PROFESSIONAL SUMMARY**
Results-driven sales and operations leader with over three years of progressive experience in building, scaling, and optimizing sales departments. Proven ability to exceed targets, manage teams, and implement effective processes. Combines a technical educational background with hands-on sales and project management experience.

**PROFESSIONAL EXPERIENCE**

**Sales Leadership & Consulting Roles** | 2019 – 2022
Held progressive positions from Salesperson to Team Leader, and ultimately to Head of Sales and Sales Department Consultant for the final two years.

*   Built and structured sales departments from the ground up across 5 different market niches, successfully establishing 11 departments in total.
*   Consistently exceeded sales plans by an average of 30% across all roles and projects, contributing directly to accelerated project growth.
*   Managed and mentored a team of 15 sales professionals, overseeing performance, training, and development.
*   Directed core sales functions including sales growth, customer communication, team management, process design, and continuous optimization.
*   Successfully initiated and conducted sales in English, closing 4 contracts within the first month of doing so.

**SKILLS & CAPABILITIES**

*   **Sales & Leadership:** Sales Department Development, Team Building & Management (15+ people), Sales Strategy, Performance Optimization, Target Exceeding, Client Communication
*   **Process Management:** Process Building, Workflow Optimization, Project Development Lifecycle Understanding
*   **Technical Acumen:** Technical Education Foundation, Basic Programming Knowledge, Aptitude for Technical Fields
*   **Languages:** Professional Sales Proficiency in English

**ADDITIONAL EXPERIENCE**
*   Supplementary experience managing non-technical projects as a Project Manager."
296,"**PROFESSIONAL EXPERIENCE**

**Project Manager Assistant** | Brain Best
December 2018 – Present
*Project: Brain Best Online Courses (Local Market)*
*   Initiated online course development projects.
*   Conducted risk analysis and market research.
*   Managed communication with stakeholders, including lecturers, technical/non-technical teams, and sponsors.
*   Oversaw course production and quality control.
*   Authored technical tasks and requirements for the development team.

**Marketing Manager** | Volans
January 2018 – October 2018
*Projects: Volans ICO, Volans Blockchain Wallet*
*   Prioritized the product development backlog and conducted risk analysis.
*   Developed market research and planned marketing activities.
*   Managed the marketing backlog and task prioritization.
*   Communicated with stakeholders, including technical/non-technical teams, sponsors, and advisors.
*   Established public relations with rating agencies, social influencers, and industry magazines.
*   Planned marketing events and authored public documents (whitepapers, one-pagers).
*   Initiated, controlled, and monitored community support activities and customer experience processes.

**Media Buyer (Self-Employed)** | Freelance
September 2017 – April 2018
*Projects: Advertising campaigns for Hashflare, Mamsy.ru, MoneyClick (CPA Model)*
*   Researched the market for CPA offers.
*   Communicated with client brand teams and designers for graphic content creation.
*   Planned, set up, executed, monitored, and controlled advertising campaigns.
*   Analyzed marketing metrics and campaign performance.

**SKILLS**

*   Project Coordination & Initiation
*   Risk Analysis
*   Market Research
*   Stakeholder Communication
*   Technical Task Writing
*   Production Oversight
*   Marketing Strategy & Planning
*   Backlog Prioritization
*   Public Relations & Event Planning
*   Content Creation (Whitepapers, One-pagers)
*   Community Management & Customer Experience
*   Advertising Campaign Management (CPA)
*   Marketing Metrics Analysis"
297,"**PROFESSIONAL SUMMARY**
Dedicated and customer-focused Front Desk Manager with experience in hospitality operations, staff supervision, and guest relations. Proven ability to manage front office activities, ensure exceptional service delivery, and maintain efficient administrative functions.

**PROFESSIONAL EXPERIENCE**

**Front Desk Manager**
Park Hotel Golosievo, Kyiv
*   Served as the primary point of contact for the establishment, ensuring all visitors received a welcoming and positive first impression.
*   Supervised, trained, and coordinated all front desk support staff to maintain attentive, friendly, helpful, and courteous service for guests and colleagues.
*   Managed the reception area and coordinated front desk activities, maintaining effective working relationships and communication across all departments.
*   Interacted with customers in person and via telephone to assist with inquiries, resolve issues, and professionally handle guest complaints.
*   Directed and coordinated daily operations for the front desk, reservations, guest services, and telephone areas.
*   Compiled and generated daily and monthly occupancy and financial reports for management.
*   Enforced all cash-handling, check-cashing, and credit policies, including checking cashiers in/out and verifying banks and deposits at shift end.
*   Operated all aspects of the Front Office computer system, performing software maintenance, generating and analyzing reports, and implementing simple configuration changes.

**SKILLS**
*   Front Office Operations & Management
*   Staff Training & Supervision
*   Guest Relations & Complaint Resolution
*   Cross-Departmental Communication
*   Financial Reporting & Cash Handling
*   Front Office Software Systems
*   Administrative Coordination"
298,"**PROFESSIONAL SUMMARY**
Results-driven Project and Product Manager with expertise in full-cycle web and mobile development. Proven ability to lead cross-functional teams of up to 15 members through all project phases—from requirements capture, documentation, and financial management to monitoring, control, and closure. Adept at applying Agile/Scrum methodologies to deliver solutions across diverse industries including IT, advertising, video production, and marketing. Combines strong business analysis, UX awareness, and digital marketing knowledge to build products that meet market needs.

**CORE COMPETENCIES**
*   Project & Product Management
*   Business Analysis & Development
*   Full-Cycle Web/Mobile Development
*   Agile/Scrum Methodologies
*   Digital Marketing & UX
*   Financial Management & Invoicing
*   Client Negotiation & Communication
*   Multilingual Team Leadership

**PROFESSIONAL EXPERIENCE**
**Project/Product Manager** | [Company Name, City, State – *Add if desired*]
*   Managed the full project lifecycle for web, mobile app, and interface development projects, with durations ranging from two weeks to six months.
*   Handled all stages from initial requirements gathering and documentation, through client negotiations and invoicing, to project monitoring, maintenance, and closure.
*   Led and coordinated teams of up to 15 developers, designers, and stakeholders.
*   Implemented and managed Scrum methodology for team operations over a six-month period.
*   Applied cross-industry knowledge from advertising, video production, and marketing to inform product strategy and enhance user appeal.

**LANGUAGES**
*   Fluent: English, Ukrainian, Russian
*   Basic: German, Spanish"
299,"**PROFESSIONAL SUMMARY**
Project Coordinator and communications specialist with experience in digital marketing, social media strategy, and team leadership. Proven ability to increase revenue through optimized marketing approaches and manage creative projects from concept to execution.

**PROFESSIONAL EXPERIENCE**

**GlobalUp Company** | Project Coordinator
04/2022 – Present
*   Manage client relationships through consistent follow-up and updates via calls and emails.
*   Oversee creative projects using Monday.com project management software.
*   Develop compelling pitches, proposals, and briefs, supported by market research and idea pitching.
*   Contribute creativity and copywriting skills, including planning social media calendars and briefing creative and web development teams.
*   Support and optimize digital marketing campaign planning for Google Ads and social media advertising.
*   Support and optimize PR campaign planning involving influencers and media.

**National Aviation University**
*Head (Deputy Head of Department) of the Communication Sector, Media Communications Center*
08/2020 – 11/2020
*   Participated in the development of the university's communication strategy.
*   Managed communication support for Instagram, Facebook, Telegram, and TikTok pages in alignment with the communication strategy.
*   Created photo and video content and handled visual design for social networks.
*   Authored news articles and posts for Instagram, Facebook, and Telegram.
*   Maintained university pages on Instagram, Facebook, Telegram, and TikTok.
*   Prepared analytical reports on page performance results.
*   Developed briefs and technical tasks for photographers, videographers, and designers.
*   Updated photo and video materials for university departments.
*   Prepared, placed, and updated information on the university's external resources.

*Leading Specialist of the Radio and Television Sector, Center of Media Communications*
10/2018 – 08/2020

*PR and Advertising Specialist, Media Communications Center*
04/2018 – 09/2018

*Specialist of the Sector of Information Processing and Analysis, Information-Analytical Department*
09/2017 – 03/2018

*Specialist of the Marketing, Advertising and Exhibition Sector, Information and Analytical Department*
12/2016 – 06/2017

**ADDITIONAL EXPERIENCE**
*   Worked with a successful cryptocurrency project, managing a team and increasing project revenue by updating the digital marketing approach.

**EDUCATION**
*   Master's Diploma in International Education (Two Universities Attended)"
300,"[Your Name]
[Phone Number] | [Email Address] | [Location] | [LinkedIn/Portfolio URL]

PROFESSIONAL SUMMARY
Results-driven professional with experience in project coordination, team leadership, and process optimization. Proven ability to manage budgets, execute strategic plans, and deliver projects. Seeking a challenging role to apply and further develop project management skills in a dynamic environment.

PROFESSIONAL EXPERIENCE

**Sales Manager**
Investment Group ""MOLODIST"" | APR 2021 – FEB 2022
*   Conducted business negotiations and drove sales initiatives.
*   Managed customer service support and maintained client relationships.
*   Prepared and delivered detailed reports on sales performance.
*   Assisted in budgeting processes and utilized CRM systems for pipeline management.

**Head (Chairman)**
Primary Trade Union Organization of Students and Cadets, State Tax University | MAR 2018 – FEB 2020
*   Led and motivated a team of 16 members within a 97-member organizational hierarchy.
*   Initiated, planned, executed, and reported on multiple projects.
*   Conducted daily and weekly meetings with team members, stakeholders, and external partners.
*   Developed and implemented a strategic plan that increased organization membership by 30%.
*   Organized large-scale external events for audiences exceeding 2,000 people.
*   Developed and managed a system for accounting trade union members, including member cards that provided partner discounts.

PROJECT EXPERIENCE

**5-Story Building Construction Project**
*   Served as responsible manager for a construction project with a budget exceeding $80,000.
*   Coordinated a project team of 23 participants.

**LikarPoruchUA (Pet Project)** | JAN 2023 – MAR 2023
*   Independently created a mobile application concept to connect Ukrainian-speaking users abroad with Ukrainian doctors for affordable consultations.
*   Developed comprehensive project documentation including: Statement of Work (SOW), project roadmap, project backlog, and organizational structure.
*   Performed project budgeting, created a mind map, and developed a Work Breakdown Structure (WBS).
*   Established project management frameworks including a Risk Register, RACI matrix, and Schedule Management Plan.

EDUCATION & CERTIFICATION

**Project Management in IT**
GoIT | JAN 2023 – MAR 2023
*   Completed an intensive course focusing on IT project management methodologies and practical frameworks.

**State Tax University** | [Degree, if applicable, e.g., Bachelor of Economics] | [Years Attended/Graduation Date]

SKILLS
*   Project Planning & Coordination
*   Budgeting & Financial Reporting
*   Team Leadership & Motivation
*   Stakeholder Communication
*   Strategic Planning & Implementation
*   Process Development
*   Event Organization
*   CRM Systems"
301,"**PROFESSIONAL SUMMARY**
A dedicated professional with extensive experience in project management and health & safety, currently seeking to advance expertise in project management methodologies. Proven ability to lead teams, manage budgets, and implement cross-functional projects to achieve organizational goals.

**PROFESSIONAL EXPERIENCE**

**Head of Health & Safety Department**
CRH Ukraine | 07.2016 – Present
*   Lead and implement Health & Safety CAPEX projects, including a key project valued at 14 million UAH.
*   Manage all department operations, including annual HS budgeting for OPEX and CAPEX.
*   Lead and mentor a working team of 4 personnel.
*   Facilitate communication between all project and departmental parties.
*   Spearheaded a ""Stay-up"" project as Project Manager, implementing improvements across three key directions: organizational, training, and plant beautification.

**Health & Safety Officer**
CRH Ukraine, Odessa | 02.2015 – 06.2016
*   Managed departmental activities and archiving systems to ensure goals were met and deadlines achieved.
*   Conducted risk assessments for unsafe acts and conditions.

**PROJECT EXPERIENCE**

**Project Manager | Personal Project**
01.2023 – Present
*   Create a project website and mobile platform for meditation.
*   Develop comprehensive project documentation including: Statement of Work (SOW), mind map, Work Breakdown Structure (WBS), Project RACI matrix, and Risk Register.
*   Implement project plans using Schedule Management plans and Jira for project planning.

**ADDITIONAL EXPERIENCE**
*   Management of company volunteering activities.

**EDUCATION & CERTIFICATIONS**
*   GoIT Project Manager Course"
302,"Yevheniia Melnyk

**Objective**
To secure a Junior IT Project Manager position where I can leverage my foundational IT project management training and extensive construction industry project experience in budgeting, planning, project control, and team management.

**Professional Summary**
Junior IT Project Manager with 6-7 years of project experience in the construction industry, including team management and leadership roles. Certified in IT project management and Agile methodologies. Currently enhancing technical knowledge through manual testing studies and IT project simulations.

**Education & Certifications**
*   IT Project Management Courses | Go IT
*   Scrum and Agile Course | Skillsetter Platform
*   Current Participant | Dexola IT Camp (PM Role)

**Professional Experience**
**Project Manager / Team Leader | Construction Industry**
*   Managed project budgeting, planning, and control for construction projects.
*   Led and managed project teams, ensuring effective collaboration and task completion.

**Skills**
*   **Project Management:** Budgeting, Planning, Project Control, Risk Management, EVM (Earned Value Management), Agile/Scrum Methodologies.
*   **Project Documentation:** SOW (Statement of Work), Estimates, Critical Path, Mind Maps, RACI Matrices, Test Plans, Project Closure.
*   **Tools:** Jira, Confluence, Trello, TestRail, Miro, Microsoft Office, Slack, Google Docs/Sheets.
*   **Additional Software:** 3ds Max, Archicad, Enscape.
*   **Languages:** English (Currently improving proficiency).

**Project Experience (Pet Projects)**
*   **IT Project Manager:** Created comprehensive project documentation including SOW, estimate templates, critical path analysis, mind maps, project budgets, EVM (schedule and cost) reports, RACI matrices, risk registers, test plans, and project closure reports. Utilized Jira and Confluence for project tracking and collaboration.
*   **QA (Quality Assurance):** Developed test plans, test cases, bug reports, checklists, and defined QA levels.

**Career Goal**
To gain practical experience and continue developing as a competent IT Project Manager."
303,"**Professional Summary**
Dedicated and motivated Project Manager with foundational training in project management principles. Skilled in applying project plans, methodologies, and frameworks to support team objectives. Focused on clear communication, risk mitigation, and resource coordination to help teams and customers achieve their goals. Eager to contribute to a creative and innovative team environment.

**Education & Certification**
*   Project Management Courses – ""Hillel"" Computer School
    *   Covered core concepts including project planning, methodologies (Agile/Waterfall frameworks), risk management, team communication, motivation techniques, and budget/resource management.

**Skills**
*   Project Planning & Methodologies
*   Risk Identification & Mitigation
*   Team Communication & Motivation
*   Budget & Resource Management
*   Problem-Solving
*   English (Intermediate/Upper-Intermediate Level)"
304,"Hillel IT School
Project Management Certification
Mar 2023 - May 2023
Grade: Excellent

Certification Focus:
- Understanding the SDLC and project management methodologies (Waterfall, Kanban, SCRUM, Lean, XP)
- Project documentation, stakeholder identification, and communications management
- Client requirement gathering and project scope management
- Resource, team, and project budget management
- Team motivation, and project time/schedule management
- IT project risk management
- Practical use of Jira and Confluence

PROFESSIONAL EXPERIENCE

Group Leader
ПП ""ІРВАН"" | 2021 - 2023
- Managed the construction process for Internet communication networks across multiple Ukrainian regions.
- Led and coordinated team activities.
- Managed project budgets and controlled expenditures.
- Procured necessary equipment and materials for projects.
- Maintained comprehensive project documentation.

Chef's Assistant
Restaurant Chain ""Італійський квартал"" | 2019 - 2020
- Prepared food according to established standards and recipes.
- Assisted in managing kitchen team operations.
- Handled relevant documentation and inventory management.

SKILLS
Project Management, Team Leadership, Budget Management, Procurement, Documentation, Jira, Confluence, SDLC, Risk Management, Stakeholder Communication"
305,"Jane Doe
Email: jane.doe@email.com | Phone: (123) 456-7890 | LinkedIn: linkedin.com/in/janedoe

**PROFESSIONAL SUMMARY**
A detail-oriented professional with over three years of commercial experience in Software Testing and Project Management. Proven ability to guide projects from inception to implementation using Agile methodologies. Skilled in process organization, team coordination, and mentorship, with a focus on eliminating obstacles and ensuring project success.

**PROFESSIONAL EXPERIENCE**

**Project Manager & QA Specialist**
*   Guided two commercial projects (QAX Camp and QAX Travel) from initial creation through full implementation.
*   Organized software development processes utilizing SCRUM and Kanban methodologies.
*   Planned, moderated, and facilitated project meetings, keeping detailed notes and following up on action items.
*   Identified project tasks and monitored their completion by all team members.
*   Developed and maintained comprehensive project documentation.
*   Served as the primary communication link between project team members and external stakeholders.
*   Proactively identified and eliminated obstacles impeding team progress.
*   Conducted key SCRUM events including Sprint Planning, Retrospectives, and other team ceremonies.
*   Created and maintained a knowledge base for QA trainees.
*   Successfully mentored and onboarded several new team members.

**EDUCATION & CERTIFICATIONS**
*   Successfully completed QA courses."
306,"**PROFESSIONAL SUMMARY**
Hardworking and passionate professional with strong organizational skills and a proven track record in team leadership, sales management, and strategic negotiations. Adept at training teams, expanding market share, and driving consistent growth. Seeking to leverage operational and managerial expertise in a Junior Project Manager role.

**PROFESSIONAL EXPERIENCE**

**Regional Manager of the East Region** | 04.2017 – Current
*   Recruited and expanded team from 3 to 12 personnel, overseeing training, monitoring, and control; average employee tenure is 3-3.5 years.
*   Successfully managed a team of 9, achieving 103% of the regional sales plan for 2021, representing a 75% increase over 2020.
*   Executed team sales plan at 100% or above for the East region (Sumy, Kharkiv, Poltava, Dnepr, Zaporozhye, Krivoy Rog).
*   Conducted successful negotiations with pharmacy chains, securing master agreements and maintaining over 50% market share for medicinal herbs in Ukraine until 2020.
*   Managed and trained a team of medical representatives in effective pharmaceutical sales and client persuasion (tertiary sales).
*   Negotiated contracts with pharmacy networks for large-scale procurement, achieving 100% plan execution for non-promotional medicines (secondary sales).
*   Introduced new brands to the Ukrainian pharmacy market, including during quarantine, achieving average year-on-year growth of approximately 30%.
*   Handled organizational duties including team training sessions, internal meetings, and transitions to new work programs.
*   Prepared and presented sales reports, set SMART goals, and conducted competitive analysis and market monitoring.
*   From 2021, focused on promoting and delegating tasks for networks, personally leading only VIP networks in Ukraine.

**EDUCATION & PROFESSIONAL DEVELOPMENT**

**Course: Product-Project with a Mentor** | 09.2022 – 12.2022
**Certifications** | 07.2022 – 09.2022
**Course: «DAO PM»** | IAMPM
**Course: ""QA Engineer""** | G5 University | 06.2022

**SKILLS & ACHIEVEMENTS**
*   Team Leadership & Development: Recruitment, training, and management of high-performing teams.
*   Sales & Business Growth: Consistently exceeded regional sales plans; expanded market share.
*   Strategic Negotiations: Contracting with key pharmacy networks and VIP clients.
*   Project & Product Introduction: Successful launch and growth of new market brands.
*   Operational Management: Organizational coordination, reporting, SMART goal setting, and market analysis."
307,"[Your Name]
[Phone Number] | [Email Address] | [Location] | [LinkedIn Profile URL]

**PROFESSIONAL SUMMARY**
Accomplished professional with over 11 years of international experience in IT Sales, Hospitality, and Aviation. Proven track record of performance leading to promotions to Quality Assurance Manager and Shift Manager. Combines strong client-facing skills with recent, certified training in Project Management methodologies. Trilingual in English, Ukrainian, and Russian.

**PROFESSIONAL EXPERIENCE**

**Quality Assurance Manager / Shift Manager** | [IT Company Name], [Location]
*Promoted from Sales Representative within two years.*
*   Consulted approximately 100 client inquiries daily, resolving 90% of requests and concerns.
*   Gained expertise in IT products, services, CMS platforms, and E-commerce engines (WordPress, Joomla, Prestashop, Magento).
*   Led a team of 8-10 employees during the PM shift, conducting trainings and performance appraisals.
*   Managed daily business correspondence, prepared weekly sales reports, and reported progress and roadblocks to senior management.

**International Hospitality & Aviation Professional** | [Company Names], [Locations]
*   7 years of experience working abroad for international corporations.
*   Developed strong communication and interpersonal skills in a cosmopolitan environment with over 120 nationalities.
*   Adapted to fast-paced environments, new people, and diverse situations.
*   Gained extensive cultural awareness and experience working with international clients.

**EDUCATION & CERTIFICATIONS**

**Project Management Certification** | [Online IT Academy Name]
*   Completed comprehensive project management training, working on two pet-projects.
*   Gained knowledge of Agile, Scrum, and Kanban methodologies.
*   Practical experience with Jira, Confluence, and Miro.
*   Skills include: creation of SOW and project documentation, project/sprint backlog creation, project budgeting (cost baseline, general budget), and team and risk management.

**SKILLS**

*   **Project Management:** Agile/Scrum/Kanban, Project Lifecycle, Backlog Management, Budgeting, Risk Management
*   **Tools:** Jira, Confluence, Miro
*   **Technical Knowledge:** CMS (WordPress, Joomla), E-commerce (Prestashop, Magento), IT Products/Services
*   **Professional:** Client Relations & Consultation, Team Leadership & Training, Quality Assurance, Sales Reporting, Cross-cultural Communication
*   **Languages:** English (Fluent), Ukrainian (Native), Russian (Fluent)"
308,"**PROFESSIONAL SUMMARY**
Analytical and detail-oriented Design Engineer with 3 years of project management experience in an engineering company, seeking to transition to the IT sector. Proven ability to manage projects within constrained budgets and timelines, including a project with a budget of $1.5M USD. Adept at translating customer specifications, coordinating cross-functional teams, and dedicated to professional growth with foundational certifications in IT project management.

**PROFESSIONAL EXPERIENCE**
**Project Manager** | Engineering Company
*   Managed full project lifecycle from contract signing through to expert approval, ensuring on-time and on-budget delivery.
*   Prepared technical and commercial proposals and coordinated project documentation between allied participants.
*   Scheduled work, controlled timelines, and prepared equipment questionnaires for selection.
*   Supervised a group of up to 30 design engineers and up to 5 personnel on site.
*   Organized and participated in meetings, conducted project defenses, and created explanatory notes.
*   Performed site visits and supervision.

**EDUCATION & CERTIFICATIONS**
*   DAO PM Courses (IAMPM) – Covered SDLC, Agile, and Waterfall methodologies, PERT estimation, risk management, WBS, user stories, acceptance criteria, story points, roadmap and mind map creation, milestone determination, Lean Canvas, and tools including Jira, Confluence, and Slack.
*   English Courses (American English Center)

**SKILLS**
*   **Project Management:** Budget & Timeline Control, Risk Management, Scheduling, WBS, Milestone Tracking, PERT Estimation
*   **Methodologies:** Agile, Waterfall, SDLC
*   **Tools & Concepts:** Jira, Confluence, Slack, Lean Canvas, User Stories, Acceptance Criteria, Story Points
*   **Technical:** Technical Proposal Preparation, Equipment Selection, Documentation Coordination, Site Supervision
*   **Leadership:** Team Supervision (up to 30), Cross-functional Coordination, Project Defense, Client Communication"
309,"**PROFESSIONAL SUMMARY**
Results-oriented professional with over 8 years of theoretical and practical experience in design, sales, and project management within construction, seeking to transition into software development project management. Combines recent, focused study of software development methodologies with a proven track record in stakeholder coordination, requirements documentation, and team leadership. Adept at analytical problem-solving and cross-cultural communication.

**PROFESSIONAL EXPERIENCE**

**Project Manager / Coordinator** | [Company Name, City, State – Optional]
*   Managed full project lifecycle for construction projects, ensuring successful coordination and implementation with foreign stakeholders and customers.
*   Developed and maintained project documentation including technical requirements specifications, Work Breakdown Structures (WBS), and risk management plans.
*   Led project teams and managed successful projects from inception to completion.
*   Handled project billing and accounting processes, including invoicing and daily financial communication with foreign partners.
*   Represented company at international exhibitions, demonstrations, and negotiations in Italy, contributing to profitable outcomes.
*   Applied strong analytical and problem-solving skills to overcome project challenges.

**SKILLS & COMPETENCIES**

*   **Project Management:** SDLC Methodologies, Requirements Management, Risk Management, Team Leadership, WBS Creation
*   **Technical Documentation:** Technical Requirements Specification, Risk Management Plans
*   **Business Operations:** Sales, Billing, Accounting, Invoicing, Stakeholder Communication
*   **Professional Traits:** Analytical, Detail-Oriented, Result-Oriented, Responsible, Open-Minded
*   **Languages:** Excellent written and verbal communication skills; experience communicating with foreign partners.

**EDUCATION & PROFESSIONAL DEVELOPMENT**
*   Intensive self-directed study in Software Development Life Cycle (SDLC) methodologies, requirements management, and risk management through courses, seminars, and industry literature.
*   [Degree, if any – Optional: e.g., Bachelor of Science in Field, University Name]

**PROFESSIONAL INTERESTS**
New trends in design and modern technology."
310,"**PROFESSIONAL SUMMARY**

Versatile professional with 4 years of experience managing projects from inception through execution for businesses in the Events, Catering, and Premises Rental sectors. Skilled at aligning customer needs with business objectives to deliver user and company value. Experience spans web design, SMM, graphic design, and project management, with core responsibilities intersecting product and project management.

**EXPERIENCE**

*   Directed projects from initial creation through curation for both new and legacy systems.
*   Prepared job descriptions and implemented onboarding processes.
*   Set team goals and maintained quality control standards.
*   Assisted CEO in day-to-day operational management.
*   Managed technology operations and oversaw group-wide marketing efforts.
*   Participated in the creation and execution control of technology briefs.
*   Conducted market and trend analysis to develop Competitive Advantage Plans.
*   Managed advertising budgets and performed ROI analysis.
*   Handled HR responsibilities including recruitment, staff adaptation, and scheduling.
*   Organized master classes and banquets for staff and clients.
*   Controlled product supply, procurement, and inventory.
*   Organized events and maintained quality control.
*   Conducted negotiations and managed contractor relationships.
*   Prepared reports, managed budgeting, and maintained financial documentation.

**SKILLS**

*   **Methodologies:** Agile, Scrum, Kanban, Waterfall, SDLC
*   **Project Tools:** Jira, Confluence, GantPro, Trello, Worksection
*   **Design Tools:** Figma, Photoshop, Illustrator
*   **Productivity:** MS Office
*   **Technical:** MySQL
*   **Professional:** Leadership, Conflict Management, Risk Management, Critical Thinking, Negotiating, Task Management"
311,"**PROFESSIONAL SUMMARY**
Customer support professional with 4.5 years of experience in representative and supervisory roles. Possesses a foundational technical understanding of web products including domains, hosting, SSL certificates, and WordPress. Proven ability to communicate effectively with clients and teams, train newcomers, organize workflows, and provide developmental feedback. Eager to apply strong interpersonal skills, leadership experience, and fast learning ability to a new role in IT project management.

**WORK EXPERIENCE**
**Customer Support Supervisor** | [Company Name] | [Dates]
*   Supervised customer support operations over a 4.5-year tenure, progressing from representative to supervisory responsibilities.
*   Trained and onboarded new company employees, organizing team workflows and delegating tasks for professional development.
*   Conducted one-on-one meetings to deliver performance feedback and support team member growth.
*   Provided technical support for web-based products including domains, hosting, SSL certificates, and WordPress.
*   Communicated effectively with clients and collaborated within a team environment.

**SKILLS**
*   **Technical:** Domains, Web Hosting, SSL Certificates, WordPress
*   **Interpersonal:** Client Communication, Team Collaboration, One-on-One Meetings, Performance Feedback
*   **Leadership:** Team Training, Workflow Organization, Task Delegation, Employee Development
*   **Core:** Fast Learner, Highly Responsible, Receptive to Feedback"
312,"**PROFESSIONAL SUMMARY**

A management professional with 12 years of experience seeking a Project Manager role in the IT sector. Eager to apply transferable skills to a new domain, with a strong commitment to learning and gaining new experience.

**EDUCATION & CERTIFICATION**

**Go IT School**
Project Management Full Course
08.2022 – Present

**PROFESSIONAL EXPERIENCE**

**Project Manager / Head of Aviation**
Kompas Ukraine | Kyiv, Ukraine
Sep 2021 – Apr 2022
*   Managed cooperation and negotiations with airline companies.
*   Drafted and executed contracts for charter flights with airlines and with travel agencies.
*   Restructured the department into two subdivisions and established their operational workflows.
*   Prepared financial reporting and managed payment schedules for all charter flights.
*   Conducted analysis of the tourist charter aviation market.

**Head of Aviation**
TUI Ukraine | Kyiv, Ukraine
Dec 2013 – Apr 2020
*   Served as a project manager within the Project subdivision.
*   Managed the integration project between the travel company’s system and airline systems.
*   Successfully launched an ancillary sales platform.
*   Conducted negotiations with airlines and drafted contracts.
*   Performed budget planning and oversight.
*   Managed full-cycle hiring including interviews, testing, and onboarding.
*   Arranged and conducted training for new staff in Ukraine, Lithuania, and Latvia.
*   Participated in international business meetings."
313,"[Your Name]
[Your Contact Information]

PROFESSIONAL SUMMARY
Dedicated professional with extensive experience in project management, team leadership, and international coordination. Proven ability to develop and execute projects from conception to completion, manage cross-functional teams, and represent organizations at international forums. Skilled in strategic planning, client relations, and operational oversight.

EXPERIENCE

Project Manager
*   Led end-to-end project management for real estate initiatives.
*   Collaborated with international partners to advance project goals.
*   Managed marketing agendas and developed strategies to increase audience engagement and market saturation.

Head of Call Center and Ad-Boards Department
*   Managed a department of over 15 staff members, including monitoring, training, and leadership.
*   Organized team-building events and facilitated communication to ensure team cohesion and motivation.
*   Oversaw all departmental operations and performance.

CR Manager
*   Managed client relationships and utilized CRM systems for tracking and reporting.
*   Employed G-Suite applications for organizational efficiency.
*   Demonstrated personal accountability for results through task delegation, team monitoring, and leadership.
*   Fostered a client-oriented approach and distributed tasks among staff.
*   Prepared daily reports and utilized pivot tables for data analysis.

Coordinator, Ukrainian Volunteer Service
*   Developed and wrote thematic project proposals.
*   Planned project budgets and expenses.
*   Managed communication and negotiations with sponsors.

Representative of Ukraine, Council of Europe Youth Conference
*   Represented Ukrainian youth interests at an international conference.
*   Collaborated with foreign delegations and presented projects to diverse audiences.
*   Planned and monitored task execution for conference objectives.

Head of Town Youth Council
*   Led the youth council, creating projects at both city and international levels.
*   Fostered teamwork, motivation, and team-building initiatives.
*   Defined project priorities, determined costs, and prepared project reports.

SPEAKING ENGAGEMENTS & PROJECTS
*   Speaker at the European Youth Forum ""Enter! Youth Week: Our Rights, Our Lives"".
*   Authored an international project on youth policy development and facilitated the exchange of experience with Poland.

EDUCATION & CERTIFICATIONS
*   Graduating from Leadership School.
*   FCE (First Certificate in English), Cambridge Assessment English, 2019.

SKILLS
*   Project Management: Planning, Cost Analysis, Reporting, International Collaboration
*   Leadership: Team Motivation, Delegation, Staff Training, Performance Monitoring
*   Communication: Client Relations, Public Speaking, Sponsorship Negotiations, Interdepartmental Liaison
*   Technical: CRM Systems, G-Suite, Data Analysis (Pivot Tables), Report Preparation
*   Languages: English (FCE Certified)"
