,Modified_meta-llama_llama-3.3-70b-instruct_of_CV_Modelmeta-llama_llama-3.3-70b-instruct
317,"Middle and High School Olympiad Experience:
I actively participated in Olympiad programming competitions during my middle and high school years, developing strong problem-solving and programming skills through challenges that honed my algorithmic thinking and logical reasoning.

Awards and Achievements:
I was awarded a 2nd degree diploma as the winner of the 2nd stage of the Ukrainian Olympiad in Informatics 2021, demonstrating my ability to thrive in competitive environments.

University Experience:
I organized and led diverse projects with a student team of four at university, where we developed a comprehensive training program on ""The Art of Negotiation."" As the project manager, I fostered a collaborative environment, developed plans, set deadlines, monitored progress, and held regular team meetings to deliver successful outcomes.

Team Collaboration:
I promoted teamwork and collective problem-solving, ensuring effective communication and collaboration among team members to achieve project goals.

Skills and Expertise:
I gained practical experience in essential project management tools and techniques through courses by Google, including:
- Work Breakdown Structure (WBS): Creating task hierarchies for effective organization and planning
- Gantt Chart: Visualizing timelines to track progress and manage dependencies
- OKRs and SMART Goals: Establishing clear, measurable objectives aligned with organizational goals
- RACI Charts: Defining roles and responsibilities for streamlined decision-making
- Stakeholder Analysis and Power Grid: Identifying key stakeholders, analyzing influence, and developing engagement strategies
- SoW and Project Budget: Crafting comprehensive project scopes and managing budgets

Lifelong Learning:
I continuously pursue new courses and certifications to enhance my project management skills, staying up-to-date with industry trends to deliver exceptional results.

Career Aspirations:
I am excited to bring my creativity, dedication, and project management expertise to a dynamic organization. I look forward to working in an environment that fosters continuous learning, collaboration, and clear communication, with opportunities for growth and advancement. Specifically, I aim to:
- Expand my knowledge of project management methodologies, tools, and emerging technologies through continuous learning and growth
- Be part of a collaborative and supportive team that values open communication, mutual respect, and shared goals
- Work in an environment with clear communication and transparency, where project objectives, requirements, and expectations are clearly communicated
- Receive mentorship and guidance from experienced professionals to support my professional growth and development
- Have opportunities for career advancement and growth, demonstrating my abilities and delivering exceptional results to progress in my project management career."
318,
319,"Technical Department Development
- Participated in the expansion of the Technical Department, including technician staff growth
- Implemented a new operational procedure for object startup, reducing time and staff requirements

Cloud System Integration
- Transferred essential databases to a cloud system
- Created interactive tables for multiple users to track changes and prevent data loss

Security Company Experience
- Troubleshoot and repair malfunctions in alarm, fire alarm and extinguishing, video surveillance, and access control systems
- Coordinate with clients and dispatch repair engineers to resolve issues

Junior Project Manager Aspirant
- Technical education background
- Strong analytical skills
- Experience with personnel management, client communication, problem-solving, and document management
- Seeking a Junior Project Manager position with opportunities for growth and development"
320,"At the previous place of work (5+ years), I learned from scratch to understand the peculiarities of servicing commercial real estate, holding negotiations, budgeting and emergency management. I did not have previous experience in this field.

I am a strong, professional team player with good management skills, able to estimate tasks, terms, and resources necessary for their accomplishment. I developed these qualities in my previous role, where I conducted several commercial real estate projects and learned a systematic approach to project management.

Through my experience working with international partners, I improved my English language skills. I am eager to apply my skills and experience in a new context, specifically in the IT field, where I am excited about the opportunity to create innovative products and be part of a team that makes a positive impact.

With high motivation and a desire to grow, I am confident in my ability to learn and adapt to new challenges. I am drawn to the IT market in Ukraine and see significant opportunities for personal and professional development. As a Junior Project Manager, I am excited to learn from experienced colleagues and contribute to a team that shares my passion for innovation and making a difference through technology."
321,"Valerii
Junior Project Manager

Contact Information:
Not Available

Objective:
To leverage my skills and experience as a project manager to deliver successful projects on time.

Summary:
Results-driven Junior Project Manager with experience in managing projects from initialization to closing, utilizing Agile methodologies, including Scrum and Kanban. Proven ability to work independently and collaboratively to solve problems.

Education:
Google Project Management Certificate Program

Experience:
Project Manager
- Led projects from initialization to closing, ensuring timely delivery
- Implemented Scrum in projects
- Developed project documentation
- Organized teams to achieve project goals

Manager of Distance Learning, Faculty of International Economic Relations
- Interacted with thousands of users of different roles in the Moodle system
- Ranked as a top 3 employee in the manager department
- Coached new employees to improve performance
- Achieved a 95% customer satisfaction rating from users surveyed
- Demonstrated ability to work independently and collaboratively to solve problems

University Projects
- Successfully delivered several projects as a project manager
- Supported projects to ensure timely completion
- Developed project documentation
- Implemented Agile methodology, including Scrum and Kanban

Technical Skills:
- Node.js
- MySQL
- MongoDB
- Next.js
- Mongoose
- Nest.js
- PostgreSQL
- Firebase
- GitHub"
322,"Project Manager
1.5 years of experience in project management, with a focus on team leadership and project success.

Summary:
Results-driven project manager with strong communication skills, proficient in managing teams and collaborating with developers, designers, and clients to deliver successful projects.

Technical Skills:
- Jira
- Asana
- Trello
- Slack
- Microsoft Teams

Experience:
Project Manager
- Managed teams to ensure project success
- Utilized Agile (Scrum) and Waterfall methodologies
- Worked with educational, government, and non-profit domains
- Demonstrated strong communication skills, resolving problems and maintaining team morale

Strengths:
- Strong communication skills
- Effective problem-solving
- Team leadership and collaboration

Career Ambition:
To continue leveraging my skills in communication and problem-solving to drive successful project outcomes, and to tackle new challenges in diverse teams and projects."
323,"Results-driven manager with 3+ years of experience leading teams and driving strategic goals in international environments. Proven track record of success in management roles at a prominent IT company and international student organizations.

Highly motivated and enthusiastic professional seeking to leverage management skills in a project management role. Eager to apply strong work ethic and dedication to meeting expectations.

Key experience includes:
- IT project coordination (6-month internship)
- Leading teams of 20+ students towards strategic goals in international student organizations (VP of Administration to President)
- Coordinating 30+ events for European students and alumni, including business case-study competitions, educational, strategic, and entertainment events
- Driving HR activities and facilitating workshops

Skilled in:
- IT project methodologies and tools (theoretical understanding)
- Trello, Jira, Confluence
- MS Office, G Suite
- Presentation creation, data structuring
- Interpersonal and intercultural communications

Currently enrolled in ""Project Management in IT"" course, complemented by a Coursera course on ""Agile with Atlassian Jira"". Prefers working in international companies."
324,"Highly motivated and result-oriented professional with 15+ years of experience in HR, banking, and Oil & Gas industries, focused on process improvements and operational issues. Proven leadership and personal achievements. Seeking development in Project Management within the IT sector.

Key Skills and Experience:
- Completed a Project Management course with GoIT, designing the Pharmapteka project, a platform for customers to find, compare prices, and purchase medicines in Krakow and suburbs.
- Successfully completed various project management documents and processes, including:
  - Roadmap creation
  - Mind map
  - Statement of Work (SOW) creation
  - Budget planning
  - Work Breakdown Structure (WBS) and project estimation
  - Risks management
  - Project backlog creation
  - Customer journey map creation
- Demonstrated teamwork and support skills through assisting teammates with home tasks, providing hints and advice, and completing additional scope of work.
- Consistently delivered homework on time and achieved high rankings in team quizzes, including Kahoot! quizzes.

Career Objective:
To secure a role as a Project Coordinator, Junior Project Manager, or undertake challenging and interesting tasks within the IT industry, leveraging my process leadership experience and project management skills."
325,"Highly Motivated Junior Project Manager

Education:
Graduate of Hillel School, High Honor

Skills:
Excellent communication skills
Theoretical knowledge of:
  Budget Management
  Scope Management
  Quality Management
  Risk Management
  People Management
  Stakeholder Management
English language proficiency: Upper Intermediate (spoken and written)

Work Experience:

English Teacher
  Planned and prepared lessons, creating lesson plans, gathering materials, and developing activities to engage students
  Monitored student progress, provided feedback, and maintained records of attendance, grades, discipline, and other information
  Interacted with parents or guardians to discuss student progress and address concerns
  Prepared materials such as tests, presentations, and homework assignments

Kindergarten Teacher
  Assisted the Head Teacher with paperwork, documents, and presentation creation
  Helped design complete teaching plans and engaging lessons
  Utilized and organized learning materials and resources
  Employed songs, stories, and games to motivate children's participation
  Communicated regularly with parents
  Identified children requiring extra support
  Evaluated children's performance and progress
  Adhered to teaching standards and safety regulations"
326,"Highly motivated and detail-oriented professional seeking a Junior Project Manager role to apply knowledge and skills gained from the PM+BA course at the Lemon School.

Summary:
Results-driven and organized individual with experience in management, administration, and teaching, looking to leverage skills in a project management capacity.

Work Experience:

Manager
German Desk of Grant Thornton LLC, Kyiv
April 2021 - Present
- Ensure functional operations of the office and its employees
- Facilitate communication between clients and the office
- Monitor project timelines and progress
- Assume HR responsibilities as needed
- Compile and submit monthly reports on clients and employees, maintaining accurate database records

English Teacher
Буде Talk, Kyiv
January 2021 - June 2021
- Conducted lessons for children and teenagers

Office Manager
EKC, Kyiv
June 2020 - December 2020
- Managed business correspondence and phone calls
- Coordinated visitor meetings and provided administrative support to office staff
- Executed management orders and maintained office operations

Education:
PM+BA course, Lemon School

Career Objective:
To obtain a challenging Junior Project Manager position where I can apply my knowledge, gain practical experience, and further develop my skills in a collaborative team environment."
327,"Udemy Business: The Project Management Course: Beginner to PROject Manager
IT STEP University: 3Ds MAX
SPE School: Development courses on Leadership Effectiveness and Team Management Skills

Results-driven professional with managerial experience in a German-Ukrainian automotive company with over 3000 employees. Proven track record of success in process adjustment, project coordination, and team management.

Career Highlights:
- Started as a technologist, responsible for adjusting processes according to customer requirements and documentation for Audi A4 and Audi Q3 projects, and was promoted to deputy head of the department.
- Served as head of the change management department, overseeing Project Coordinator responsibilities for Audi Q3 (new generation AU326) and Skoda Octavia projects.
- Successfully implemented projects from kick-off, coordinating with stakeholders including clients, developers, logistics, procurement, and project management departments.
- Calculated change costs and communicated with sales departments to assess and implement changes in production.
- Utilized Scrum and Kanban methods, and launched Lean management in production.

Leadership Experience:
- Completed SPE School Leadership Effectiveness and Team Management Skills courses, applying team development methodologies (Forming, Storming, Norming, and Performing) in practice.
- Served as Deputy Production Director, participating in optimization processes.
- Led the Labor Protection Department and Ecology, passing external audits from TUV (ISO 14001, ISO 45001, and Fire Safety) and developing teams and methods for tracking deadlines.

Skills:
- Project coordination and management
- Team management and development
- Process adjustment and optimization
- Stakeholder communication and collaboration
- Scrum and Kanban methods
- Lean management
- Leadership effectiveness
- English language proficiency (Zoom, Teams, Outlook)

Career Ambition:
Aiming to leverage extensive experience in project coordination to transition into the IT field, seeking exciting projects and opportunities for growth and skill improvement."
328,"Project Manager
NGO Experience: 4 years

Summary:
Results-driven project manager with 1.5 years of experience in managing charity projects, team leadership, and stakeholder engagement. Proven track record of driving social impact through successful project execution.

Key Achievements:
- Launched a social project in response to COVID-19, managing a team of up to 8 people
- Successfully involved 10,000 volunteers, providing emotional support to 3,000 beneficiaries
- Implemented a CRM system using Airtable, enhancing project efficiency
- Established a call-center department from scratch
- Organized over 25 online events with 4,000+ registrations
- Created a comprehensive project wiki for team documentation

Skills:
- Account management
- High empathy
- Team building
- Effective communication with diverse stakeholders
- Project planning and execution
- Team management
- Project documentation

Professional Experience:
Project Manager, NGO (4 years)
- Managed teams of up to 8 people
- Developed and executed project plans
- Collaborated with stakeholders
- Maintained project documentation

Note: Available for onboarding and committed to bridging gaps in IT project management knowledge to ensure seamless adaptation."
329,"Diana
Junior Project Manager

Summary:
Results-driven Junior Project Manager with experience in international project management, team leadership, and stakeholder engagement. Proven track record of establishing partnerships, managing international exchanges, and developing educational projects.

Experience:
Junior Project Manager, AIESEC Kyiv, Ukraine
- Established 25+ international partnerships across Portugal, Greece, Turkey, Romania, and India
- Successfully managed 100+ international volunteering and professional exchanges
- Achieved 87% team retention rate since April 1st
- Developed and implemented processes and funnels from scratch
- Received National Excellence Award for the largest number of exchanges since the outbreak of war

Key Responsibilities:
- Managed 2 international internship products: Global Talent and Global Teacher
- Created product development plans and strategized growth
- Identified customer needs, provided analysis reports, and reported product malfunctions
- Fostered long-lasting international partnerships across Europe, Southern Asia, and North Africa
- Led team management, dynamics, and brainstorming sessions, and created working tools
- Assisted Ukrainian people abroad in finding employment through internships

Sales Development Representative, AIESEC (Oct 2020 - Feb 2022)
- Established new partnerships with stakeholders through proactive outreach and relationship-building
- Developed trustful long-term relationships with stakeholders, addressing concerns and resolving conflicts
- Matched prospective candidates with stakeholder profiles
- Managed project logistics, including exchange participant onboarding and offboarding
- Utilized CRM system to update customer information, track communication, and manage relationships

Skills:
- Project management tools: Jira, Notion, Miro, Trello, Google Sheets
- Team management and leadership
- Stakeholder engagement and partnership development
- International project management
- Educational project development
- CRM system management

Education and Career Goals:
Passionate about working in product and educational project management, seeking an entry-level position in Project/Product management to share knowledge and develop skills further. Not interested in Customer Support positions."
330,"Hillel IT School
Project Management
February 2023 - April 2023

Siemens Healthineers LLC
Product Manager
December 2021 - January 2023
- B2B Sales Support: negotiations, product features presentation for customers
- Sales strategy development and execution
- Market intelligence and competitive analysis
- Information preparation about new line-up and comparison with previous models
- MRI and Nuclear Medicine systems configuration according to customer needs

InMed Ukraine LLC
Head of Service Department
May 2020 - October 2021
- Operation in service department: contracts, negotiations with foreign equipment suppliers and contractors
- Installation, service, relocation project management for medical equipment (Toshiba, Canon: MRI, CT, angiography, X-ray)
- Service department development: financial strategy, service and spare parts pricing, documentation
- Spare parts purchasing, registration, and warehouse control

Labvita LLC
Head of Service Department
December 2019 - March 2020
- Installation, maintenance, and repair management of laboratory equipment (blood and urine analyzers)
- Service department team development: hiring, mentorship, training

Radiomed LLC
Head of Service Department
April 2017 - November 2019
- Service department operation
- Project management: building preparation, medical equipment installation (MRI, X-ray), service
- Bitrix24 CRM system operation: project management, spare parts sales management

Nuclear Medicine Center of Kyiv City Clinical Oncology Center
Engineer-Radiologist
March 2011 - March 2017
- Exploitation of medical cyclotron, PET/CT scanners, radiation monitoring system, compressed gas equipment
- Planning of maintenance and repair schedules

Training and Certifications:
- Canon MRI Fundamentals Magnets Overview
- Sysmex UF-5000 Technical Training
- GE Healthcare Certificate of Achievement PETtrace Application Training"
331,"Andrii
Content Manager Team Leader

Summary:
Results-driven Content Manager Team Leader with over 7 years of experience in ecommerce project management, currently working with Nexteum company, a supplier to one of the largest web stores in Northern America.

Professional Experience:
Content Manager Team Leader, Nexteum company
- Plan, prioritize, coordinate, and control workflows for the content management team
- Solve critical issues and take responsibility for team performance
- Research and analyze product data to identify and fix issues, update information, and improve product structure according to business needs
- Collaborate with the team to process data for over 1000 brands, developing and implementing convenient structures to drive sales growth

Education and Training:
- Recently completed a course in Project Management, aiming to become a professional Project Manager

Career Goals:
Seeking interesting projects to expand expertise, gain experience, and improve skills as a specialist, with a focus on continuing to develop English language proficiency."
332,"Irina
Commercial Equipment Manager with 6 years of experience in FMCG
Contact Information not provided

Summary:
Results-driven and sociable professional with experience in managing commercial equipment, process optimization, and project management. Currently taking project management courses at PM Shcool school.

Experience:
Commercial Equipment Manager
- Managed a team of 12 people at different levels
- Organized, standardized, and controlled processes for accounting of commercial equipment
- Managed and maintained projects from initiation to testing and implementation
- Prepared technical specifications for developers and developed reports on team effectiveness

Achievements:
- Transferred department reporting from Excel to Qlik Sense platform, including description of requirements, testing, and user training
- Automated data exchange with distributors, achieving full synchronization of company system and business customers
- Implemented electronic document flow project using 1C/SAP in Russia and Ukraine, saving 35k USD per year
- Launched the first Telegram-bot for automatic QR code changes on equipment, enabling online system updates
- Improved team's SLA level from 85% to 100% through process optimization and transformation

Education:
Currently enrolled in project management courses at PM Shcool school

Personal Qualities:
Result-oriented, sociable, and eager to share management experience and gain new experience in the IT field. Seeking a company with minimal bureaucracy, competent management, and a friendly team."
333,"Marianna
Project Manager Candidate

Education:
Online Course in Project Management, SPALAH IT School

Language Skills:
English: Intermediate
Romanian: Fluent
Russian: Fluent
Ukrainian: Fluent

Summary:
Results-driven and detail-oriented professional with 7 years of experience at the Romanian Embassy in Ukraine, seeking a Project Manager position to utilize leadership skills and contribute to innovative projects.

Professional Experience:
Romanian Embassy in Ukraine
Translator and Assistant
- Translated documentation and interpretated during meetings
- Organized receptions, international meetings, and festivals for 10-500 attendees, ensuring protocol adherence and delivering successful events with final reports to Ukrainian media
- Coordinated charitable projects, drafting project documentation and ensuring timely execution
- Managed student exchange programs, tracking and coordinating students studying in Romania
- Coordinated the Ambassador's meeting schedule and agenda
- Collected and analyzed information to inform embassy decisions

Career Goals:
To leverage leadership potential, collaborate with a dynamic team, and engage in challenging projects that foster professional growth and development."
334,"Valeriia
Project Manager Career Path

Summary:
Results-driven professional with experience in sales department management, executive assistance, and project growth. Proven track record of achieving significant turnover increases and successfully managing teams.

Experience:
Sales Department Manager
- Created a sales department from scratch, resulting in a 4x increase in company turnover within 2 months
- Planned and executed various activities, managed risks, and resolved critical situations
- Developed a KPI system for the department and motivated team members to achieve productivity

Executive Assistant to CEO and Company Owners
- Coordinated activities, managed teams, and handled meetings
- Grew a new project, communicated with 3 stakeholders, delivered results, reported on problems, and hired personnel

Remote Sales Department Manager
- Built and managed a remote team of 12 people
- Created task instructions and supervised team members' work

Freelance Copywriter (IT Sector)
- Contributed to various IT projects over 6.5 years
- Utilized education background in Software Engineering to inform writing expertise

Education:
Software Engineer

Location:
Currently residing in Budapest, Hungary, seeking remote or on-site opportunities."
335,"**Summary:**
Results-driven Full-Stack Developer with experience in client-server application development, seeking a management role. Proven track record of delivering projects that protect the environment.

**Technical Background:**

* Full-Stack Web Developer
* Front-end Developer

**Experience:**

* **Development and Implementation Project** (June 2016 - January 2017)
	+ Developed a chemical gas analytical project to display emissions of harmful gases (NO2, NO, etc.)
	+ Designed and implemented a client-server application using Apache web server, PostgreSQL database, PHP >=7 for back-end, and JavaScript, CSS, HTML, and Webpack for front-end
	+ Utilized Leaflet library for displaying data on terrain
* **Client-Side Development and Support** (June 2018 - July 2019)
	+ Developed and supported the client-side of a client-server application using Leaflet, Vue, Vue-Bootstrap, and Element UI
	+ Implemented front-end logic and UI components for displaying and selecting captured images and overlaying vector layers

**Skills:**

* Client-server application development
* Leaflet library for geospatial data visualization
* Vue framework for front-end development
* Full-Stack web development (front-end and back-end)
* PostgreSQL database management
* PHP >=7 for back-end development
* JavaScript, CSS, HTML, and Webpack for front-end development

**Career Goals:**
Looking to grow towards a management role, with a focus on leading teams and developing new client-server solutions. Prefer an informal and friendly team atmosphere, with moderately stressful projects and opportunities for communication and collaboration."
336,"Communication Skills
-------------------

Highly skilled in communication with a strong ability to work with clients and teams.

Professional Experience
---------------------

Engagement Manager, Software Company
- Utilized Excel and client databases to manage sales and client relationships
- Gained experience in B2B and B2C sales across IT, tenants, and goods

Supply Manager
- Sold conference services, leveraging strong communication skills to close deals

Key Skills
----------

- Excel
- MS Word
- SQL (basic)
- English-Russian translation and interpretation
- Business correspondence translation
- Negotiation assistance
- SMM (created and updated company pages and information)

Achievements
------------

- Researched and updated materials for the firm and partners
- Successfully translated business correspondence and assisted in negotiations as an interpreter and translator
- Utilized SMM skills to create and manage company pages and updates

Personal Qualities
-----------------

- Strong organizational skills with a focus on event and party planning
- Sociable and enjoy working in a team environment, with a preference for friendly teams and interesting projects."
337,"Besides having experience in team-level operational management, I have majorly contributed to defining overall company strategy, and efficient collaboration between departments to ensure business objectives are met.

Key accomplishments include:
- Developing business processes and reporting templates to automate team work, resulting in a 20% reduction in wasted time and increased throughput
- Introducing risk management concepts and guidelines for complex integration projects
- Successfully leading approximately 100 projects ranging from $50,000 to $500,000

With 4 years of experience in IT integration, I have become a specialist in my team. My experience includes working on projects for world-famous companies, managing teams of 5-9 people, and serving as a mentor and project manager.

I excel at finding solutions in complex environments and driving new initiatives. I rapidly acquire new skills and continuously seek ways to improve processes and support my team's performance.

As a project manager, I believe in being a leader, facilitator, coach, and team member simultaneously, as the success of any project relies on its team. I prioritize bringing together the right people and managing them effectively. I also strive to be a reliable partner to clients, aiming to drive their business prosperity through technology.

I value a culture of personality respect and cooperation. I am looking for a company that shares my vision and moves forward with inspiration and courage."
338,"Docent (PhD) 
Candidate in Technical Sciences

Achievements:
- Exclusive distributor status for 5 years with two companies from the USA
- Valuable experience in international collaboration

Experience:
- Teacher at a University
- Academic student's group curator
- Diploma project supervisor
- Internship in IT project management

Skills:
- People management
- Conflict resolution
- Project management (non-IT)

Note: I've restructured the text to better fit a conventional resume format, while ensuring all information is accurate and only based on the provided details."
339,"Project Management + Business Analysis Course Graduate with Honors

Objective: To leverage my analytic and communication skills, as well as my experience in customer support, to secure a role that utilizes my skills and knowledge.

Experience:

Hosting Customer Support Representative

* Provided technical support to global customers
* Assisted with product and service selection, installation, and configuration
* Worked with DNS systems, configurations, and email services
* Managed server operating systems, including CloudLinux and CentOS
* Troubleshooted issues related to MySQL and PHP configurations
* Collaborated with Content Management Systems, such as WordPress and Magento
* Supported and managed cPanel services

Customer Support Quality Assurance

* Assessed the quality of the Customer Support business unit
* Gathered and analyzed statistics, and delivered feedback based on the analysis
* Contributed to updating company procedures and workflow, and created new ones
* Utilized knowledge of system administration, WordPress, cPanel/WHM, and DNS systems to improve technical support delivery

Skills:

* Analytic and communication skills
* Basic knowledge of Project Management
* Experience with DNS systems, email services, and server operating systems
* Proficient in troubleshooting and resolving technical issues
* Familiarity with Content Management Systems, including WordPress and Magento
* Strong initiative and problem-solving skills"
340,"Highly skilled professional with excellent problem-solving, team development, communication, and decision-making skills, combined with high moral and ethical standards and management experience of technical teams.

Summary:
Results-driven manager with experience in project management, team leadership, and technical expertise in backbone networks, video surveillance, automatic fare collection systems, and communication networks. Proven track record of successful project delivery and team management.

Technical Experience:
- Significant experience with backbone networks utilizing physical circuits and fibre-optic communication lines
- Extensive practice with Cisco, HP, Moxa, Olencom, and IBM equipment

Project Experience:
- Participated in the Kyivstar swap project (2016-2017), delivering 6000 swap and new sites
- Contributed to the implementation of video surveillance, automatic fare collection systems, travel radio communication systems, and tunnel communication networks at Kyiv and Moscow metro stations

Work Experience:
Huawei Ukraine LLC (06.2016 – 09.2018)
- Regional Project Manager (12.2016 – 09.2018)
- Regional Project Manager Assistant (09.2016 – 12.2016)
- Acceptance Manager (06.2016 – 09.2016)
  Responsibilities:
  - Project planning and rollout execution monitoring
  - Project progress analysis and delivery optimization
  - Project documentation
  - Subcontractors supervision and efficiency control
  - Project resource and workflow management
  - Performance reporting on a regular basis
  - Task planning and distribution to contractors

Kyivmetroproject LLC (03.2011 – 06.2016)
- Chief Specialist (Deputy Chief of the Department) (08.2014 – 06.2016)
- Group Lead (Deputy Chief of the Department) (06.2013 – 08.2014)
- I Category Engineer (03.2011 – 06.2013)
  Responsibilities:
  - Designing low-voltage systems at underground stations and control points
  - Conducting negotiations with customers and contractors
  - Agreeing projects with related departments, communication service, and management of the underground
  - Preparation of technical specifications
  - Issuing tasks to related departments
  - Choosing engineering solutions for new projects, selecting equipment, developing schemes, creating structured cabling systems, and preparing specifications and cost estimates
  - Executing design documentation of all stages
  - Comprehensive building of network infrastructure
  - Knowledge of field-specific regulatory documents on design
  - Experience with designer’s supervision over developed design solutions
  - Knowledge of design structure and principles
  - Cost estimating for design works
  - Management of designed projects"
341,"Project Manager
Project: ""Do it yourself \ Make yourself""

Summary:
Results-driven Project Manager with 4 years of experience in the fintech field, equally divided between B2C and B2B segments. Proven track record of successfully leading projects and collaborating with top partners.

Key Responsibilities and Achievements:
- Led the formation of the project road map, organizational structure, and budgeting
- Created project backlog, Mind Map, and customer journey maps
- Developed the Statement of Work (SOW) and analyzed the value proposition
- Managed project tasks, including creation of checklists, stakeholder registers, risk assessments, and RACI matrices
- Implemented team schedule management plans, schedule tracking tools, and reporting management plans
- Utilized the Critical Path Method and Earned Value Management (EVM) for project optimization

Project Overview:
- Managed the development of a mobile application featuring a B2B marketplace platform for service and product providers, and a B2C segment for customer personal accounts, tariff management, and purchases

Career Goals:
Seeking opportunities to create innovative projects, collaborate with dynamic teams, and contribute to the growth and development of Ukraine's IT sector."
342,"Project Manager
Education:
Choice31 Online University, Graduated June 2023
- Completed courses in Project Management, acquiring basic skills for the profession
- Gained knowledge in: Jira, Trello, Google Docs/Tables, Risk Management, Agile Scrum/Kanban, SDLC, Reporting, Budget Management

Work Experience:
Project Manager, ""Marketplace"" Pet Project (Ongoing)
- Manage a team of 9 people, applying practical skills from Choice31 courses
- Key Responsibilities:
  - Participate in and facilitate meetings, maintaining meeting protocols
  - Manage project documentation
  - Utilize tools such as Jira, Discord, Notion, Figma, Google Tables
  - Foster effective communication among team members and stakeholders
  - Monitor task performance and team communication
  - Plan and organize meetings
  - Gather information from team members and stakeholders to inform project decisions

Professional Development:
- Currently taking Atlassian courses to enhance Jira skills
- Engaged in improving English language proficiency
- Regularly attend courses and lectures on Coursera, DOU, IAMPM for continuous professional growth

Career Objectives:
- Prioritize effective communication and teamwork
- Focus on personal and team development
- Emphasize results-driven work approach"
343,"2023
Project Manager Course, GoIt
Personal Projects: ""LoveTravel"", ""EcoHabitat""

2021
HTML and CSS, Professional Website Layout, htmlacademy
Personal Project: ""Sedona""

2018 – 2019
Poligrafika | Sales Manager
- Trained and prepared two new employees
- Managed client relationships from meeting to closing deals
- Consulted and processed incoming leads via mail, messenger, and telephone
- Calculated order costs, supported orders, and clients after agreement
- Utilized programs: Photoshop, Adobe Illustrator, CorelDraw
- Maintained daily reports and worked in CRM
- Resolved logistical issues with order delivery

2017 – 2018
Poligrafika | Sales Manager
- Increased monthly income by 20% in a year
- Found new manufacturers and clients

Certified IT Project Manager
- Knowledge of software development and design
- Proficient in management methodologies: Agile, Kanban, Scrum
- Experienced with platforms: Jira, Confluence
- Skilled in strategic planning, resource management, and risk assessment

Project Experience
""LoveTravel""
- Created SOW, roadmap, organizational structure, mind map, and project budget
- Managed project backlog, risk planning, and test planning

Career Expectations
- Seeking career and professional growth
- Comfortable working conditions
- Goal-oriented team
- Willing to work responsibly and achieve set goals, adapting to dynamic changes"
344,"Certified Project Manager of International Project Management Association C.01.00677
Diploma of Computer Academy ""STEP"" on the completion of the courses ""Photoshop and Illustrator""
English language course completion certificate (Level B1)

Results-driven Project Manager with 8 years of experience in thermal power engineering and radiation technologies, possessing a strong background in project management. Proven skills in:
- Project workflow management
- Development of project implementation schedules
- Creation of organizational documents
- Project presentation development
- Meeting organization
- Document flow management
- Stakeholder communication
- Timesheet reporting
- Monitoring of work implementation
- Monthly technical and financial reporting

Additionally, 4 years of experience as a Lead Marketing Specialist, with expertise in:
- Market research
- Workshop organization and implementation
- Tender Proposal preparation
- Exhibition participation
- Branded product production organization
- Design development of marketing materials, including banners, flyers, postcards, and calendars

Eager to expand professional qualifications and explore new fields, committed to continuous learning and skill improvement."
345,"Project Manager Intern
Choice 31, September 2022 - December 2022

Results-driven and communicative professional with experience in managing projects and building strong relationships with clients and team members. Proven ability to work effectively in multitasking conditions.

Key Achievements:
• Facilitated and coordinated the project of creating an online store as an intern
• Wrote user stories
• Created a roadmap and backlog for the project based on business goals and requirements in the Jira issue tracker
• Created a project risk map while interacting with the team
• Calculated the budget for sprints and generated reports
• Initiated and established effective and open communication between the various stakeholders of the project

Previous Experience:
• Planned and prioritized tasks and projects from scratch, including presentation, planning, budget, job descriptions, launch, testing, and adjustment
• Prepared technical tasks and managed business processes, including reports, daily meetings, internal and external correspondence
• Conducted negotiations and communications with customers, clients, management, department teams, and internal services"
346,"Doctor Psychologist and Psychotherapist
Project Manager in the Medical Field

Results-driven project manager with experience in developing and implementing projects in the medical field, achieving set goals and receiving European recognition. Proven ability to build relationships and collaborate between departments for productive work.

Current Experience:
- Developed and implemented projects from scratch, achieving set goals for treating patients
- Built relationships and collaborated between hospital departments for efficient work

Education and Training:
- Currently completing PM courses in the IT field to enhance technical understanding

Project Experience:
- IT Project Manager (course project)
  - Created a website for finding a psychotherapist, applying project management methodologies and the critical path for task management
  - Key stages included:
    - Analysis and requirement gathering
    - Designing information architecture and user interface prototype
    - Design and graphics development
    - Development of functionality, including psychotherapist search and user registration system
    - Database development and search algorithm implementation
    - Rating and review system implementation
    - Testing, validation, and optimization
    - Documentation preparation and security implementation
    - Project handover and closure

Skills Demonstrated:
- Project management
- Teamwork
- Analytical and technical abilities
- Problem-solving and risk management

Career Aspirations:
Looking to gain experience in the IT field, leveraging current skills and knowledge to contribute to future projects."
