,"Modified_gpt-4o_of_Experience:

2013-2019 - Entrepreneur, Sales of Medical Equipment and Related Goods (ФОП Петрова С.С /МЕДТЕХНІКА)
- Managed and supported daily retail operations.
- Responsible for employee selection.
- Negotiated and concluded contracts with suppliers.
- Addressed transport and logistics issues including receipt, relocation, revaluation, and returns.
- Managed accounting for payments to suppliers, contractors, buyers, and customers.

2019-2021 - COO, Artichoke Art & Fashion School
- Led sales of short-term educational courses in art direction.
- Selected and managed a team of employees.
- Organized teamwork for a team of six members.
- Developed and distributed tasks within the team.
- Managed projects including the creation of monthly work plans across various disciplines, from course programs to marketing activities and enrollment statistics.
- Directed 'weekend' projects such as master classes and public talks.
- Maintained student accounting and database records.

Summary of Achievements:
- Planned, directed, and managed projects to meet objectives.
- Coordinated the successful simultaneous development of multiple projects.
- Delegated responsibilities and developed time schedules.
- Negotiated contracts ensuring quality standards were met._Modelgpt-4o"
123,"**[Your Name]**  
[Your Address]  
[City, State, ZIP]  
[Phone Number]  
[Email Address]  
[LinkedIn Profile URL]

---

**Objective**  
Dedicated multilingual professional with expertise in computer science and international economics, aiming to leverage IT knowledge and management experience in a project management role within the IT industry. Passionate about dynamic environments and collaboration to achieve collective success.

---

**Education**  

**Master of Science in Computer Science**  
Harbin Institute of Technology

**Bachelor of Science in Computer Science**  
Kyiv Polytechnic Institute

**Bachelor of Science in Economics of Enterprise**  
International University of Finance

**Certifications**  
- Project Management Course, GoIT  
- HSK 5 Certificate (Mandarin Proficiency)

---

**Professional Experience**  

**Departmental Administrator**  
[Company Name], [Location]  
[Month, Year] - Present  
- Managed office operations, including scheduling and document handling.  
- Processed customer requests and maintained office supplies.  
- Provided interpretation and translation services in Chinese.

**Foreign Trade Manager**  
[Company Name], [Location]  
[Month, Year] - [Month, Year]  
- Translated technical and legal documentation.  
- Facilitated business trips to China and hosted partner visits in Ukraine.  
- Negotiated with suppliers and managed procurement and logistics.

**Research Assistant**  
[Institution Name], [Location]  
[Month, Year] - [Month, Year]  
- Conducted AI research, focusing on “Depth Map Super-Resolution using CNN” with Caffe and Matlab.  

---

**Skills**  
- Multilingual: Fluent in English, Mandarin, and [Your Other Languages]  
- Strong understanding of AI frameworks and project management principles  
- Proficient in cross-cultural communication and business negotiations

---

**Professional Attributes**  
Enthusiastic about diverse work environments and challenging tasks. Committed to continuous improvement and teamwork for achieving results and overcoming challenges.  

---

**References**  
Available upon request."
124,"[Your Full Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Accomplished professional with expertise in people management, sales optimization, and process improvement. Demonstrated success in enhancing customer satisfaction and expanding customer bases. Seeking a junior Project Manager position to leverage expertise in a collaborative, growth-driven environment.

---

**Work Experience**

**Senior Cashier**  
Новая Почта  
March 2013 - June 2019  

- Led a team of 12 through strategic hiring, training, mentoring, and motivation.
- Analyzed sales plans to achieve 100% KPI targets and successful audits.
- Developed strategies to grow the customer base and successfully reduced customer complaints.
- Improved internal departmental processes, boosting productivity and efficiency.
- Prepared production plans and generated comprehensive reports.

**Ticket Teller**  
Отделённое подразделение «Вокзал Харьков – пассажирский»  
State Enterprise ""Yuzhnaya Railway""  
June 2010 - August 2012  

- Established a commercial point for railway ticket sales from inception.
- Increased personal sales performance by 18% to 32% monthly.
- Expanded the customer base by 26% and trained new ticket tellers.
- Advanced from second-category to first-category ticket teller.

**Regional Manager**  
ООО «Новое время»  
June 2009 - June 2010  

- Managed regional dealers, including document management and training facilitation.
- Prepared ten-day and monthly reports for performance tracking.
- Conducted business seminars to enhance dealer capabilities.
- Addressed administrative and business issues related to informational and advertising products, supporting brand enhancement.

---

**Education**

Project Manager Extended Course  
A-Level School  

---

**Skills**

- People Management
- Sales Optimization
- Customer Relationship Management
- Internal Process Improvement
- Effective Negotiation
- Strong Communication
- Leadership and Team Development

---

**Objective**

Seeking a Project Management role within a dynamic company, committed to utilizing experience and skills in a team-oriented environment to achieve corporate objectives and foster professional growth."
125,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Email Address]  
[Phone Number]  

---

**Objective**  
Experienced Quality Control Laboratory Head with a strong background in quality control procedures and laboratory operations, seeking to expand expertise in project management within the IT industry.

---

**Professional Experience**  

**Head of Quality Control Laboratory**  
[Company Name], [Location]  
[Month, Year] – Present  

- Developed the Laboratory’s Quality Assurance Manual by analyzing national standards and extracting effective research procedures.
- Created Excel spreadsheets for managing testing result flow.
- Designed the laboratory layout to optimize workspace and equipment placements.
- Managed laboratory equipment processes, including analysis, procurement, and installation oversight.
- Developed and secured approval for quality control documents.

**Experience in the Building Industry**  
- Managed a technical team and created workflow instructions.

---

**Junior Project Manager - IT Industry**  

- **IT Project Management Methodologies**: Familiar with Agile, Scrum, Waterfall, and Hybrid, utilizing tools like JIRA, Trello, and Asana.
  
- **Technical Skills**: Learning programming languages, databases, networks, and cybersecurity for improved technical team collaboration.

- **Communication Skills**: Engaging with stakeholders, technical teams, business leaders, and clients.

- **Leadership Skills**: Motivating teams to achieve project objectives.

- **Adaptability**: Adapting to IT industry changes and new technologies.

---

**Education**  
[Your Degree] in [Your Field]  
[Your University], [Location]  
[Year of Graduation]  

---

**Skills**  
- Quality Assurance and Control  
- Laboratory Operations Optimization  
- IT Project Management (Agile, Scrum, Waterfall, Hybrid)  
- Project Management Tools (JIRA, Trello, Asana)  
- Technical Concepts (Programming, Databases, Networks, Cybersecurity)  
- Stakeholder Communication  
- Leadership and Team Motivation  
- Adaptability to New Technologies  

---

**References**  
Available upon request."
126,"[Your Name]  
[Your Address]  
[City, State, ZIP]  
[Email Address]  
[Phone Number]

**Objective**  
Dynamic and detail-oriented project manager with a solid background in the education sector. Eager to leverage communication, planning, and problem-solving skills in the Tech industry as a Project Coordinator or Junior Project Manager.

**Professional Experience**

**Project Manager - Education Industry**  
- Spearheaded the development and implementation of educational programs for legal professionals.
- Led the organization and management of various events to bolster educational efforts.

**Sales Manager**  
- Directed B2C sales initiatives, including strategic cold calling.
- Successfully negotiated contracts and secured partnerships with leading legal firms and prominent lawyers in Ukraine.

**Entrepreneur - Online Retail**  
- Established and managed two thriving online stores.
- Executed marketing strategies and maintained supplier relations.
- Cultivated robust client relationships through excellent communication and service.

**Education and Professional Development**  
- Completed advanced project management courses, enhancing technical and theoretical knowledge in IT.
- Gained comprehensive insight into project documentation and the Software Development Life Cycle (SDLC).
- Achieved advanced proficiency in business English for effective interactions in international settings.

**Skills**  
- Exceptional Stakeholder Communication  
- Strategic Project Planning and Tracking  
- Strong Problem-Solving Abilities  
- Proficient Documentation Processing  
- Expertise in B2C Sales and Negotiation  
- Entrepreneurial Leadership  
- Adaptability and Open-mindedness

**Career Goals**  
- Set to drive growth and innovation within a Tech company through engagement with cutting-edge projects and contemporary methodologies.
- Long-term vision to lead a consulting firm or attain a CEO position, utilizing extensive project management expertise.

**Location Preference**  
- Seeking a role based in Lviv with openness to remote opportunities."
127,"[Your Name]  
[Your Address]  
Kyiv, Ukraine  
[Your Email]  
[Your Phone Number]  

**Professional Summary**  
Dynamic executive with a proven track record in leadership roles, progressing from manager to department head to executive director. Currently serving as a general manager in the sugar industry in Ukraine. Seeking a project management position in the IT sector to apply skills in leadership, process optimization, and client management for sustainable and profitable collaborations.

**Professional Experience**  

**General Manager**  
[Company Name], Kyiv, Ukraine  
[Month, Year] – Present  
- Lead operations for sugar-related services, driving process optimization for cost-effective profitability.  
- Direct client relationship management, collaborating with major clients for seamless service delivery.  
- Conduct internal reporting and data analysis to inform strategic business decisions.  
- Oversee team management and development, fostering collaboration to meet business objectives.  
- Implement a non-conflict, empathetic approach to enhance team cohesion and client satisfaction.  

**Team Manager**  
[Company Name], [Location]  
[Month, Year] – [Month, Year]  
- Enhanced business equity through strategic management and process improvement.  
- Modified procedures and engaged with team members to improve customer relationships and outcomes.  

**Skills**  
- Leadership and Team Development  
- Client Relationship Management  
- Process Optimization and Risk Management  
- Data Analysis and Reporting  
- Agile Methodologies: Basic theoretical understanding of Scrum, Kanban  

**Education and Training**  
- Self-study on PMBok 6, SRS, AWS, SDLC  

**Location Preferences**  
- Kyiv: Office/Remote/Hybrid  
- Other Cities: Remote  
- Open to relocation post-war  

**Objective**  
Eager to join an IT company as a Project Manager, bringing extensive managerial experience and a history of optimizing processes and enhancing client relationships within a dynamic and stable team environment."
128,"Fleet Manager  
Hamacoloyd Logistics  

- Boosted driver productivity by 30% in Q1 2022.  
- Enhanced customer satisfaction by 10% in Q1 2022.  
- Oversaw driver scheduling, team development, and motivation.  
- Ensured timely and precise deliveries.  
- Streamlined customer complaint processes through automation.  

Store Manager  
Engineering Company  

- Enhanced data documentation efficiency by 25%.  
- Increased material utilization efficiency by 30%.  
- Lowered production costs by 5%.  
- Managed resource documentation and utilization.  
- Developed budgets for multiple projects.  

Committed to fostering a collaborative work environment that supports growth and success."
129,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Dedicated and proactive professional with a passion for improving processes and enhancing team competence. Experienced in administrative roles and project management with a focus on effective communication and problem-solving. Aiming to leverage skills in a dynamic role that involves project management and coordination.

---

**Experience**  

**Administrator & Manager (Beauty Salon)**  
- Managed customer relationships and improved service delivery using Salesforce CRM.  
- Enhanced staff skills and performance by identifying and recommending refresher courses.  
- Proposed innovative ideas for internet-based company promotion.  

**Volunteer Organizer (Kharkiv Pandemic Response)**  
- Coordinated volunteer events to uphold sanitary standards during the pandemic.  
- Ensured compliance with health guidelines and safety measures through team collaboration.  

**Academic Coordinator (KHNURE)**  
- Oversaw paperwork for group and faculty events, ensuring accuracy and timely completion.  
- Resolved critical issues involving lost documents through negotiation and resource reallocation.  

**Project**

**Ukrainian Law Offices Landing Site**  
- Developing a landing site for law offices, with a focus on user experience and project workflow.  

---

**Education**  

**QA Automation Tester Learning Program**  
- Acquired hands-on experience using Pycharm, Pytest, and Selenium.

---

**Skills**  
- Proficient in Salesforce CRM  
- Strong problem-solving and negotiation skills  
- Project management and coordination  
- Experience with Pycharm, Pytest, and Selenium  

---

**Objective**  
Eager to pursue a career in project management where I can leverage my love for processes and people to drive successful outcomes.

---

**References**  
Available upon request."
130,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

**Objective**  
Aspiring to secure a dynamic role in project management and staff development, leveraging skills in coordination, communication, and organizational growth.  

**Experience**

**Assistant Project Manager**  
- Orchestrated project activities for seamless execution.  
- Facilitated communication among internal teams and external experts to enhance collaboration.  
- Compiled comprehensive reports and managed analytical materials with precision.  
- Oversaw the organization of both online and offline events, including moderation tasks.  
- Engaged in training and facilitation sessions, contributing to their success.

**Key Achievements**  
- Developed a specialized training methodology for outsourcing staff, boosting skills and productivity.  
- Enhanced remote communication with retail staff, effectively resolving administrative challenges.  
- Established systems for tracking working hours and salary calculation for IT school teachers.  
- Conducted interviews and communicated with international experts, supporting analytical report completion.  
- Devised a project management and fundraising training methodology for youth and student organizations.

**Skills**  
- Project Coordination  
- Effective Communication  
- Analytical Thinking  
- Event Organization and Moderation  
- Training and Facilitation  
- Administrative System Development  

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

**References**  
Available upon request."
131,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Dynamic and results-oriented management professional with 11 years of experience as a Store Manager. Renowned for building and leading high-performing teams, achieving exceptionally low staff turnover rates, and consistently meeting operational excellence standards. Recently trained in project management, focusing on the software development lifecycle and methodologies. Eager to transition into a Project Manager role to apply leadership skills and project management training.

---

**Professional Experience**  

**Store Manager**  
[Company Name], [Location]  
[Month, Year] - Present  

- Built a results-oriented team, developing a personnel reserve of 2 administrators and 1 manager.
- Maintained one of the lowest staff turnover rates in the network.
- Achieved ""Expert"" status as a store manager.
- Reduced store net shortage and excelled in conducting inventory operations.
- Managed store organization and daily sales analysis using Oracle BI, evaluating KPI indicators.
- Directed personnel management, including recruitment, training, competency control, and motivation.
- Ensured product accounting and adherence to company standards.
- Managed cash discipline, interacting with regulatory authorities and local administration.

---

**Education and Certifications**  

**Project Manager Course**  
GoIT, October - November 2022  

- Learned about software development life cycles, methodologies, agreement types, project management tools, and metrics.
- Developed project management skills using Jira and Confluence.
- Completed project components: SOW, communication and stakeholder management, team and HR management, scope management with WBS, budget planning, schedule management including critical path calculations, risk management, and quality management planning.

---

**Objective**  
Aim to advance in management, focusing on developing a Project Manager career by leveraging extensive management experience and specific training in project management to deliver successful project outcomes.

---

**Skills**  

- Personnel management and team leadership
- Sales analysis and reporting
- Product and inventory management
- Compliance and standards implementation
- Cash discipline and financial oversight
- Project management tools: Jira, Confluence
- Budget and schedule management
- Risk and quality management

---

**References Available Upon Request**"
132,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Phone Number]  
[Email Address]  

---

**Objective**  
Ambitious and highly motivated professional with experience in procurement and project management. Seeking a dynamic role that leverages my skills in procurement, engineering, and project management, while providing opportunities for continued development and growth.

---

**Professional Experience**

**Team Leader, International Procurement Department**  
[Engineering Company Name], [Location] — [Year] to Present  
- Led import operations from supplier search and negotiation to contract signing and management of customs clearance.
- Managed export processes to ensure compliant and efficient delivery of finished products.
- Optimized operations using 1C, Microsoft Office, AutoCAD, and custom project management software.

**Mechanical Engineer**  
[Engineering Company Name], [Location] — [Year] to [Year]  
- Executed design and engineering tasks and developed project operational documentation.
- Conducted author supervision and ensured quality control of parts manufacturing.

---

**Education**

**Master of Architecture**  
[University Name], [Location]

**Bachelor's Degree in Compressors, Pneumatic Units, and Vacuum Technologies**  
[University Name], [Location]

---

**Certifications and Professional Development**  
- Front-end Development Workshop — SheCodes  
- Google Project Management: Professional Certificate — Coursera  
- Guided Project on Jira — Coursera Project Network  
- Excel Skills for Business (Specialization) — Macquarie University via Coursera  
- SAP Professional Fundamentals — Coursera  

---

**Skills**  
- Fluent in English; Conversational in French  
- Proficient in project management, procurement, and engineering documentation  
- Skilled in Microsoft Office, AutoCAD, and 1C  

---

**Personal Attributes**  
- Fast learner with a focus on self-development  
- Enthusiastic about new challenges and committed to delivering results  

---

**Career Goals**  
Eager to apply a diverse skill set in a role that offers variety and opportunities for professional growth in a dynamic environment."
133,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Email Address]  
[Your Phone Number]

---

**Objective**  
Dedicated professional with extensive experience in teaching, translation, account management, and technical support. Skilled in problem-solving and communication. Seeking to leverage expertise in a dynamic and challenging environment.

---

**Professional Experience**

**Technical Support Operator**  
- Maintained positive client interactions using strong communication skills.  
- Led team meetings to establish objectives and optimize operations.  
- Mastered team tools to boost productivity.  
- Monitored development speed for adherence to project timelines.  
- Liaised with clients to understand needs and provide developer solutions.

**Manager-Translator, Solar Power Station Construction**  
- Sourced and contacted construction suppliers.  
- Translated documents from Ukrainian to Chinese.  
- Managed subcontractor communications post-contract, addressing issues like delivery delays.

**Account Manager, iPhone Accessories Startup**  
- Established relationships with Chinese manufacturers.  
- Facilitated communication between the company and manufacturers for product and manufacturing alignment.

**Interpreter, Metallurgical Factory and Mining Sites**  
- Provided language support in industrial environments to ensure smooth operations.

**English Teacher (Part-time)**  
- Developed skills in simplifying complex concepts, benefiting various professional roles.

---

**Skills**  
- Bilingual in Ukrainian and Chinese  
- Strong interpersonal and communication skills  
- Adaptable and quick to learn new industries and environments  
- Analytical thinking and problem-solving  
- Proficient in [relevant software/tools]

---

**Education**  
[Degree]  
[Major]  
[University, Location]  

---

**Certifications**  
[List any relevant certifications]  

---

**References**  
Available upon request."
134,"[Your Name]  
[Your Address]  
[City, State ZIP Code]  
[Your Email Address]  
[Your Phone Number]  

---

**Objective**  
Dynamic Export Sales Manager committed to strengthening customer relationships and executing strategic sales initiatives. Eager to utilize communication and management expertise to drive company growth.

---

**Education**  
**Certificate in Project Management**  
Hillel IT School, 2021

---

**Professional Experience**  

**Export Sales Manager**  
[Current Company Name], [Location]  
[Date Started] - Present

- Foster effective communication with partners and the production team to enhance collaborative efforts.
- Build and sustain strong customer relationships by understanding and addressing their unique needs.
- Manage checkout processes using the 1C program ensuring order compliance and accuracy.
- Supervise order fulfillment, managing project-related tasks such as screen printing seamlessly.
- Evaluate and adjust design specifications as required.
- Conduct in-depth market and sales analysis within Ukraine to guide strategic decision-making.
- Formulate and implement sales strategies to meet growth objectives and sales targets.

---

**Previous Experience**  

**E-commerce Department Associate**  
[Previous Company Name], [Location]  
[Start Date] - [End Date]

- Initiated successful collaborations on Instagram, doubling the number of regular partners.
- Increased average order values through effective related and cross-sales strategies.
- Launched an online store platform, enhancing partner engagement via diverse communication channels, including face-to-face interactions and social media.

---

**Skills**  
- Excellent communication and management skills
- Proficient in market and sales analytics
- Skilled in strategic sales planning and execution
- Experienced in using 1C program for efficient order fulfillment

---

**Professional Development**  
- Actively improving communication and management skills through ongoing professional interactions and experiences.

---

**References**  
Available upon request."
135,"**[Your Name]**  
[Your Contact Information]  

**Objective**  
Dynamic and detail-oriented project manager with a proven record of setting up and managing a successful travel department. Seeking to contribute to a company that values innovation and creative collaboration, with aspirations to become an integral team member driving forward-thinking projects.

---

**Professional Experience**

**Project Manager**  
Ukraine International Media Culture (UIMC) | June 2017 - May 2019  
- Led the creation of the Tourism Department, including website development and content creation.
- Recruited and managed a team with an emphasis on goal setting, motivation, and supervision.
- Directed budget preparation and negotiation, alongside hiring and contracting of outsource companies.
- Managed service quality and objectives for outsourcing partnerships.
- Conducted negotiations and coordinated visits for diverse groups including film crews and tourists.
- Fostered tourism relationships with Chinese companies and individuals.

**Business Tourism Manager**  
New Standart (Business Tourism) | June 2016 - May 2017  

**VIP Customer Service Manager**  
Smart Line (Business Services) | September 2014 - June 2016  

---

**Skills**  
- Team Leadership & Staff Motivation  
- Strategic Negotiations & Partnership Management  
- Budget Preparation & Financial Oversight  
- Multicultural Team Dynamics  
- Website Development & Content Management  
- Innovative Problem Solving  

---

**Education**  
[Your Education Information, if applicable]

**Languages**  
[Your Language Skills, if applicable]

**Certifications**  
[Your Certifications, if applicable]

---

**Personal Qualities**  
Passionate about working in collaborative environments with creative and intelligent colleagues, driving both personal and team growth within an innovative setting. Looking to contribute to pioneering projects within a forward-thinking organization."
136,"[Your Name]  
[Your Address]  
[City, State, ZIP]  
[Email Address]  
[Phone Number]  

---

**Professional Summary**

Dynamic and accomplished professional with extensive experience in project management and legal compliance. Proven track record in advocacy, people management, and steering complex projects to successful completion. Known for exceptional analytical and communication skills.

---

**Education**

**English Prime**  
Advanced English Course Graduate  
Test Result: 98%  
2022 - March 2023

---

**Professional Certifications**

**Certificate of the Right to Engage in Advocacy**  
Kyiv City Qualification and Disciplinary Bar Commission under the Kyiv Bar Council  
May 2019 - February 2020; January 2023 - Present

---

**Work Experience**

**Sigma Ori**  
Project Manager  
March 2018 - Present  

- Spearhead comprehensive project development encompassing presentation, team creation, and planning.
- Facilitate execution stage through effective communication, team management, and tool optimization.
- Specialize in website development as the primary business activity.

---

**SKYBUDVECTOR, LLC**  
CEO  
August 2015 - February 2018  

- Directed all real estate transaction activities and ensured smooth maintenance of company operations.
- Orchestrated meetings and agreements efficiently.
- Managed company accounts and collaborated with employees on corporate matters.

---

**Zhytlo-Bud, LLC**  
Head of Legal Compliance  
August 2015 - February 2018  

- Provided comprehensive legal support for company operations, including court representation.
- Engaged with external organizations and institutions on behalf of the company.
- Ensured compliance in housing construction projects.

---

**Additional Credentials**

**IAMPM**  
Project Manager  
Honours Degree  
June 2022 - August 2022

---

**Skills**

- Project Management  
- Legal Advocacy  
- Team Leadership  
- Strategic Planning  
- People Management  
- Communication  

---

**Languages**

- English: Advanced (98%)  

---

**References**

Available upon request."
137,"**[Your Name]**  
[Your Address]  
[City, State, ZIP]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Proactive and diligent professional with expertise in project management and marketing, contributing to educational and ecological initiatives. Skilled at coordinating projects and managing resources within a startup environment, with a proven history of success in both competitive and academic settings.

---

**Education & Achievements**  
- **1st Place**: Competition of Business Plans of Entrepreneurial Activity, Higher Education Institutions, 2022  
- **2nd Place**: Scholarship Project in Ukraine on ""The System of Discounts, Promo Codes, Promotions as a Tool for Gaining Loyalty on the Internet,"" 2021  
- Participant in the Junior Club from Kharkiv IT Cluster, 2020  

---

**Professional Experience**

**Assistant to Alex Voloshyn, CEO & Co-Founder**  
_Postello.ai_  
January 2023 – Present  

**Intern**  
_Demium Ukraine_  
August – December 2022  
- Participated in the Demium Internship Program focusing on project management within a startup ecosystem
- Facilitated communication with entrepreneurs and partners of the Incubation Programme
- Prepared internal documents and presentations
- Moderated internal lectures and workshops
- Managed content on the company's Facebook Business Account

**Project Manager**  
_Educational Project with a Virtual Team, ""The Book""_  
September – December 2021  
- Drafted and supported the Project Charter
- Developed a comprehensive Resource Plan and Gantt chart
- Coordinated tasks using Jira and Confluence
- Maintained the Risk Register
- Designed application prototypes

**Marketing Specialist**  
_Boot Camp from Kharkiv IT Cluster, MVP: ""EcoSchool""_  
April – June 2021  
- Crafted content for the educational platform
- Wrote promotional articles
- Prepared and presented the project at the Boot Camp finale  

---

**Skills**  
- Project Management  
- Content Creation  
- Resource Planning  
- Risk Management  
- Marketing and Promotion  
- Proficient with Jira, Confluence  

---

**Languages**  
[List any languages you speak fluently]

**References**  
Available upon request."
138,"Managing Director / IT Project Management Professional

Professional Summary:
Dynamic and results-driven Managing Director with extensive experience in creating and optimizing business processes for online and retail stores in Moscow. Proven ability to form and lead a team of over 15 individuals while enhancing client relationship management and prioritizing customer satisfaction. Possess robust organizational skills, expertise in orchestrating company participation in professional exhibitions and events, and a strong foundation in IT project management. Committed to further developing skills in the IT sector to advance a successful career as an IT Project Manager.

Experience:

Managing Director
- Designed and refined business processes for online and retail stores, achieving significant milestones.
- Led and managed a high-performing team of 15+ members, fostering an environment of continuous improvement in client relationship management.
- Focused on enhancing customer satisfaction through strategic initiatives.

IT Startup Experience
- Embraced the challenges of IT startup environments, leading to a career focus on IT.
- Completed an IT Project Management course at Beetroot Academy.
- Committed to continuous professional development and advancing English proficiency.

Key Responsibilities and Achievements:
- Fostered effective communication with customers and stakeholders, managing their expectations proficiently.
- Identified, documented, and refined requirements to ensure alignment with project goals.
- Developed product backlog for online store websites, authored user stories, and effectively prioritized tasks.
- Planned projects with attention to timing and resources using tools such as Jira, Confluence, and Gantt Charts.
- Decomposed products into manageable components and allocated tasks to team members.
- Facilitated team collaboration, ensuring productive performance.
- Implemented Agile practices to improve workflow processes and team efficiency.
- Monitored team effectiveness and project execution with PM tools (Jira, Confluence, U-Track, Notion).
- Led the use of tracking systems like bpm-online (Terrasoft), Trello, and Planfix.
- Managed risks and resolved issues effectively, ensuring project success.
- Delivered high-quality customer service, boosting overall satisfaction.

Career Objective:
Seeking opportunities as a Junior Project Manager/Project Coordinator in a team that values shared success. Attracted to roles offering captivating challenges and opportunities for personal and professional growth. New projects and challenges stimulate my continual learning and horizon expansion."
139,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Phone Number]  
[Email Address]  

---

**Professional Summary**  
Dynamic and results-oriented professional with over 20 years of experience in people management, project budgeting, planning, and forecasting. Accomplished in launching startup projects and managing eCommerce operations. Demonstrated expertise in developing and executing effective marketing strategies. Multilingual with advanced proficiency in English and fluency in Ukrainian and Russian.

---

**Professional Experience**  

**Julian House**, UK  
*Hub Coordinator*  
May 2023 - Present  
- Facilitate sessions, programs, and events within Community Hubs to enhance communication and teamwork between clients and managers.
- Maintain extensive records of hub activities, attendance, and feedback for performance evaluation and strategic planning.

**Beauty Salon Skin Journey**, Singapore  
*Founder and Project Manager*  
September 2018 - September 2021  
- Established and operated the business from inception, managing all phases of development.
- Directed design and functionality enhancements for the company website in collaboration with external teams.
- Oversaw social media and digital marketing efforts alongside third-party vendors.
- Managed a team of six, fostering relationships with suppliers and distributors.
- Supervised retail operations and conducted financial analyses.

**eCommerce Business Topstop**, Ukraine - USA  
*Founder and Project Manager*  
November 2009 – July 2017  
- Defined and developed eCommerce website functionalities in collaboration with designers, developers, and testers.
- Led digital promotional efforts through strategic vendor partnerships.
- Coordinated a remote team of five to manage operations from purchases to client delivery.
- Performed comprehensive financial analysis and reporting.

**Zhitomirskie Lasoschi**, Kiev, Ukraine  
*Head of Marketing Department*  
June 2007 – July 2008  
- Orchestrated comprehensive marketing strategy planning and execution.
- Managed the marketing department's annual budget.
- Developed assortment policies and oversaw five divisions: Marketing, Advertisement and PR, Design, VIP-retail, and Technological Innovations.

**Various Companies**  
*Brand Manager*  
1999 - 2007

---

**Certifications and Education**  
- PRINCE2 Certification
- IT Project Management Course, Web Academy  
  - In-depth knowledge of IT project management tools and methodologies, including Waterfall, Agile, Scrum, and Kanban.
  - Experienced in risk management, quality assurance, and budget planning.
  - Proficient with tools like Jira, Traceability Matrix, Gantt Chart, WBS, Critical Path, ROAM, RACI.

---

**Languages**  
- Advanced English  
- Fluent Ukrainian and Russian"
140,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Email Address]  
[Phone Number]  

**Objective**  
Aiming for a Junior Project Manager or Project Coordinator role in the IT field to leverage extensive project management and organizational skills for successful project execution.

---

**Professional Experience**

**Manager**  
Service Company PP, Kyiv  
June 2018 - Present  
- Established the business from inception, achieving substantial organizational milestones.  
- Reduced staff turnover from 50% to 10% by implementing effective engagement strategies.  
- Negotiated with suppliers to reduce product costs, resulting in budget savings.  
- Achieved a 30% annual increase in sales.  
- Increased customer and guest confidence in the company by 20% annually.  
- Cultivated a positive team environment, reducing personnel turnover.  
- Optimized office expenses, contributing to budgetary savings.  
- Consistently surpassed monthly sales targets.  
- Initiated product assortment expansion, generating additional profit.  
- Maintained a conflict-free work environment through effective team management.  

**Director (promoted from Administrator)**  
Service Company PP, Kyiv  
October 2010 – May 2017  
- Oversaw and managed organizational processes.  
- Led recruitment efforts and supplier relations management.  
- Efficiently maintained documentation and records.  
- Conducted team training and organized corporate events.  

**Administrator**  
Law Company “Nobilex”, Ltd, Kyiv  
November 2009 - June 2010  
- Professionally welcomed and assisted guests.  
- Managed the procurement of necessary materials.  
- Coordinated meetings and managed documentation effectively.  

**Client Relations Manager**  
“Cosmo-Trade” Trading Company, Ltd, Kyiv  
December 2008 - October 2009  
- Successfully sold materials and equipment to beauty salons.  
- Developed and sustained relationships with regular clients.  
- Proactively sought and acquired new clients.  

**Shop Assistant**  
“Teez To Pleaze”, Mackinaw City, MI, USA  
June 2008 – August 2008  
- Participated in the ""Work and Travel"" program, gaining international experience.  

**Assistant-Interpreter**  
Event Company “Initia”, Kyiv  
May 2008  
- Provided support in organizing the EBRD summit at the October Palace in Kyiv.  

---

**Skills**  
- Strong recruitment and team management capabilities  
- Expertise in supplier negotiations and budget planning  
- Proficient in conflict resolution with staff and clients  
- Competent in developing and executing marketing strategies  
- Proven success in meeting and exceeding sales targets  

---

**Education**  
[Your Degree/Certification]  
[Your University/Institution]  
[Year of Graduation]  

---  

**Languages**  
- [Language 1]  
- [Language 2]  

---

**References**  
Available upon request."
