,Modified_meta-llama/llama-3.3-70b-instruct_of_Modified_meta-llama_llama-3.3-70b-instruct_of_CV_Modelmeta-llama_llama-3.3-70b-instruct_Modelmeta-llama/llama-3.3-70b-instruct
58,There is no text to work with. Please provide your resume.
59,"Technical Department Development
- Participated in expanding the Technical Department, including technician staff growth
- Implemented a new operational procedure for object startup, reducing time and staff requirements

Cloud System Integration
- Transferred essential databases to a cloud-based system
- Designed and created interactive tables for multiple users to track changes and prevent data loss

Security Company Experience
- Troubleshooted and repaired malfunctions in various security systems, including alarm, fire alarm and extinguishing, video surveillance, and access control systems
- Coordinated with clients and dispatched repair engineers to resolve issues efficiently

Junior Project Manager Aspirant
- Hold a technical education background
- Possess strong analytical skills
- Have experience in personnel management, client communication, problem-solving, and document management
- Seeking a Junior Project Manager position with opportunities for professional growth and development"
60,"Results-Driven Junior Project Manager

Highly motivated and professional team player with 5+ years of experience in commercial real estate, possessing strong management skills and ability to estimate tasks, terms, and resources necessary for their accomplishment. Proven track record of conducting several commercial real estate projects and developing a systematic approach to project management.

Key Skills:
- Project management
- Team management
- Negotiations
- Budgeting
- Emergency management
- English language proficiency

Career Summary:
Transitioning from a commercial real estate background, eager to apply skills and experience in the IT field, with a strong desire to create innovative products and be part of a team making a positive impact. Confident in ability to learn and adapt to new challenges, drawn to the IT market in Ukraine for personal and professional growth.

Junior Project Manager with a strong foundation in:
- Project planning and execution
- Team collaboration and leadership
- International partnership and communication
- Adaptability and continuous learning

Excited to join a team in the IT industry, contribute to innovative projects, and learn from experienced colleagues, with a passion for making a difference through technology."
61,"Valerii
Junior Project Manager

Contact Information:
Not Available

Objective:
To leverage my skills and experience as a project manager to deliver successful projects on time.

Summary:
Results-driven Junior Project Manager with experience in managing projects from initialization to closing, utilizing Agile methodologies, including Scrum and Kanban. Proven ability to work independently and collaboratively to solve problems.

Education:
Google Project Management Certificate Program

Experience:

Project Manager
- Utilized Agile methodologies, including Scrum and Kanban, to lead projects from initialization to closing, ensuring timely delivery
- Developed and implemented project documentation
- Successfully organized teams to achieve project goals

Manager of Distance Learning, Faculty of International Economic Relations
- Interacted with thousands of users of different roles in the Moodle system
- Ranked as a top 3 employee in the manager department
- Coached new employees to improve performance
- Achieved a 95% customer satisfaction rating from users surveyed
- Demonstrated ability to work independently and collaboratively to solve problems

Project Management Experience in University Projects
- Successfully delivered several projects as a project manager
- Supported projects to ensure timely completion
- Developed project documentation
- Implemented Agile methodology, including Scrum and Kanban

Technical Skills:
- Node.js
- MySQL
- MongoDB
- Next.js
- Mongoose
- Nest.js
- PostgreSQL
- Firebase
- GitHub"
62,"Project Manager
1.5 years of experience in project management, with a focus on team leadership and project success.

Summary:
Results-driven project manager with strong communication skills, proficient in managing teams and collaborating with developers, designers, and clients to deliver successful projects.

Technical Skills:
- Jira
- Asana
- Trello
- Slack
- Microsoft Teams

Experience:
Project Manager
- Managed teams to ensure project success
- Utilized Agile (Scrum) and Waterfall methodologies
- Worked with educational, government, and non-profit domains
- Demonstrated strong communication skills, resolving problems and maintaining team morale

Skills and Strengths:
- Strong communication skills
- Effective problem-solving
- Team leadership and collaboration

Career Ambition:
To continue leveraging my skills in communication and problem-solving to drive successful project outcomes, and to tackle new challenges in diverse teams and projects."
63,"Results-driven manager with 3+ years of experience leading teams and driving strategic goals in international environments. Proven track record of success in management roles at a prominent IT company and international student organizations.

Highly motivated and enthusiastic professional seeking to leverage management skills in a project management role. Eager to apply strong work ethic and dedication to meeting expectations.

Key Experience:
- Coordinated IT projects during a 6-month internship
- Led teams of 20+ students as VP of Administration and President in international student organizations, driving them towards strategic goals
- Coordinated 30+ events for European students and alumni, including business case-study competitions, educational, strategic, and entertainment events
- Managed HR activities and facilitated workshops

Skills:
- IT project methodologies and tools (theoretical understanding)
- Proficient in Trello, Jira, Confluence
- MS Office, G Suite
- Presentation creation, data structuring
- Strong interpersonal and intercultural communication skills

Currently enrolled in a ""Project Management in IT"" course, supplemented by a Coursera course on ""Agile with Atlassian Jira"". Experienced in working in international environments and prefers roles in international companies."
64,"Highly motivated and result-oriented professional with 15+ years of experience in HR, banking, and Oil & Gas industries, focused on process improvements and operational issues. Proven leadership and personal achievements. Seeking development in Project Management within the IT sector.

Key Skills and Experience:
- Project Management course completion with GoIT, featuring the Pharmapteka project design, a Krakow and suburbs-based platform for finding, comparing prices, and purchasing medicines.
- Proficient in project management documents and processes, including:
  - Roadmap creation
  - Mind mapping
  - Statement of Work (SOW) creation
  - Budget planning
  - Work Breakdown Structure (WBS) and project estimation
  - Risk management
  - Project backlog creation
  - Customer journey map creation
- Teamwork and support skills demonstrated through:
  - Assisting teammates with tasks and providing guidance
  - Completing additional scope of work
- Consistent timely delivery of homework and high rankings in team quizzes, including Kahoot! quizzes.

Career Objective:
To secure a role as a Project Coordinator, Junior Project Manager, or undertake challenging and interesting tasks within the IT industry, utilizing process leadership experience and project management skills."
65,"Highly Motivated Junior Project Manager

Education:
Graduate of Hillel School, High Honor

Skills:
Excellent communication skills
Theoretical knowledge of:
  Budget Management
  Scope Management
  Quality Management
  Risk Management
  People Management
  Stakeholder Management
English language proficiency: Upper Intermediate (spoken and written)

Work Experience:

Junior Project Manager Candidate
English Teacher
  Developed and implemented lesson plans, gathered materials, and created activities to engage students
  Monitored and evaluated student progress, providing feedback and maintaining records
  Coordinated with parents or guardians to discuss student progress and address concerns
  Prepared educational materials, including tests, presentations, and homework assignments

Kindergarten Teacher
  Assisted the Head Teacher with administrative tasks, including paperwork and presentation creation
  Contributed to the design and development of teaching plans and engaging lessons
  Utilized and organized learning materials and resources to support student learning
  Employed interactive techniques, such as songs, stories, and games, to motivate student participation
  Communicated regularly with parents to discuss student progress and concerns
  Identified students requiring extra support and evaluated student performance and progress
  Adhered to teaching standards and safety regulations to ensure a safe and effective learning environment"
66,"Highly motivated and detail-oriented professional seeking a Junior Project Manager role to apply knowledge and skills gained from the PM+BA course at the Lemon School.

Summary:
Results-driven and organized individual with experience in management, administration, and teaching, seeking to leverage skills in a project management capacity.

Work Experience:

Manager
German Desk of Grant Thornton LLC, Kyiv
April 2021 - Present
- Ensure functional operations of the office and its employees
- Facilitate communication between clients and the office
- Monitor project timelines and progress
- Assume HR responsibilities as needed
- Compile and submit monthly reports on clients and employees, maintaining accurate database records

English Teacher
Буде Talk, Kyiv
January 2021 - June 2021
- Conducted lessons for children and teenagers

Office Manager
EKC, Kyiv
June 2020 - December 2020
- Managed business correspondence and phone calls
- Coordinated visitor meetings and provided administrative support to office staff
- Executed management orders and maintained office operations

Education:
PM+BA course, Lemon School

Career Objective:
To obtain a challenging Junior Project Manager position where I can apply my knowledge, gain practical experience, and further develop my skills in a collaborative team environment."
67,"Results-driven professional with managerial experience in a German-Ukrainian automotive company with over 3000 employees. Proven track record of success in process adjustment, project coordination, and team management.

Education:
Udemy Business: The Project Management Course: Beginner to PROject Manager
IT STEP University: 3Ds MAX
SPE School: Development courses on Leadership Effectiveness and Team Management Skills

Career Highlights:
- Started as a technologist, responsible for adjusting processes according to customer requirements and documentation for Audi A4 and Audi Q3 projects, and was promoted to deputy head of the department.
- Served as head of the change management department, overseeing Project Coordinator responsibilities for Audi Q3 (new generation AU326) and Skoda Octavia projects.
- Successfully implemented projects from kick-off, coordinating with stakeholders including clients, developers, logistics, procurement, and project management departments.
- Calculated change costs and communicated with sales departments to assess and implement changes in production.
- Utilized Scrum and Kanban methods, and launched Lean management in production.

Leadership Experience:
- Completed SPE School Leadership Effectiveness and Team Management Skills courses, applying team development methodologies (Forming, Storming, Norming, and Performing) in practice.
- Served as Deputy Production Director, participating in optimization processes.
- Led the Labor Protection Department and Ecology, passing external audits from TUV (ISO 14001, ISO 45001, and Fire Safety) and developing teams and methods for tracking deadlines.

Skills:
- Project coordination and management
- Team management and development
- Process adjustment and optimization
- Stakeholder communication and collaboration
- Scrum and Kanban methods
- Lean management
- Leadership effectiveness
- English language proficiency (Zoom, Teams, Outlook)

Career Ambition:
Aiming to leverage extensive experience in project coordination to transition into the IT field, seeking exciting projects and opportunities for growth and skill improvement."
68,"Project Manager

Summary:
Results-driven project manager with 1.5 years of experience in managing charity projects, team leadership, and stakeholder engagement. Proven track record of driving social impact through successful project execution.

Key Achievements:
- Launched a social project in response to COVID-19, managing a team of up to 8 people
- Successfully involved 10,000 volunteers, providing emotional support to 3,000 beneficiaries
- Implemented a CRM system using Airtable, enhancing project efficiency
- Established a call-center department from scratch
- Organized over 25 online events with 4,000+ registrations
- Created a comprehensive project wiki for team documentation

Skills:
- Account management
- High empathy
- Team building
- Effective communication with diverse stakeholders
- Project planning and execution
- Team management
- Project documentation

Professional Experience:
Project Manager, NGO (4 years)
- Managed teams of up to 8 people
- Developed and executed project plans
- Collaborated with stakeholders
- Maintained project documentation

Note: Available for onboarding and committed to bridging gaps in IT project management knowledge to ensure seamless adaptation."
69,"Diana
Junior Project Manager

Summary:
Results-driven Junior Project Manager with experience in international project management, team leadership, and stakeholder engagement. Proven track record of establishing partnerships, managing international exchanges, and developing educational projects.

Experience:
Junior Project Manager, AIESEC Kyiv, Ukraine
- Established 25+ international partnerships across Portugal, Greece, Turkey, Romania, and India
- Successfully managed 100+ international volunteering and professional exchanges
- Achieved 87% team retention rate since April 1st
- Developed and implemented processes and funnels from scratch
- Received National Excellence Award for the largest number of exchanges since the outbreak of war

Key Responsibilities:
- Managed 2 international internship products: Global Talent and Global Teacher
- Created product development plans and strategized growth
- Identified customer needs, provided analysis reports, and reported product malfunctions
- Fostered long-lasting international partnerships across Europe, Southern Asia, and North Africa
- Led team management, dynamics, and brainstorming sessions, and created working tools
- Assisted Ukrainian people abroad in finding employment through internships

Sales Development Representative, AIESEC (Oct 2020 - Feb 2022)
- Established new partnerships with stakeholders through proactive outreach and relationship-building
- Developed trustful long-term relationships with stakeholders, addressing concerns and resolving conflicts
- Matched prospective candidates with stakeholder profiles
- Managed project logistics, including exchange participant onboarding and offboarding
- Utilized CRM system to update customer information, track communication, and manage relationships

Skills:
- Project management tools: Jira, Notion, Miro, Trello, Google Sheets
- Team management and leadership
- Stakeholder engagement and partnership development
- International project management
- Educational project development
- CRM system management

Education and Career Goals:
Passionate about working in product and educational project management, seeking an entry-level position in Project/Product management to share knowledge and develop skills further. Not interested in Customer Support positions."
70,"Hillel IT School
Project Management
February 2023 - April 2023

Siemens Healthineers LLC
Product Manager
December 2021 - January 2023
- B2B Sales Support: negotiations, product features presentation for customers
- Sales strategy development and execution
- Market intelligence and competitive analysis
- Information preparation about new line-up and comparison with previous models
- MRI and Nuclear Medicine systems configuration according to customer needs

InMed Ukraine LLC
Head of Service Department
May 2020 - October 2021
- Operation in service department: contracts, negotiations with foreign equipment suppliers and contractors
- Installation, service, relocation project management for medical equipment (Toshiba, Canon: MRI, CT, angiography, X-ray)
- Service department development: financial strategy, service and spare parts pricing, documentation
- Spare parts purchasing, registration, and warehouse control

Labvita LLC
Head of Service Department
December 2019 - March 2020
- Installation, maintenance, and repair management of laboratory equipment (blood and urine analyzers)
- Service department team development: hiring, mentorship, training

Radiomed LLC
Head of Service Department
April 2017 - November 2019
- Service department operation
- Project management: building preparation, medical equipment installation (MRI, X-ray), service
- Bitrix24 CRM system operation: project management, spare parts sales management

Nuclear Medicine Center of Kyiv City Clinical Oncology Center
Engineer-Radiologist
March 2011 - March 2017
- Exploitation of medical cyclotron, PET/CT scanners, radiation monitoring system, compressed gas equipment
- Planning of maintenance and repair schedules

Training and Certifications:
- Canon MRI Fundamentals Magnets Overview
- Sysmex UF-5000 Technical Training
- GE Healthcare Certificate of Achievement PETtrace Application Training"
71,"Andrii
Content Manager Team Leader

Summary:
Results-driven Content Manager Team Leader with 7+ years of ecommerce project management experience, currently at Nexteum company, a supplier to a major Northern American web store.

Professional Experience:
Content Manager Team Leader, Nexteum company
- Manage content management team workflows, including planning, prioritization, coordination, and control
- Address critical issues, ensure team performance, and take responsibility for outcomes
- Analyze product data to identify issues, update information, and optimize product structure according to business needs
- Collaborate with the team to process data for over brands, developing structures that drive sales growth

Education and Training:
Recently completed a Project Management course, aiming to enhance Project Management skills

Career Goals:
Seeking projects to expand expertise, gain experience, and improve skills, with a focus on developing English language proficiency."
72,"Irina
Commercial Equipment Manager with 6 years of experience in FMCG
Contact Information not provided

Summary:
Results-driven and sociable professional with experience in managing commercial equipment, process optimization, and project management. Currently taking project management courses at PM Shcool school.

Experience:
Commercial Equipment Manager
- Managed a team of 12 people at different levels
- Organized, standardized, and controlled processes for accounting of commercial equipment
- Managed and maintained projects from initiation to testing and implementation
- Prepared technical specifications for developers and developed reports on team effectiveness

Achievements:
- Transferred department reporting from Excel to Qlik Sense platform, including description of requirements, testing, and user training
- Automated data exchange with distributors, achieving full synchronization of company system and business customers
- Implemented electronic document flow project using 1C/SAP in Russia and Ukraine, saving 35k USD per year
- Launched the first Telegram-bot for automatic QR code changes on equipment, enabling online system updates
- Improved team's SLA level from 85% to 100% through process optimization and transformation

Education:
Currently enrolled in project management courses at PM Shcool school

Personal Qualities:
Result-oriented, sociable, and eager to share management experience and gain new experience in the IT field. Seeking a company with minimal bureaucracy, competent management, and a friendly team."
73,"Marianna
Project Manager Candidate

Education:
Online Course in Project Management, SPALAH IT School

Language Skills:
English: Intermediate
Romanian: Fluent
Russian: Fluent
Ukrainian: Fluent

Summary:
Results-driven and detail-oriented professional with 7 years of experience at the Romanian Embassy in Ukraine, seeking a Project Manager position to utilize leadership skills and contribute to innovative projects.

Professional Experience:
Romanian Embassy in Ukraine
Translator and Assistant
- Translated documentation and interpreted during meetings
- Organized receptions, international meetings, and festivals for 10-500 attendees, ensuring protocol adherence and delivering successful events with final reports to Ukrainian media
- Coordinated charitable projects, drafting project documentation and ensuring timely execution
- Managed student exchange programs, tracking and coordinating students studying in Romania
- Coordinated the Ambassador's meeting schedule and agenda
- Collected and analyzed information to inform embassy decisions

Career Goals:
To leverage leadership potential, collaborate with a dynamic team, and engage in challenging projects that foster professional growth and development."
74,"Valeriia
Project Manager Career Path

Summary:
Results-driven professional with experience in sales department management, executive assistance, and project growth, achieving significant turnover increases and successfully managing teams.

Experience:
Sales Department Manager
- Created a sales department from scratch, resulting in a 4x increase in company turnover within 2 months
- Planned and executed activities, managed risks, and resolved critical situations
- Developed a KPI system and motivated team members to achieve productivity

Executive Assistant to CEO and Company Owners
- Coordinated activities, managed teams, and handled meetings
- Grew a new project, communicated with stakeholders, delivered results, reported on problems, and hired personnel

Remote Sales Department Manager
- Built and managed a remote team
- Created task instructions and supervised team members' work

Freelance Copywriter (IT Sector)
- Contributed to various IT projects
- Utilized education background in Software Engineering to inform writing expertise

Education:
Software Engineer

Location:
Budapest, Hungary, seeking remote or on-site opportunities"
75,"**Summary:**
Results-driven Full-Stack Developer with experience in client-server application development, seeking a management role. Proven track record of delivering projects that protect the environment.

**Technical Background:**

* Full-Stack Web Developer
* Front-end Developer

**Experience:**

* **Development and Implementation Project** (June 2016 - January 2017)
	+ Developed a chemical gas analytical project to display emissions of harmful gases 
	+ Designed and implemented a client-server application using Apache web server, PostgreSQL database, PHP, JavaScript, CSS, HTML, and Webpack
	+ Utilized Leaflet library for displaying data on terrain
* **Client-Side Development and Support** (June 2018 - July 2019)
	+ Developed and supported the client-side of a client-server application using Leaflet, Vue, Vue-Bootstrap, and Element UI
	+ Implemented front-end logic and UI components for displaying and selecting captured images and overlaying vector layers

**Skills:**

* Client-server application development
* Leaflet library for geospatial data visualization
* Vue framework for front-end development
* Full-Stack web development 
* PostgreSQL database management
* PHP for back-end development
* JavaScript, CSS, HTML, and Webpack for front-end development

**Career Goals:**
Looking to grow towards a management role, with a focus on leading teams and developing new client-server solutions. Prefer an informal and friendly team atmosphere, with moderately stressful projects and opportunities for communication and collaboration."
76,"Communication Skills
-------------------
Highly skilled in communication with a strong ability to work with clients and teams.

Professional Experience
---------------------
Engagement Manager, Software Company
- Utilized Excel and client databases to manage sales and client relationships
- Gained experience in B2B and B2C sales across IT, tenants, and goods

Supply Manager
- Sold conference services, leveraging strong communication skills to close deals

Key Skills
----------
- Excel
- MS Word
- SQL (basic)
- English-Russian translation and interpretation
- Business correspondence translation
- Negotiation assistance
- SMM (created and updated company pages and information)

Achievements
------------
- Researched and updated materials for the firm and partners
- Successfully translated business correspondence and assisted in negotiations as an interpreter and translator
- Utilized SMM skills to create and manage company pages and updates

Personal Qualities
-----------------
- Strong organizational skills with a focus on event and party planning
- Sociable and enjoy working in a team environment, with a preference for friendly teams and interesting projects"
77,"Results-driven IT integration specialist with 4 years of experience in team-level operational management and company strategy development. Proven track record of driving business objectives and improving processes.

Key accomplishments:
- Developed business processes and reporting templates to automate team work, resulting in a 20% reduction in wasted time and increased throughput
- Introduced risk management concepts and guidelines for complex integration projects
- Successfully led approximately 100 projects ranging from $50,000 to $500,000

Skilled in managing teams of 5-9 people, serving as a mentor, and project manager for world-famous companies. Adept at finding solutions in complex environments, driving new initiatives, and rapidly acquiring new skills to improve processes and support team performance.

Effective leader, facilitator, coach, and team member with a focus on bringing together the right people and managing them effectively. Committed to being a reliable partner to clients, driving their business prosperity through technology.

Value a culture of personality respect and cooperation, seeking a company that shares this vision and moves forward with inspiration and courage. Experienced in IT integration, project management, and team collaboration, with a strong ability to drive business objectives and improve processes."
78,"Docent (PhD) 
Candidate in Technical Sciences

Summary:
Highly experienced academic and educator with a strong background in international collaboration and project management.

Experience:
Teacher, University
Academic Student's Group Curator
Diploma Project Supervisor
Internship in IT Project Management

Achievements:
Exclusive Distributor Status for 5 years with two companies from the USA
Valuable experience in international collaboration

Skills:
People Management
Conflict Resolution
Project Management (non-IT)"
79,"Project Management + Business Analysis Course Graduate with Honors

Objective: To leverage my analytic and communication skills, as well as my experience in customer support, to secure a role that utilizes my skills and knowledge.

Experience:

Customer Support Representative
Hosting
* Provided technical support to global customers
* Assisted with product and service selection, installation, and configuration
* Worked with DNS systems, configurations, and email services
* Managed server operating systems, including CloudLinux and CentOS
* Troubleshooted issues related to MySQL and PHP configurations
* Collaborated with Content Management Systems, such as WordPress and Magento
* Supported and managed cPanel services

Customer Support Quality Assurance
* Assessed the quality of the Customer Support business unit
* Gathered and analyzed statistics, and delivered feedback based on the analysis
* Contributed to updating company procedures and workflow, and created new ones
* Utilized knowledge of system administration, WordPress, cPanel/WHM, and DNS systems to improve technical support delivery

Skills:

* Analytic and communication skills
* Basic knowledge of Project Management
* Experience with DNS systems, email services, and server operating systems
* Proficient in troubleshooting and resolving technical issues
* Familiarity with Content Management Systems, including WordPress and Magento
* Strong initiative and problem-solving skills"
80,"Highly skilled professional with excellent problem-solving, team development, communication, and decision-making skills, combined with high moral and ethical standards and management experience of technical teams.

Summary:
Results-driven manager with experience in project management, team leadership, and technical expertise in backbone networks, video surveillance, automatic fare collection systems, and communication networks. Proven track record of successful project delivery and team management.

Technical Experience:
- Significant experience with backbone networks utilizing physical circuits and fibre-optic communication lines
- Extensive practice with Cisco, HP, Moxa, Olencom, and IBM equipment

Project Experience:
- Participated in the Kyivstar swap project (2016-2017), delivering 6000 swap and new sites
- Contributed to the implementation of video surveillance, automatic fare collection systems, travel radio communication systems, and tunnel communication networks at Kyiv and Moscow metro stations

Work Experience:
Huawei Ukraine LLC (06.2016 – 09.2018)
Regional Project Manager (12.2016 – 09.2018)
Regional Project Manager Assistant (09.2016 – 12.2016)
Acceptance Manager (06.2016 – 09.2016)
  Responsibilities:
  - Project planning and rollout execution monitoring
  - Project progress analysis and delivery optimization
  - Project documentation
  - Subcontractors supervision and efficiency control
  - Project resource and workflow management
  - Performance reporting on a regular basis
  - Task planning and distribution to contractors

Kyivmetroproject LLC (03.2011 – 06.2016)
Chief Specialist (Deputy Chief of the Department) (08.2014 – 06.2016)
Group Lead (Deputy Chief of the Department) (06.2013 – 08.2014)
I Category Engineer (03.2011 – 06.2013)
  Responsibilities:
  - Designing low-voltage systems at underground stations and control points
  - Conducting negotiations with customers and contractors
  - Agreeing projects with related departments, communication service, and management of the underground
  - Preparation of technical specifications
  - Issuing tasks to related departments
  - Choosing engineering solutions for new projects, selecting equipment, developing schemes, creating structured cabling systems, and preparing specifications and cost estimates
  - Executing design documentation of all stages
  - Comprehensive building of network infrastructure
  - Knowledge of field-specific regulatory documents on design
  - Experience with designer’s supervision over developed design solutions
  - Knowledge of design structure and principles
  - Cost estimating for design works
  - Management of designed projects"
81,"Project Manager
Project: ""Do it yourself \ Make yourself""

Summary:
Results-driven Project Manager with 4 years of experience in the fintech field, with equal experience in B2C and B2B segments, and a proven track record of successfully leading projects and collaborating with top partners.

Key Responsibilities and Achievements:
- Led project road map formation, organizational structure development, and budgeting
- Created project backlog, Mind Map, and customer journey maps
- Developed and analyzed the Statement of Work (SOW) and value proposition
- Managed project tasks, including checklist creation, stakeholder register development, risk assessments, and RACI matrix implementation
- Implemented team schedule management plans, schedule tracking tools, and reporting management plans
- Utilized the Critical Path Method and Earned Value Management (EVM) for project optimization

Project Overview:
Managed the development of a mobile application featuring a B2B marketplace platform for service and product providers, and a B2C segment for customer personal accounts, tariff management, and purchases

Career Goals:
Seeking opportunities to create innovative projects, collaborate with dynamic teams, and contribute to the growth and development of Ukraine's IT sector."
82,"Project Manager

Education:
Choice31 Online University, Graduated June 2023
Completed courses in Project Management, acquiring basic skills for the profession
Gained knowledge in: Jira, Trello, Google Docs/Tables, Risk Management, Agile Scrum/Kanban, SDLC, Reporting, Budget Management

Work Experience:
Project Manager, ""Marketplace"" Pet Project (Ongoing)
Manage a team of 9 people, applying practical skills from Choice31 courses
Key Responsibilities:
Participate in and facilitate meetings, maintaining meeting protocols
Manage project documentation
Utilize tools such as Jira, Discord, Notion, Figma, Google Tables
Foster effective communication among team members and stakeholders
Monitor task performance and team communication
Plan and organize meetings
Gather information from team members and stakeholders to inform project decisions

Professional Development:
Currently taking Atlassian courses to enhance Jira skills
Engaged in improving English language proficiency
Regularly attend courses and lectures on Coursera, DOU, IAMPM for continuous professional growth

Career Objectives:
Prioritize effective communication and teamwork
Focus on personal and team development
Emphasize results-driven work approach"
83,"2023
Project Manager Course, GoIt
Personal Projects: 
  - ""LoveTravel""
  - ""EcoHabitat""

2021
HTML and CSS, Professional Website Layout, htmlacademy
Personal Project: ""Sedona""

2018 – 2019
Sales Manager, Poligrafika
  - Trained and prepared two new employees
  - Managed client relationships from initial meeting to closing deals
  - Consulted and processed incoming leads via mail, messenger, and telephone
  - Calculated order costs, supported orders, and clients after agreement
  - Utilized programs: 
    - Photoshop
    - Adobe Illustrator
    - CorelDraw
  - Maintained daily reports and worked in CRM
  - Resolved logistical issues with order delivery

2017 – 2018
Sales Manager, Poligrafika
  - Increased monthly income by 20% over the course of a year
  - Sourced new manufacturers and clients

Certified IT Project Manager
  - Knowledge of software development and design
  - Proficient in management methodologies: 
    - Agile
    - Kanban
    - Scrum
  - Experienced with platforms: 
    - Jira
    - Confluence
  - Skilled in strategic planning, resource management, and risk assessment

Project Experience
""LoveTravel""
  - Created project documents including SOW, roadmap, organizational structure, mind map, and project budget
  - Managed project backlog, risk planning, and test planning

Career Expectations
  - Seeking opportunities for career and professional growth
  - Prefer comfortable working conditions
  - Desire to work within a goal-oriented team
  - Willing to work responsibly to achieve set goals and adapt to dynamic changes"
84,"Certified Project Manager of International Project Management Association C.01.00677
Diploma of Computer Academy ""STEP"" on the completion of the courses ""Photoshop and Illustrator""
English language course completion certificate (Level B1)

Results-driven professional with 8 years of experience in thermal power engineering and radiation technologies as a Project Manager, and 4 years of experience as a Lead Marketing Specialist. 

Project Management Experience:
- Managed project workflow
- Developed project implementation schedules
- Created organizational documents
- Prepared project presentations
- Organized meetings
- Managed document flow
- Communicated with stakeholders
- Reported timesheets
- Monitored work implementation
- Prepared monthly technical and financial reports

Marketing Experience:
- Conducted market research
- Organized and implemented workshops
- Prepared tender proposals
- Participated in exhibitions
- Organized branded product production
- Developed designs for marketing materials, including banners, flyers, postcards, and calendars

Committed to continuous learning and skill improvement, eager to expand professional qualifications and explore new fields."
85,"Project Manager Intern
Choice 31, September 2022 - December 2022

Results-driven and communicative professional with experience in managing projects and building strong relationships with clients and team members. Proven ability to work effectively in multitasking conditions.

Key Achievements:
• Coordinated and facilitated the creation of an online store project as an intern
• Developed user stories and created a project roadmap and backlog in Jira based on business goals and requirements
• Identified and mapped project risks through collaborative team efforts
• Managed sprint budgets and generated reports to track progress
• Established open and effective communication channels among project stakeholders

Previous Experience:
• Conceptualized and prioritized tasks and projects from inception to completion, including presentation, planning, budgeting, job descriptions, launch, testing, and adjustment
• Prepared technical tasks and managed business processes, including report generation, daily meetings, and internal and external correspondence
• Conducted negotiations and communications with diverse stakeholders, including customers, clients, management, department teams, and internal services"
86,"Doctor Psychologist and Psychotherapist
Project Manager in the Medical Field

Results-driven project manager with experience in developing and implementing projects in the medical field, achieving set goals and receiving European recognition. Proven ability to build relationships and collaborate between departments for productive work.

Current Experience:
Developed and implemented projects from scratch, achieving set goals for treating patients
Built relationships and collaborated between hospital departments for efficient work

Education and Training:
Currently completing PM courses in the IT field to enhance technical understanding

Project Experience:
IT Project Manager (course project)
Created a website for finding a psychotherapist, applying project management methodologies and the critical path for task management
Key stages included:
Analysis and requirement gathering
Designing information architecture and user interface prototype
Design and graphics development
Development of functionality, including psychotherapist search and user registration system
Database development and search algorithm implementation
Rating and review system implementation
Testing, validation, and optimization
Documentation preparation and security implementation
Project handover and closure

Skills Demonstrated:
Project management
Teamwork
Analytical and technical abilities
Problem-solving and risk management

Career Aspirations:
Looking to gain experience in the IT field, leveraging current skills and knowledge to contribute to future projects"
87,"As a goal-oriented and motivated project manager, I leverage my experience in journalism and communications to effectively communicate with clients and demonstrate empathy, having worked with notable brands such as L'Oréal and Chicco. My background as an editor has taught me the importance of meeting deadlines, ensuring timely completion of tasks.

With experience in team management, I excel at building friendly relationships that facilitate a smooth work process. As a student of Choice31, I successfully managed a mobile application project, where I practiced with essential documents including Project Overview, Gantt Chart, reporting, and prototyping. I developed user stories, created a RACI matrix, and established a risk register, ultimately earning my diploma.

My project management skills include planning all project phases, setting up backlogs in task trackers like Jira, and creating prototypes. I prioritize effective and open communication with both clients and teammates, striving to create a convenient work process for all parties involved. With new skills and knowledge gained from my PM course, I am eager to collaborate on projects and dedicate myself to achieving success."
88,"IT Project Management Professional

Results-driven and detail-oriented project management professional seeking to leverage knowledge and skills gained through intensive training and practical case studies to drive project success. Committed to delivering innovative projects and contributing to the project management profession.

Key Skills:

* Project Management: Manage projects from initiation to MVP release, including pre-sales and requirements gathering stages
* Methodologies: Waterfall and Agile methodologies, including Scrum and Kanban frameworks
* Tools: Slack, Notion, Miro, Mural, Figma, Canva, and Jira
* Soft Skills: Facilitation techniques, negotiation skills, and conflict resolution skills
* Documentation: Business Model Canvas, Value Proposition Canvas, Risk Register, RACI matrix, Power/Interest Matrix, Impact map, Work Breakdown Structure, Communication Plan, Gantt Chart, and User story map

Career Objective:
To secure an entry-level position in project management where I can apply my skills and knowledge, and continue to grow and develop as a professional in the field."
