,Modified_anthropic_claude-3.5-sonnet_of_Modified_claude-sonnet-4-20250514_of_CV_Modelclaude-sonnet-4-20250514_Modelanthropic_claude-3.5-sonnet
31,"MAX
UX/UI Designer
Kharkiv

OBJECTIVE
Results-driven UX/UI Designer with hands-on experience in responsive web design and e-commerce platforms, seeking to leverage proven design capabilities and user-centric approach in a collaborative environment.

EDUCATION
IT School ""Design Kitchen School"" - UX/UI Design Program
Currently enrolled

PROFESSIONAL PROJECTS

E-commerce Clothing Store Redesign
• Spearheaded end-to-end redesign project incorporating user research and competitive analysis
• Engineered intuitive site architecture improving user navigation and experience
• Crafted detailed user personas and journey maps to optimize customer touchpoints
• Delivered high-fidelity interactive prototypes using Figma
• Implemented data-driven design decisions based on competitor analysis findings

Volunteer Organization Landing Page
• Led complete visual identity development including brand guidelines and photography selection
• Engineered multi-platform payment integration system for streamlined donations
• Executed responsive design ensuring seamless mobile functionality
• Developed strategic content hierarchy maximizing user engagement and conversion
• Created cohesive design system including typography and color schemes

TECHNICAL EXPERTISE
Design: UI/UX Design, Mobile Application Design, Web Design, Responsive Design, E-commerce Design
User Experience: User Flow Development, Persona Creation, Interactive Prototyping
Visual Design: Design Systems, Typography, Color Theory, Composition
Development: Landing Page Creation

TOOLS
Figma | Adobe Photoshop | FigJam | Trello"
32,"UX/UI DESIGNER

PROFESSIONAL EXPERIENCE

Senior Designer | Multiple Client Projects
• Successfully delivered 7-9 high-impact design projects focusing on user experience optimization
• Demonstrated expertise in end-to-end design process from research to implementation
• Established strong collaborative relationships with stakeholders and development teams

Key Projects:

E-commerce Mobile Application Transformation
• Spearheaded UI/UX redesign resulting in streamlined purchasing workflow
• Orchestrated cross-functional collaboration between development, design, and management teams
• Implemented user-centric design solutions using Sketch and InVision
• Optimized navigation patterns to enhance user engagement and conversion

Web Portal Redesign Initiative
• Led comprehensive redesign of multi-service platform
• Executed in-depth user research and analytics evaluation
• Developed and implemented data-driven design solutions
• Created high-fidelity prototypes using Figma
• Conducted iterative usability testing to ensure optimal user experience

Additional Portfolio Highlights
• Designed conversion-focused landing pages
• Developed user interfaces for three mobile applications
• Specialized in interaction design and microinteractions

Technical Expertise
• Design Tools: Sketch, InVision, Figma
• UX Methodologies: User Research, Data Analysis, Usability Testing
• Specializations: Interface Design, Prototyping, Interactive Elements
• Focus Areas: User Experience Enhancement, Interaction Design, Visual Communication"
33,"**WEB & MOBILE DESIGN EXPERIENCE**

**HOMECULT - Interior Design Website**
• Conceptualized and executed responsive website design that increased client engagement by optimizing user journey and portfolio presentation
• Implemented intuitive navigation system and portfolio catalog showcase highlighting company's expertise across various design projects
• Enhanced brand credibility through strategic placement of specialist profiles and project case studies
• Incorporated modern design principles to create seamless user experience optimized for lead generation

**MOTORCYCLE WEBSITE CONCEPT - E-commerce Platform**
• Designed comprehensive e-commerce solution with focus on conversion optimization and brand differentiation
• Developed user-centric product catalog with advanced filtering and comparison capabilities
• Created cohesive visual identity system aligned with target audience preferences
• Implemented responsive design ensuring seamless shopping experience across all devices

**DRIVER 24 - Car Rental Mobile Application**
• Designed intuitive mobile interface prioritizing quick vehicle selection and booking process
• Developed streamlined user flows reducing rental process complexity and improving conversion rates
• Created consistent visual language across all app screens enhancing user navigation and engagement
• Implemented efficient information architecture optimizing the car browsing and reservation experience"
34,"**Web Designer**

**CORE COMPETENCIES**
• UI/UX Design
• Prototyping and Wireframing
• Figma Software
• Adobe Creative Suite (Photoshop, Illustrator)
• Responsive Web Design
• User Research and Testing
• Interface Development
• UIKit Implementation

**PROFESSIONAL SUMMARY**
Results-driven Web Designer with demonstrated success in creating user-centric digital solutions. Specializes in developing engaging interfaces that enhance user experience while driving business objectives. Proven track record in implementing comprehensive design strategies that strengthen brand identity and improve conversion rates.

**PROJECT EXPERIENCE**

**Flower Lover - E-commerce Platform Development**
• Architected and implemented full-scale e-commerce website enabling cross-border flower delivery services
• Created intuitive user interface with advanced features including delivery scheduling and custom composition tools
• Engineered customer retention system incorporating loyalty programs, tiered discounts, and subscription models
• Designed and integrated newsletter system with targeted promotional capabilities

**Indian Food Restaurant - Website Transformation**
• Executed complete website redesign focusing on user-centric navigation and information architecture
• Optimized conversion pathways resulting in enhanced user engagement and streamlined checkout process
• Developed comprehensive design system aligned with brand guidelines
• Implemented SEO-optimized design elements to boost search visibility
• Designed fully responsive mobile interface ensuring cross-device compatibility
• Collaborated with design team and stakeholders to deliver client-focused solutions

**Dog Style - Digital Platform Design**
• Executed end-to-end web design project from concept to implementation"
35,"UI/UX Designer

PROFILE
Innovative Interior Designer from Ukraine with 4+ years of professional experience, successfully transitioning to UI/UX Design. Certified professional with comprehensive UI/UX Design training and expert understanding of design fundamentals including color theory, spatial relationships, and composition principles. Detail-oriented creative professional demonstrating consistent excellence in design execution.

TECHNICAL SKILLS
- Figma
- Adobe Photoshop
- Adobe Illustrator
- Webflow

CORE COMPETENCIES
- UX Research & Analysis
- Interactive Prototyping
- Landing Page Design
- Mobile Interface Architecture
- Vector Graphics Creation
- Mobile Application Development
- Web Service Design
- Cross-functional Communication
- Collaborative Teamwork
- Adaptability in Dynamic Environments
- Strategic Problem-solving

PROJECT EXPERIENCE

UI/UX Designer - Motivate Clock
• Engineered intuitive landing page design for time tracking application
• Implemented engaging animations to enhance user experience and showcase core functionalities
• Executed design using Figma, Adobe Illustrator, and Photoshop to create cohesive visual elements

Babbleer Web Service - Personal Project
• Conceptualized and designed comprehensive language learning platform connecting educators and students
• Engineered responsive interface with seamless functionality across devices
• Integrated online meeting capabilities for virtual study sessions

Dance School Website Redesign - Personal Project
• Spearheaded end-to-end website redesign incorporating modern design principles
• Created distinctive visual identity through strategic use of illustrations and UI elements
• Developed fully responsive interface optimized for multiple devices using Figma, Adobe Illustrator, and Photoshop

BACKGROUND
Certified Interior Designer specialized in sustainable functional spaces and innovative aesthetic design. Successfully pivoted to UI/UX Design while maintaining active engagement in broader design industry after relocating to Europe."
36,"**Creative Web Designer**

Results-driven Web Designer with proven expertise in creating visually compelling and user-centric digital experiences. Demonstrated success in delivering innovative solutions across e-commerce, healthcare, and retail sectors.

**Core Competencies**
- User Interface (UI) Design
- User Experience (UX) Design
- Client Requirements Analysis
- Responsive Web Design
- Digital Platform Development
- Project Management

**Professional Experience**

**Medical Web Platform - TakeCARE**
- Architected comprehensive telemedicine interface facilitating doctor-patient consultations
- Implemented integrated calendar system for streamlined appointment management
- Designed secure communication platform ensuring patient privacy compliance
- Developed intuitive medical history review functionality

**E-commerce Platform - The POWER Electronics Store**
- Engineered full-scale e-commerce platform with extensive product catalog integration
- Optimized checkout process reducing transaction completion time
- Created responsive design ensuring seamless cross-device functionality
- Implemented user-friendly navigation system enhancing product discovery

**Furniture Store Landing Page**
- Designed conversion-focused landing page highlighting key value propositions
- Integrated seamless ordering system and consultation booking functionality
- Enhanced user engagement through strategic content placement
- Optimized page layout for maximum conversion rate

**Mobile Application - Flowerlove**
- Designed intuitive mobile application for flower and gift delivery services
- Developed smart recommendation engine for personalized product suggestions
- Created automated delivery scheduling system for special occasions
- Implemented streamlined order placement and tracking functionality

**Technical Proficiencies**
- Website Design
- Mobile Application Design
- User Interface Development
- Client Communication
- Project Planning
- Problem-Solving"
37,"**UX/UI Designer**

Results-driven UX/UI Designer with proven expertise in creating intuitive digital experiences through comprehensive research, design, and implementation. Demonstrated success in leading cross-functional teams and delivering user-centered solutions for web and mobile platforms.

**Professional Experience**

**UX/UI Design Team Leader | Travel Easily**
• Spearheaded end-to-end design process for innovative accommodation booking platform
• Orchestrated dual-interface development optimizing both guest and host experiences
• Conducted user research and implemented data-driven design solutions
• Led collaborative team efforts ensuring project milestones and deliverables

**Selected Projects**

**Hospital Landing Page Redesign**
• Executed complete redesign of multi-page healthcare platform
• Implemented intuitive specialist search and appointment booking system
• Enhanced user journey through streamlined information architecture
• Delivered modern interface focusing on accessibility and user engagement

**Flower Shop E-commerce Design**
• Developed comprehensive landing page optimizing customer conversion
• Created dual design concepts aligned with brand identity
• Implemented strategic user flow to showcase products and services
• Translated client requirements into visually appealing solutions

**Technical Proficiencies**
• User Experience (UX) Design
• User Interface (UI) Design
• Wireframing & Prototyping
• User Research & Analysis
• Visual Design
• Web & Mobile Design
• Information Architecture
• Project Management

**Core Competencies**
• Team Leadership
• Problem-solving
• Strategic Planning
• Client Communication
• Attention to Detail
• Trend Analysis
• Continuous Learning
• Project Lifecycle Management

**Professional Objective**
Seeking a full-time UX/UI Design position to leverage expertise in creating exceptional digital experiences while contributing to organizational success and growth."
38,"PROFESSIONAL SUMMARY
Results-driven UI/UX Designer with proven expertise in user-centered design and digital product development. Skilled in translating complex requirements into intuitive, accessible interfaces. Demonstrates strong proficiency in industry-standard design tools and collaborative project execution.

TECHNICAL SKILLS
Design Software: Adobe Photoshop, Adobe Illustrator, Figma
Design Expertise: User Interface Design, User Experience Design, Wireframing, Prototyping, Branding
Research Methods: User Research, Competitive Analysis, Usability Testing

PROFESSIONAL EXPERIENCE

Senior UI/UX Designer | Custom Concepts Website Redesign
• Spearheaded end-to-end redesign of tattoo studio website, emphasizing brand identity
• Conducted comprehensive user research and competitor analysis to inform design decisions
• Developed and implemented complete UI-Kit and design system
• Created responsive wireframes and high-fidelity prototypes
• Enhanced site navigation and user flow through data-driven design solutions

UX Designer | Happy Health Web Service
• Led user experience strategy for healthcare platform connecting patients with medical professionals
• Developed detailed user flows and customer journey maps
• Created responsive designs for multiple platforms (desktop, tablet, mobile)
• Implemented user-centered design principles to enhance platform accessibility
• Collaborated with cross-functional teams to define problem statements and user goals

UI/UX Designer | Quick Way Mobile Application
• Designed comprehensive branding and custom illustrations for automotive service platform
• Created user flows, wireframes, and interactive prototypes
• Conducted usability testing to optimize user interface and functionality
• Developed intuitive navigation system for multi-vehicle management
• Implemented rating-based service provider selection system

EDUCATION
Bachelor's Degree in Graphic Design

CERTIFICATIONS
UI/UX Design Coursework"
39,"DESIGNER

Results-driven Visual Designer with expertise in crafting impactful digital experiences. Proven track record in developing user-centric designs for e-commerce, educational platforms, and corporate websites. Specializes in creating engaging interfaces that drive user interaction and achieve business objectives.

PROFESSIONAL EXPERIENCE

Freelance Designer | KULISH - Landing Page & E-Commerce
• Spearheaded end-to-end design of e-commerce landing page for premium Ukrainian cuisine products
• Implemented comprehensive ordering system and customer service integration
• Incorporated brand-aligned visual elements based on product packaging
• Developed responsive designs across mobile, tablet, and desktop platforms
• Integrated detailed product information and user guidance systems

Team Designer | WEB Service HiTutor
• Contributed to design of global educational platform connecting tutors and students
• Developed strategic color schemes enhancing user experience and brand identity
• Created engaging animations using Figma and Adobe After Effects
• Executed complete design process from initial concept through final implementation

Web Designer | Music School Website Redesign - Poltava
• Led complete redesign of multi-page educational institution website
• Conducted thorough competitor analysis and site architecture evaluation
• Modernized user interface to enhance engagement and accessibility
• Designed custom illustration package using Figma
• Transformed outdated platform into contemporary, user-focused experience

TECHNICAL SKILLS
• Design Tools: Figma, Adobe After Effects
• Specializations: Web Design, UI/UX, E-commerce, Landing Pages
• Expertise: Responsive Design, Animation, Illustration, Visual Concept Development
• Additional: Color Theory, Competitor Analysis, Team Collaboration

PORTFOLIO
Comprehensive project collection available upon request, showcasing e-commerce solutions, landing pages, educational platforms, and website redesigns."
40,"**UI/UX DESIGNER**

**PROFESSIONAL SUMMARY**
Results-driven UI/UX designer with proven expertise in website, service, and mobile application development. Demonstrated success in delivering user-centered designs that enhance business value and user engagement. Strong track record in team leadership, client management, and large-scale event coordination, complemented by extensive experience in social media marketing and web design.

**CORE COMPETENCIES**
• User Experience Design & Prototyping
• User Research & Journey Mapping
• Strategic Implementation of Jobs-to-be-Done Framework
• End-to-End User Flow Development
• Design Thinking & Problem Solving
• Advanced Typography & Visual Composition
• Cross-functional Team Leadership
• Client Relationship Management
• Large-scale Event Planning & Execution

**TECHNICAL PROFICIENCIES**
• Website Development Platforms
• Adobe Creative Suite (Photoshop, Illustrator)
• Figma Design System
• Canva Pro

**PROFESSIONAL EXPERIENCE**

**Team Leader**
• Directed cross-functional team operations, implementing efficient workflow systems
• Developed and executed comprehensive design training programs
• Spearheaded client acquisition initiatives and maintained strategic partnerships
• Orchestrated successful events for 100+ attendees, managing all logistics and coordination

**KEY PROJECTS**

**Architectural Event Landing Page**
• Executed end-to-end design process for minimalist landing page
• Conducted user research and created comprehensive mood boards
• Developed wireframes optimized for event information presentation
• Delivered final design aligned with client objectives

**Restaurant Website Redesign**
• Performed in-depth market analysis and user research
• Modernized interface with enhanced booking and ordering capabilities
• Improved user experience through strategic visual updates
• Implemented seamless navigation and functionality

**Cleaning Service Platform**
• Designed comprehensive communication platform connecting service providers with customers
• Implemented user-centered methodologies including JTBD and Journey Mapping
• Created detailed user flows and wireframes
• Developed secure and efficient communication channels

**PROFESSIONAL PHILOSOPHY**
Dedicated to creating impactful designs that balance functionality with aesthetics. Focused on developing user-centric solutions that drive business growth and enhance user satisfaction through thorough research and strategic implementation."
41,"UI/UX DESIGNER

PROFESSIONAL SUMMARY
Results-driven UI/UX Designer with expertise in creating intuitive, user-centered digital experiences. Specialized in comprehensive user research, responsive design implementation, and collaborative project development.

CORE COMPETENCIES
• User Experience Design
• User Interface Development
• Target Audience Analysis
• Competitive Market Research
• Wireframing & Prototyping
• Interactive Prototype Animation
• Responsive Design Implementation
• Cross-functional Team Collaboration

TECHNICAL PROFICIENCY
Design Software:
• Figma
• Adobe Photoshop
• Adobe Illustrator

PROJECT PORTFOLIO

Travel Agency Landing Page
• Conducted in-depth target audience analysis and competitive research
• Designed modern, conversion-focused landing page
• Implemented vibrant, engaging visual elements to drive client acquisition

Photostudio Website Redesign
• Executed comprehensive competitor analysis to identify market opportunities
• Developed streamlined information architecture
• Implemented modern design principles to enhance user engagement
• Optimized interface for improved customer conversion

Flower Shop E-commerce Platform
• Developed user-centric interface based on target demographic research
• Created intuitive navigation and purchase flow
• Optimized visual hierarchy for enhanced user experience

Web Service Development
• Designed end-to-end user experience
• Integrated functional design elements with aesthetic appeal
• Implemented comprehensive user journey mapping

Additional Design Projects
• Designed and delivered multiple landing pages
• Developed responsive designs for cross-platform compatibility
• Optimized user interfaces for tablet and mobile devices

PROFESSIONAL OBJECTIVES
• Contribute to innovative design teams in collaborative environment
• Advance career through hybrid work opportunities
• Pursue continuous professional development
• Engage in corporate learning initiatives"
42,"**UI/UX Designer**

Results-driven UI/UX designer with proven expertise in crafting user-centered digital experiences for web and mobile platforms. Demonstrates strong proficiency in industry-standard design tools while delivering innovative solutions that enhance user engagement and satisfaction.

**Professional Experience**

**UI/UX Designer | PetHelp Web Service**
• Led the interface design for a mission-critical pet recovery platform during wartime conditions
• Implemented comprehensive user flows for lost pet reporting, discovery, and adoption processes
• Executed responsive design solutions resulting in positive user engagement and feedback
• Collaborated cross-functionally to align design solutions with technical requirements

**UI/UX Designer | BookingTablet Mobile Application**
• Designed an intuitive restaurant reservation system with interactive layout visualization
• Developed streamlined booking flows incorporating real-time seat selection functionality
• Created cohesive visual design system ensuring consistent user experience
• Optimized mobile interface for maximum efficiency and user satisfaction

**Core Competencies**
• User Interface Design
• User Experience Design
• Wireframing & Prototyping
• Information Architecture
• Visual Design Systems
• Collaborative Design Process
• User-Centered Design Methodology
• Mobile-First Design

**Technical Expertise**
• Figma
• Miro
• Adobe Creative Suite (Photoshop, Illustrator)

**Career Objective**
Dynamic UI/UX designer seeking challenging opportunities to create innovative digital experiences. Committed to pushing creative boundaries while maintaining user-centric design principles and staying current with emerging design trends and technologies."
43,"**UX/UI Designer**

Results-driven Junior UX/UI Designer skilled in creating intuitive, user-centric digital experiences that drive engagement and satisfaction.

**EXPERIENCE**

**Team Leader | Languages Web Service Project**
• Spearheaded cross-functional team in developing comprehensive web service platform
• Successfully delivered and defended multiple high-impact design projects
• Implemented strategic user research methodologies including Jobs to be Done and Customer Journey Mapping
• Optimized user conversion pathway from initial landing to course enrollment
• Engineered interactive learning platform facilitating seamless student-teacher communication

**UX/UI Designer | Tourism Website Redesign**
• Executed end-to-end redesign of tourism platform to enhance user engagement
• Crafted streamlined interface resulting in improved user experience and booking efficiency
• Developed targeted design solutions to showcase Ukrainian tourism opportunities
• Designed intuitive booking process optimized for convenience-focused travelers

**EDUCATION**
GO IT School - UX/UI Design Program
Current Student

**PORTFOLIO HIGHLIGHTS**
• Featured designer on Dribbble platform
• Successfully defended two major design projects

**TECHNICAL COMPETENCIES**
• User Experience (UX) Design
• User Interface (UI) Design
• User Research & Analysis
• Jobs to be Done Framework
• Customer Journey Mapping
• User Flow Optimization
• Project Leadership
• Cross-functional Team Collaboration"
44,"**Professional Summary**
Results-driven Designer with 4+ years of diverse experience, specializing in UX/UI and mobile application design. Demonstrated success in increasing business performance through innovative design solutions. Skilled at translating complex requirements into user-friendly interfaces while maintaining creative excellence. Proven ability to collaborate effectively with cross-functional teams and deliver high-impact design projects that drive client satisfaction and business growth.

**Professional Experience**

**Design & Digital Solutions**
• Led the design of mobile application interfaces, including authorization screens for HearU and a sound recording application
• Resolved usability challenges for Multiplex cinema desktop website, enhancing user experience
• Designed and implemented responsive landing page for delivery service platform
• Increased retail store performance by 3% through strategic design implementations
• Executed 9 successful presentation designs, directly contributing to client acquisition
• Spearheaded 5 loyalty campaign designs, working collaboratively with cross-functional teams

**Creative Achievements**
• Published ""Arena"" book, delivering complete creative direction including original illustrations and cover design
• Developed comprehensive brand assets including key art, POS-materials portfolio, and packaging designs
• Created detailed 3D modeling and rendering projects for various applications

**Technical Expertise**
• UX/UI Design
• Mobile Application Design
• Website Design
• Presentation Design
• 3D Modeling and Rendering
• POS-Materials Design
• Packaging Design
• Illustration
• Client Relations
• Team Collaboration"
45,"**UX/UI Designer**

Results-driven UX/UI Designer with expertise in creating user-centered digital solutions that enhance business performance and user satisfaction. Demonstrated success in delivering intuitive, visually compelling designs through systematic research, prototyping, and implementation processes.

**Core Competencies**
• User Experience (UX) Design
• Interface Prototyping & Wireframing
• Responsive Web Design
• User Research & Analysis
• Visual Design Implementation
• Cross-platform Compatibility

**Professional Experience**

**Website Redesign - ""Cucina die Catherina""**
• Spearheaded end-to-end website redesign, focusing on enhanced user experience and functionality
• Engineered responsive design solutions ensuring seamless performance across desktop, tablet, and mobile platforms
• Conducted comprehensive competitive analysis to identify market opportunities and design innovations
• Translated research insights into actionable design improvements

**Sugaring Salon Landing Page**
• Executed targeted user research to inform design strategy and improve conversion rates
• Designed intuitive interface incorporating modern UX principles and best practices
• Optimized user journey through strategic placement of elements and clear visual hierarchy

**Language Proficiency**
• Ukrainian (Native)
• Russian (Native)
• German (Fluent)
• English (Intermediate)

**Career Objective**
Seeking opportunities in remote, freelance, or full-time positions with growth-oriented organizations. Offering strong organizational capabilities, commitment to deadlines, and continuous professional development. Ready to contribute expertise in creating user-centered digital products that drive business success."
46,"**UI/UX Designer**

**Profile**
Results-driven UI/UX design professional with expertise in crafting intuitive user interfaces for web and mobile platforms. Demonstrates exceptional attention to detail and a user-centric approach to design solutions. Known for strong collaboration skills and rapid adaptation to evolving project requirements.

**Core Competencies**
• End-to-end UI/UX design process including user research, persona development, wireframing, and usability testing
• Advanced mockup creation and prototype development
• Strategic implementation of color theory, typography, and visual hierarchy
• Responsive and adaptive design principles
• Cross-functional team collaboration and stakeholder communication
• User-centered problem-solving and iterative design methodology
• Expert proficiency in Figma, Adobe Photoshop, and Adobe Illustrator

**Project Experience**

**Table Reservation Mobile Application**
• Led full-cycle UI/UX design for streamlined restaurant booking platform
• Developed intuitive user flow enabling 5-minute reservation completion
• Implemented responsive design principles ensuring cross-device compatibility
• Created user-friendly interface focusing on accessibility and efficiency

**Medical Services Platform**
• Designed comprehensive healthcare interface optimized for dual user bases
• Engineered intuitive appointment scheduling system with calendar integration
• Developed secure patient/doctor portals for medical document management
• Implemented user-friendly navigation system for complex medical information

**Additional Projects**
• Web service interface design and development
• Strategic landing page optimization
• Website redesign and user experience enhancement

**Career Objectives**
Seeking to leverage UI/UX expertise in a dynamic organization that values innovation and professional growth. Committed to delivering exceptional user experiences while expanding technical and creative capabilities within a collaborative team environment."
47,"Junior UI/UX Designer

PROFESSIONAL EXPERIENCE

Web-Based Accommodation Platform Project
• Spearheaded development of intuitive web platform connecting travelers with budget-friendly lodging options
• Executed comprehensive market research and competitive analysis to identify user needs and market opportunities
• Implemented data-driven UX improvements based on Customer Journey Mapping and User Flow analysis
• Delivered user-centric design solutions optimizing the accommodation search and booking experience

Restaurant Reservation Application Project
• Designed and implemented streamlined mobile application interface for restaurant reservations
• Created intuitive booking flow reducing user friction and transaction completion time
• Developed responsive UI components ensuring consistent experience across devices
• Optimized user journey through simplified navigation and clear call-to-action elements

CORE COMPETENCIES

User Interface Design
• Landing page optimization
• Multipage website architecture
• Website redesign and modernization
• Responsive and adaptive layouts
• Mobile-first application design

Technical Skills
• Figma
• Adobe Photoshop
• Adobe Illustrator
• Canva
• Webflow

PROFESSIONAL OBJECTIVE

Results-driven Junior UI/UX Designer with proven experience in web and mobile application design. Seeking opportunities to leverage user-centered design approach and technical expertise in a collaborative environment. Committed to continuous professional development and delivering innovative digital solutions that enhance user experience."
48,"JUNIOR UI/UX DESIGNER

PROFESSIONAL SUMMARY
Results-driven UI/UX designer specializing in user-centered design solutions with demonstrated success in both independent and collaborative projects. Proven track record of transforming client requirements into intuitive, engaging digital experiences.

PROFESSIONAL EXPERIENCE

UI/UX Designer - Freelance & Team Projects

Landing Page Design - Barbershop Client
• Conceptualized and executed responsive landing page design focusing on customer acquisition
• Developed cohesive visual identity through strategic color palette selection
• Optimized user journey to maximize conversion potential

Restaurant Website Redesign
• Conducted comprehensive UX audit of existing website
• Implemented modern design principles to enhance user navigation and engagement
• Delivered complete website redesign aligned with business objectives

Lost Pets Web Service - Team Project
• Spearheaded user research initiatives and conducted stakeholder interviews
• Created wireframes and prototypes through iterative design process
• Collaborated with cross-functional team to develop user-friendly interface
• Implemented data-driven design decisions based on user feedback

Gifts RNG Mobile Application - Team Project
• Designed intuitive mobile interface for gift delivery service
• Developed feature set including event reminders and delivery scheduling
• Created seamless user flow for gift selection and purchase process

TECHNICAL SKILLS
• Interface Design
• User Experience Design
• Wireframing and Prototyping
• User Research
• Iterative Design Process
• Team Collaboration

PROFESSIONAL OBJECTIVES
• Advance expertise in UI/UX design methodologies
• Contribute to innovative design solutions
• Foster collaborative team environments
• Pursue continuous professional development"
49,"UI/UX Designer

Professional Summary
Results-driven UI/UX designer with proven expertise in creating intuitive, user-centric digital solutions. Demonstrated success in web service design, cross-platform mobile applications, and website redesign projects. Combines analytical thinking with design excellence to deliver engaging user experiences while maintaining strong collaborative relationships.

Core Competencies
• UX Research & Analysis
• Information Architecture
• User Flow Design
• Customer Journey Mapping
• Jobs to be Done methodology
• Typography and color theory
• Composition and visual design
• Cross-platform mobile design
• iOS Human Interface Guidelines
• Android Material Design
• Figma Smart Animate
• Large-scale data visualization

Project Experience

Web Service Designer | Tourist Accommodation Platform
• Spearheaded end-to-end design of web service platform for tourist accommodation matching
• Executed comprehensive UX research utilizing Jobs to be Done methodology
• Developed and implemented strategic Information Architecture and User Flow frameworks
• Engineered solutions for complex data visualization challenges
• Delivered intuitive user experience through systematic Customer Journey Mapping

Mobile Application Designer | Restaurant Table Booking Application
• Engineered cross-platform mobile application design for streamlined restaurant reservations
• Implemented iOS Human Interface Guidelines and Android Material Design standards
• Leveraged Figma Smart Animate to create engaging user interactions
• Optimized user experience through platform-specific design considerations

Web Designer | Landing Page & Website Projects
• Conceptualized and executed responsive landing page design for barbershop business
• Led complete website redesign project for dental practice
• Implemented sophisticated typography and color theory principles
• Created cohesive visual systems aligned with brand guidelines

Professional Objectives
Seeking to leverage UI/UX expertise in a collaborative environment to drive innovation and deliver exceptional user experiences while contributing to organizational growth and success."
50,"**Junior UI/UX Designer**

Creating intuitive and user-centric digital experiences through research-driven design solutions.

**Professional Experience**

**UI/UX Designer**
- Spearheaded end-to-end design of flower shop landing page, driving conversions through strategic user research and competitive analysis
- Executed comprehensive redesign of Miramar Beach real estate platform, enhancing user engagement through modern interface solutions
- Led design team in developing budget travel accommodation web service while maintaining collaborative workflow
- Implemented data-driven design decisions based on thorough user research, including development of detailed user personas and journey maps
- Conducted in-depth competitor analysis to identify and adapt industry best practices

**Key Projects**

**Flower Shop Landing Page**
Led complete design lifecycle from research to implementation, optimizing user flow for key conversion points including purchases, subscriptions, and quote requests. Incorporated audience insights and market research to create compelling user experiences.

**Real Estate Website Redesign - Miramar Beach, Florida**
Transformed property listing platform through user-centered design methodology, incorporating competitive analysis, social media insights, and user behavior patterns. Developed comprehensive user personas and journey maps to guide design decisions.

**Budget Travel Web Service**
Directed team efforts in creating collaborative accommodation platform, balancing user needs with business objectives. Managed website development process while fostering effective team communication and cooperation.

**Technical Expertise**
- Mobile & Website Development
- Interactive Prototyping
- Interface Animation
- Modular Grid Systems
- User Flow Architecture
- UI/UX Design Principles
- Typography & Color Theory
- Responsive Design
- Information Architecture"
51,"**PERSONAL PROFILE**

Dynamic UI/UX Designer specializing in user-centric digital solutions across web and mobile platforms. Demonstrates expertise in end-to-end design processes, from initial concept through final implementation. Known for combining analytical thinking with creative problem-solving to deliver intuitive, engaging user experiences that drive business objectives.

**TECHNICAL COMPETENCIES**

Design & Development
• End-to-end UI/UX design lifecycle management
• Responsive web and mobile application design
• Information architecture and wireframing
• User flow optimization
• Visual design and brand consistency

Research & Analysis
• Competitive market analysis
• User research and behavior mapping
• Interface usability testing
• Design system development

Tools & Technologies
• Figma
• Adobe Creative Suite (Photoshop, Illustrator)
• Protopie
• Corel Draw
• Miro

**EDUCATION**

Professional UI/UX Design Certification
Focus: User-Centered Design Methodology

**PROJECT PORTFOLIO**

**Healthcare Digital Transformation Project**
• Executed complete redesign of medical clinic website
• Streamlined information architecture to enhance user navigation
• Implemented responsive design for cross-device compatibility
• Optimized content hierarchy for improved user engagement

**Hospitality Platform Development**
• Designed comprehensive web application for global hospitality network
• Developed secure verification system for host authentication
• Created intuitive booking interface with flexible payment options
• Integrated experience-based exchange system

**E-commerce Mobile Application**
• Conceptualized and designed gift delivery mobile application
• Implemented streamlined product selection and checkout process
• Developed advanced scheduling system for customized deliveries
• Created intuitive navigation for efficient user journey

**PROFESSIONAL OBJECTIVES**

Seeking a collaborative environment to contribute to innovative digital solutions while advancing professional growth. Focused on delivering high-impact results through user-centered design approaches. Committed to continuous learning and development in a dynamic team setting."
52,"**UX/UI Designer**

**PROFESSIONAL SUMMARY**
Results-driven UX/UI Designer with proven expertise in creating intuitive digital experiences, specializing in landing pages and e-commerce platforms. Demonstrated success in delivering comprehensive design solutions from concept to implementation, with strong emphasis on user-centered design principles.

**EXPERIENCE**

**UX/UI Designer | IT Course Platform Website Project**
• Spearheaded end-to-end design process for educational platform, from initial concept to developer handoff
• Executed comprehensive user research and competitor analysis to inform strategic design decisions
• Architected intuitive site structure and developed detailed functional specifications
• Designed and delivered high-fidelity interactive prototypes with multiple UI concept variations
• Created responsive designs optimized for cross-device functionality
• Developed comprehensive UI Kit ensuring design system consistency
• Led successful design-to-development handoff process including complete asset documentation

**SKILLS**
Technical Expertise:
• UX/UI Design
• Information Architecture
• Wireframing & Prototyping
• Responsive Design
• UI Kit Development

Design Specialization:
• Landing Page Design
• E-commerce Website Design
• Animation Prototyping

Research & Strategy:
• User Research & Analysis
• Competitor Analysis
• Developer Collaboration

**EDUCATION**
UX/UI Design Course Graduate
Specialization: Landing Page and E-commerce Website Design

**PROFESSIONAL OBJECTIVE**
Innovative UX/UI Designer seeking to leverage proven design expertise in a collaborative team environment, focusing on creating impactful digital solutions while contributing to complex design challenges."
